object_number,accession_number,title,maker_full_name,culture,period,date_description,year_start,year_end,accession_year,category,materials,credit_line,inscriptions,dimensions,image_url,source_1,maker_birth_year,maker_death_year,institution_name,institution_city,institution_state,institution_country,institution_latitude,institution_longitude
2650,74.14,Fisherwoman and Children,Jozef Israëls,,,,1824,1911,1974,painting,oil on canvas,Gift of Barbara Howes Smith and Mrs. Richard D. Grant,,"Overall: 29 x 21 in. (73.7 x 53.3 cm)
frame: 29 x 20 1/2 x 2 1/4 in. (73.7 x 52.1 x 5.7 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2650,https://github.com/wcmaart/collection, 1824,1911,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2651,75.37,Peasants Fishing on a Riverbank,School of Jacques Callot,,,,0,0,1975,drawing,red chalk on paper,Anonymous gift,l.r. in ink: [stamp],Overall: 6 3/8 x 11 1/8 in. (16.2 x 28.3 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2651,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2655,76.37.7,Fibula,Macedonia,,,1000-500 BC,-1000,-500,1976,fibula,bronze,"Gift of the son and daughters of Charles Bolles Bolles-Rogers, Class of 1907: Frederick Van D. Rogers, Mary Rogers Savage, and Nancy Rogers Pierson",,Overall: 7/8 x 1 1/4 in. (2.3 x 3.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2655,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2656,48.2.3.H,Gaudy Dutch plate,Staffordshire,,,,1500,1700,1948,ceramics,handpainted earthenware,"Gift of Weber Arkenburgh, Class of 1902",,"rim: 8 1/4 in. (21 cm)
height: 1 in. (2.5 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2656,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2657,78.56.13,"San Marcos, Texas",Garry Winogrand,,,1964,1964,1964,1978,photograph,gelatin silver print,Gift of James L. Melcher,on mattboard l.l. in pencil: 52/75; on mattboard l.r. in pencil: Garry Winogrand,image: 8 1/2 x 12 11/16 in. (21.6 x 32.3 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2657,https://github.com/wcmaart/collection, 1928,1984,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2660,78.14.6,Album of Paintings,attributed to Shiba Kokan,Japanese,,,1747,1818,1978,album of paintings,painted silk mounted on paper,"Gift of Miss Faith D. Waterman, in honor of her brother, Arthur J. Waterman, Class of 1928",each painting marked with artist's seal; verso on album cover l.r. on sticker: L55.6-1; on album case lower edge painted in red: L55.6-3; on crate on two stickers: L55.6.1-2-3,"Overall: 17 1/2 x 13 3/16 x 3 15/16 in. (44.5 x 33.5 x 10 cm)
Case: 12 3/16 x 19 7/8 x 14 15/16 in. (31 x 50.5 x 38 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2660,https://github.com/wcmaart/collection, 1747,1818,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2661,99.16.35,The Great Bridge,Lili Rethi,,,1965,1965,1965,1999,lithograph,lithograph on paper,"Gift of David P. Tunick, Class of 1966",l.l. in pencil: 133/250; l.r. in pencil: Réthi,"sheet: 17 13/16 x 12 15/16 in. (45.3 x 32.8 cm)
plate: 12 1/2 x 8 15/16 in. (31.8 x 22.7 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2661,https://github.com/wcmaart/collection, 1894,1969,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2664,79.10,Manuscript page with Prayers to the Virgin,Anonymous (Flemish?),,,15th century,1400,1499,1979,illuminated manuscript,"ink, tempera and gold leaf on vellum",Gift of Mr. and Mrs. J.H. Steiner,,frame: 19 3/8 x 15 1/2 in. (49.2 x 39.4 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2664,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2666,61.9,St. Paul,Anonymous (Spanish),,,17th century,1600,1699,1961,sculpture,"wood, polychromed and gilt","Museum purchase, Karl E. Weston Memorial Fund",,"Overall: 64 x 30 x 14 1/2 in. (162.6 x 76.2 x 36.8 cm)
",https://get-thumb.herokuapp.com/getThumb.php?objectid=2666,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2667,41.15.1,Untitled Landscape,Anonymous (Chinese),Chinese,,17th century,1600,1699,1941,painting,ink and color on paper,"Selection from the Peterson Collection, Gift of William Bingham II",,sheet: 7 11/16 x 10 7/8 in. (19.5 x 27.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2667,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2668,62.41.2,"Animal Locomotion, Plate #78",Eadweard Muybridge,,,1887,1887,1887,1962,photograph,collotype,"Gift of the Commercial Museum, Department of Commerce, Philadelphia, Pennsylvania",,"sheet: 19 1/8 x 24 1/8 in. (48.6 x 61.2 cm)
image: 7 15/16 x 14 3/8 in. (20.2 x 36.5 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2668,https://github.com/wcmaart/collection, 1830,1904,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2671,81.46.12,Radio/Aether,Wallace Berman,,,1966/1974,1966,1974,1981,portfolio of prints,off-set lithographs,"Gift of Frederick M. Myers, Class of 1943",l.l. in ink: 5/50; l.r. in ink: W Berman,,https://get-thumb.herokuapp.com/getThumb.php?objectid=2671,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2672,81.46.12.E,"Untitled (from ""Radio/ Aether"")",Wallace Berman,,,1974,1974,1974,1981,lithograph,offset lithograph,"Gift of Frederick M. Myers, Class of 1943",verso l.r. in pencil: WB74-683,Overall: 12 1/4 x 13 1/4 in. (31.1 x 33.6 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2672,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2674,93.1.14.N,Animal Amulet,Egyptian,,,,0,0,1993,amulet,stone,"Found in the collection and catalogued, 1993",,Overall: 1 1/8 x 3/4 x 5/8 in. (2.8 x 1.9 x 1.6 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2674,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2675,RC.19.1.A,"Green River, Massachusetts, Water",Michelle Stuart,,,1977,1977,1977,1993,book,"handmade paper, mixed media",Gift of the artist,"inner page in pencil: Michelle Stuart/ 1977/ 11/12/ Green River, Massachusetts/ Water",Overall: 12 x 8 15/16 x 1 3/16 in. (30.5 x 22.7 x 3 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2675,https://github.com/wcmaart/collection, 1940,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2678,88.6.22,"Horse brass, Brewery Transport",British,,,19th - early 20th century,1800,1950,1988,metalwork,brass,"Gift of J. Rodney Weiss, Class of 1955, from the collection of the late Dr. Bernard H. Hall",,Overall: 4 x 2 3/4 in. (10.2 x 7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2678,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2679,96.7.1,Figure of a robed man,Chinese,Chinese,,,0,0,1996,figurine,polychromed terracotta,Gift of Cole Porter,,Overall: 5 1/16 in. (12.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2679,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2680,39.1.73,Clear the Way!!,Howard Chandler Christy,,,1918,1918,1918,1939,poster,poster,Anonymous gift,,Overall: 30 x 20 in. (76.2 x 50.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2680,https://github.com/wcmaart/collection, 1873,1952,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2682,78.33.1,"Man -- Front View (from ""Shoot"")",Richard Lindner,,,1971,1971,1971,1978,serigraph,color serigraph on paper,Gift of Mr. and Mrs. Ralph Cohen through the Martin S. Ackerman Foundation,l.l. in pencil: 51/100 1971; l.r. in pencil: RLindner,"sheet: 40 15/16 x 29 in. (104 x 73.7 cm)
image: 39 5/16 x 27 in. (99.8 x 68.6 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2682,https://github.com/wcmaart/collection, 1901,1978,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2683,78.33.3,"Man -- Back View (from ""Shoot"")",Richard Lindner,,,1971,1971,1971,1978,serigraph,color serigraph on paper,Gift of Mr. and Mrs. Ralph Cohen through the Martin S. Ackerman Foundation,l.l. in pencil: 87/100 1971; l.r. in pencil: RLindner,"sheet: 40 3/8 x 29 1/8 in. (102.5 x 74 cm)
image: 38 1/8 x 27 3/16 in. (96.8 x 69 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2683,https://github.com/wcmaart/collection, 1901,1978,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2684,78.33.5,"Masked Woman (from ""Shoot"")",Richard Lindner,,,1971,1971,1971,1978,serigraph,color serigraph on paper,Gift of Mr. and Mrs. Ralph Cohen through the Martin S. Ackerman Foundation,l.l. in pencil: 46/100 1971; l.r. in pencil: R Lindner,"sheet: 40 5/8 x 29 3/16 in. (103.2 x 74.1 cm)
image: 38 11/16 x 27 3/16 in. (98.3 x 69 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2684,https://github.com/wcmaart/collection, 1901,1978,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2686,86.18.17,"Sketch for Polo Players, No.1",Charles Prendergast,,,ca. 1941,1941,1941,1986,watercolor,watercolor and pencil on incised paperboard,Gift of Mrs. Charles Prendergast,unsigned,"Overall: 20 x 23 1/4 in. (50.8 x 59.1 cm)
frame: 22 5/8 x 26 in. (57.5 x 66 cm)
image: 12 5/8 x 15 9/16 in. (32 x 39.5 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2686,https://github.com/wcmaart/collection, 1863,1948,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2687,EL.84.18,Christ Seated Disputing with the Doctors,Rembrandt van Rijn,,,1654,1654,1654,,etching,etching on paper,On extended loan from the Williams College Department of Music,"l.r. in ink: B. 64 , Ch. Bl.35; l.l. in pencil in another hand: 172 Hind 244","sheet: 9 1/2 x 13 in. (24.2 x 33 cm)
image: 4 1/16 x 5 15/16 in. (10.3 x 15.1 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2687,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2688,75.12.F,"Untitled (from ""Cow"" series)",David Stoltz,,,1975,1975,1975,1975,drawing,crayon on paper,Gift of Mrs. Millard S. Peabody,u.l. in crayon: David Stoltz/ Jan 75/ cow series,Overall: 10 1/4 x 26 3/8 in. (26 x 67 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2688,https://github.com/wcmaart/collection, 1943,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2689,92.3.12,Bolo Baxter-- Hold Still Please,Rube Goldberg,,,,1883,1970,1992,drawing,pen and ink on paper,"Gift of George W. George, Class of 1941",,Overall: 6 5/8 x 20 13/16 in. (16.8 x 52.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2689,https://github.com/wcmaart/collection, 1883,1970,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2690,93.7.2,Green Junyao Bowl,Anonymous (Chinese),Chinese,,Southern Song Dynasty,1150,1250,1993,ceramic,ceramic,"Gift of Faith D. Waterman in Memory of Doris Waterman Neu from Original Collection of Arthur J. Waterman, Class of 1928",,Overall: 3 1/4 in. (8.3 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2690,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2692,38.1.4,Study for Lunette in Library of Congress: Corrupt Legislation,Elihu Vedder,,,1896,1896,1896,1938,painting,oil on canvas mounted to wood panel,Gift of John Hemming Fry,"l.l. in oil: Elihu Vedder/ Rome 1896; l.r. in oil: Copyright 1896 by E.Vedder; verso l.r.: [NCFA exhibition label, Smithsonian]; verso u.r.: [NCFA exhibition label, Brooklyn Museum]","Overall: 24 3/16 x 44 11/16 in. (61.5 x 113.5 cm)
frame: 29 15/16 x 56 11/16 in. (76 x 144 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2692,https://github.com/wcmaart/collection, 1836,1923,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2695,74.50,National Collection of Fine Arts Poster Series (LEAD SCREEN),various artists,,,1968,1968,1968,1974,portfolio box for prints,portfolio box for 7 prints with artist statements,"Gift of Susan W. and Stephen D. Paine, Class of 1954",,,https://get-thumb.herokuapp.com/getThumb.php?objectid=2695,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2696,91.15.44,A Nobleman Smoking a Huqqa,Rajput,Indian,,c. 1820,1795,1845,1991,painting,opaque watercolor on paper,Bequest of Mrs. Horace W. Frost,verso u.l. in red ink: [calligraphic inscription],Overall: 4 3/4 x 4 1/2 in. (12.1 x 11.4 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2696,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2698,75.8,"Poster for ""The Resistable Rise of Arturo Ui"" (by Bertold Brecht)",Richard Lindner,,,1968,1968,1968,1975,lithograph,color lithograph on paper,Museum purchase,,Overall: 29 13/16 x 19 15/16 in. (75.8 x 50.6 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2698,https://github.com/wcmaart/collection, 1901,1978,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2699,49.17.55,Portrait of a Man,Thomas Nast,,,1884,1884,1884,1949,etching,chin collé etching on paper mounted to paper,Gift of Mabel Nast Crawford and Cyril Nast,in plate l.r.: 1884/ Th:Nast.,"sheet: 18 7/16 x 13 3/8 in. (46.8 x 34 cm)
image: 13 9/16 x 10 1/2 in. (34.5 x 26.7 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2699,https://github.com/wcmaart/collection, 1840,1902,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2700,50.6,A man and a horse,Marino Marini,,,1949,1949,1949,1950,drawing,ink and gouache on paper,Museum purchase,l.r. in ink: Marino.,"Overall: 15 9/16 x 11 11/16 in. (39.5 x 29.7 cm)
frame: 21 1/16 x 16 15/16 in. (53.5 x 43 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2700,https://github.com/wcmaart/collection, 1901,1980,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2701,RC.43.G,"Kyoto, 1993 (from ""Città Aperta - Open City""; portfolio of ten photographs with an essay by Lars Lerup published by Architecture at Rice in conjunction with the exhibition, ""Città Aperta - Open City"")",Luciano Rigolini,,,1993,1993,1993,1996,photograph,black and white photograph,"Gift of Rice University, School of Architecture",,"image: 14 1/16 x 14 1/8 in. (35.7 x 35.9 cm)
sheet: 24 5/8 x 17 1/4 in. (62.5 x 43.8 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2701,https://github.com/wcmaart/collection, 1950,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2704,CG.23,Alabastron,Corinthian|Greek,,,650 BC-550 BC,-650,-550,1887,alabastron,terracotta,Gift of Mrs. John W. Field,label at base: CG23,Overall: 8 7/8 x 1 5/8 in. (22.5 x 4.2 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2704,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2706,EL.86.2.4,"Shinefield Residence, Sea Ranch, Sonoma County, CA.",Charles Willard Moore,,,1969,1969,1969,,blueprint,blueprint facsimile,On extended loan from Centerbrook: A Professional Corporation of Architects and Planners,,Overall: 24 1/8 x 36 1/16 in. (61.3 x 91.6 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2706,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2711,39.1.230,Untitled,Sidney H. Riesenberg,,,c. 1910-1920,1900,1920,1939,poster,poster,Anonymous gift,,Overall: 26 x 18 1/16 in. (66 x 45.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2711,https://github.com/wcmaart/collection, 1885,1971,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2715,85.30,Ashes and Maples in October,Wolf Kahn,,,1976,1976,1976,1985,painting,oil on canvas,"Gift of Hamilton, Midge and Ken Richardson, Class of 1986",,frame: 53 1/2 x 49 1/2 x 2 1/4 in. (135.9 x 125.7 x 5.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2715,https://github.com/wcmaart/collection, 1927,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2717,FE.2,Bow-Back Windsor Side Chair,British,,,ca. 1780-1820,1780,1820,1927,furniture,wood,"Gift of Francis J. Danforth, Class of 1900, and Ralph C. Erskine, Class of 1904, in 1927",,Overall: 32 x 16 1/2 x 15 in. (81.3 x 41.9 x 38.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2717,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2720,RC.3.8,"Poster for exhibition at the Galleria del Cavallino, Venice",Azzaroni,,,,0,0,1991,poster,color lithograph,Gift of Dorothy D. and Frederick Rudolph,,,https://get-thumb.herokuapp.com/getThumb.php?objectid=2720,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2721,81.24.43,Text for cartoon,Rube Goldberg,,,,1883,1970,1981,drawing,typewritten on paper,Gift of George W. George,,Overall: 11 x 8 9/16 in. (28 x 21.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2721,https://github.com/wcmaart/collection, 1883,1970,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2723,78.51.14,Ravana sculpture in the Dumar Lena rock-cut temple at Ellora in Maharashtra,Anonymous (British),,,19th century,1800,1899,1978,photograph,albumen print,Gift of Mr. and Mrs. Bates Lowry,l.r. in pencil: Shiva The Lord of Destruction & his wife Parvati; l.r. in pencil: Rock Cave Carvings- [partially abscured by mat],"sheet: 16 5/8 x 21 3/4 in. (42.2 x 55.3 cm)
image: 9 5/16 x 11 1/2 in. (23.7 x 29.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2723,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2726,96.20.1.A,"Football Kick, 1938 (from ""Ten Dye Transfer Photographs"")",Harold E. Edgerton,,,1938,1938,1938,1996,photograph,dye transfer print,Gift of The Harold and Esther Edgerton Family Foundation,verso in pencil: HAROLD EDGERTON/8501.2141/3803,Overall: 16 x 20 in. (40.6 x 50.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2726,https://github.com/wcmaart/collection, 1903,1990,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2727,39.1.208,THAT LIBERTY SHALL NOT PERISH FROM THE EARTH,Joseph Pennell,,,1918,1918,1918,1939,poster,poster,Anonymous gift,,Overall: 33 1/16 x 22 1/16 in. (84 x 56 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2727,https://github.com/wcmaart/collection, 1860,1926,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2728,81.31.22.D,Jersey Farmer (from Silhouettes),Edmund Blampied,,,1950,1950,1950,1981,woodcut,woodcut on paper,"Gift of Milton C. Rose, Class of 1927",l.r. in pencil: Jersey farmer,sheet: 9 15/16 x 12 7/16 in. (25.3 x 31.6 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2728,https://github.com/wcmaart/collection, 1886,1966,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2729,76.37.14.A,Bronze roll from ring handles,Macedonia,,,1000 BC - 1 AD,-1000,1,1976,handle,bronze,"Gift of the son and daughters of Charles Bolles Bolles-Rogers, Class of 1907: Frederick Van D. Rogers, Mary Rogers Savage, and Nancy Rogers Pierson","on side, label: b 193",Overall: 1 7/8 x 11/16 in. (4.7 x 1.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2729,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2731,61.19.5,Shawabti with Royal Cartouche,Egyptian,,,,0,0,1961,shawabti,faience,Gift of Horace Mayer,on body in black: hieroglyphics,Overall: 4 5/8 x 1 3/4 x 1 1/8 in. (11.8 x 4.5 x 2.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2731,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2732,EL.81.3.37,"First Floor Plan, Lawrence Hall LH-41",Anonymous (American),,,ca. 1915,1905,1925,,drawing,pencil on paper,On extended loan from Williams College Buildings & Grounds Department,l.r. in red: LH-41 [encircled],image: 25 3/4 x 27 15/16 in. (65.4 x 71 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2732,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2733,RC.22.2,Handaxe,Maker Unknown,,possibly Paleolithic Period,date unknown,0,0,1994,lithic tool,stone (undetermined composition),"Found in the collection and catalogued, 1994, Presumably from the Lyceum of Natural History, Williams College",in white: 2.,Overall: 5 11/16 in. (14.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2733,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2734,96.33.1.D,"Dali Clockface (from ""Halsman/Dali"")",Philippe Halsman,,,1981,1981,1981,1996,photograph,gelatin silver print,Gift of Marjorie Neikrug-Raskin,verso stamped in black: HALSMAN/DALI/ COPYRIGHT PHILIPPE HALSMAN C 81/ALL RIGHTS RESERVED/EDITION NUMBER AP1/250,"sheet: 13 15/16 x 10 15/16 in. (35.4 x 27.8 cm)
image: 12 7/8 x 9 13/16 in. (32.7 x 25 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2734,https://github.com/wcmaart/collection, 1906,1979,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2739,85.24.54,Cats,Théophile Alexandre Steinlen,,,,1859,1923,1985,lithograph,color lithograph on paper,Bequest of Jane T. Ritchie,verso l.r. in pencil: [illegible],Overall: 23 13/16 x 31 1/2 in. (60.5 x 80 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2739,https://github.com/wcmaart/collection, 1859,1923,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2742,80.34.5,Light of the World D,Robyn Denny,,,1970,1970,1970,1980,screenprint,color screenprint on paper,"Gift of Marshall Rosenberg, through the Martin S. Ackerman Foundation",in image l.r. in pencil: Denny `70 22/75; verso in another hand l.r. in pencil: DENNY:[underlined] LIGHT OF THE WORLD `D',"sheet: 29 1/4 x 32 3/16 in. (74.3 x 81.7 cm)
image: 28 7/16 x 31 1/4 in. (72.2 x 79.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2742,https://github.com/wcmaart/collection, 1930,2014,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2743,78.22.46,Barandales,Emilio Sanchez,,,1968,1968,1968,1978,lithograph,lithograph,Anonymous gift,l.l. in pencil: 2/50; l.c. in pencil: Barandales; l.r. in pencil: Emilio Sanchez,"sheet: 11 7/16 x 19 in. (29.1 x 48.2 cm)
image: 7 15/16 x 15 3/8 in. (20.2 x 39 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2743,https://github.com/wcmaart/collection, 1921,1999,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2746,82.26.70,Preparatory sketch for cartoon,Rube Goldberg,,,,1883,1970,1982,drawing,pen and ink on paper,Gift of George W. George,,Overall: 8 1/2 x 11 in. (21.6 x 28 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2746,https://github.com/wcmaart/collection, 1883,1970,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2750,96.30.5,"Weed Against Sky, Detroit",Harry Morey Callahan,,,1948,1948,1948,1996,photograph,gelatin silver print,"Gift of Barbara S. Doty in honor of her father Henry Strong, Class of 1949",l.r. in pencil: Harry Callahan,Overall: 9 7/8 x 7 13/16 in. (25.1 x 19.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2750,https://github.com/wcmaart/collection, 1912,1999,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2752,60.39.6.E,Amulet of Apet,Egyptian,,,,0,0,1960,amulet,faience?,Gift of Horace Mayer,,Overall: 1 3/8 x 7/16 x 7/16 in. (3.5 x 1.1 x 1.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2752,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2753,RC.22.13,Biface,Maker Unknown,,possibly Paleolithic Period,date unknown,0,0,1994,lithic tool,stone (undetermined composition),"Found in the collection and catalogued, 1994, Presumably from the Lyceum of Natural History, Williams College",in white: 13.,Overall: 5 3/16 in. (13.2 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=2753,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2754,99.1.231,Extra Session of Congress Soon.,Thomas Nast,,,"May 5, 1877",1877,1877,1999,print,wood engraving on newsprint,Gift of Irwin and Dianne Steinberg,none,"image: 4 13/16 x 4 1/2 in. (12.3 x 11.5 cm)
sheet: 15 13/16 x 11 1/4 in. (40.1 x 28.6 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2754,https://github.com/wcmaart/collection, 1840,1902,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
