name,city,state,address,zip,website,category,public_private,district,lat,lon
VICKERY SCHOOL,PITTSFIELD,ME,170 SCHOOL STREET,04967,https://www.msad53.org/our-schools/vickery-school,ELEMENTARY,PUBLIC,RSU 53/MSAD 53,44.788006,-69.39317
VICKI DOUGLAS JUVENILE CENTER,MARTINSBURG,WV,900 EMMETT ROUSCH DRIVE,25401,https://dcr.wv.gov/facilities/pages/juvenile-centers-and-facilities/vicki-v-douglas-juvenile-center.aspx,HIGH,PUBLIC,INSTITUTIONAL EDUCATIONAL PROGRAMS,39.446835,-77.96502
VICKSBURG COMMUNITY SCHOOL,VICKSBURG,MS,1901 N FRONTAGE RD,39180,,,PRIVATE,,32.244186,-90.80319
VICKSBURG HIGH SCHOOL,VICKSBURG,MI,501 EAST HIGHWAY ST,49097,https://www.vicksburg-community-schools.org,HIGH,PUBLIC,VICKSBURG COMMUNITY SCHOOLS,42.115253,-85.52572
VICKSBURG HIGH SCHOOL,VICKSBURG,MS,3701 DRUMMOND STREET,39180,http://vhsgators.org/,HIGH,PUBLIC,VICKSBURG WARREN SCHOOL DISTRICT,32.321457,-90.88591
VICKSBURG INTERMEDIATE,VICKSBURG,MS,1245 DANA ROAD,39180,https://vicksburgintermediate.weebly.com/,ELEMENTARY,PUBLIC,VICKSBURG WARREN SCHOOL DISTRICT,32.272587,-90.89401
VICKSBURG JUNIOR HIGH SCHOOL,VICKSBURG,MS,1533 BALDWIN FERRY ROAD,39180,http://www.vjhs.farmarmedia.net/,MIDDLE,PUBLIC,VICKSBURG WARREN SCHOOL DISTRICT,32.34438,-90.87108
VICKSBURG MIDDLE SCHOOL,VICKSBURG,MI,348 EAST PRAIRIE ST,49097,https://www.vicksburg-community-schools.org,MIDDLE,PUBLIC,VICKSBURG COMMUNITY SCHOOLS,42.118675,-85.52762
VICKSBURG PATHWAYS HIGH SCHOOL,VICKSBURG,MI,301 S KALAMAZOO STREET,49097,https://www.vicksburgcommunityschools.org,HIGH,PUBLIC,VICKSBURG COMMUNITY SCHOOLS,42.11701,-85.53037
VICTOR EARLY CHILDHOOD SCHOOL,VICTOR,NY,953 HIGH ST,14564,https://www.victorschools.org,ELEMENTARY,PUBLIC,VICTOR CENTRAL SCHOOL DISTRICT,42.991684,-77.41466
VICTOR ELEM.,LODI,CA,15777 N. ALPINE RD.,95240,,,PUBLIC,LODI UNIFIED,38.123577,-121.21546
VICTOR ELEMENTARY,TORRANCE,CA,4820 SPENCER ST.,90503,,ELEMENTARY,PUBLIC,WILLIAMSBURG-JAMES CITY PUBLIC SCHOOLS,33.84447,-118.365524
VICTOR ELEMENTARY,VICTOR,CA,17670 N. BRUELLA RD.,95253,,ELEMENTARY,PUBLIC,GEORGETOWN INDEPENDENT SCHOOL DISTRICT,38.14265,-121.20501
VICTOR ELEMENTARY,VICTORVILLE,CA,15477 SIXTH ST.,92392,,,PUBLIC,VICTOR ELEMENTARY,34.533978,-117.29678
VICTOR ELEMENTARY SCHOOL,VICTOR,ID,43 EAST CENTER STREET,83455,https://ves.tsd401.org/,ELEMENTARY,PUBLIC,TETON COUNTY DISTRICT,43.603123,-111.109924
VICTOR F. HODGE ELEMENTARY,AZUSA,CA,700 W. 11TH ST.,91702,https://www.cde.ca.gov/schooldirectory/details?cdscode=19642796011340,ELEMENTARY,PUBLIC,AZUSA UNIFIED,34.141945,-117.91519
VICTOR FALLS ELEMENTARY,BONNEY LAKE,WA,11401 188TH AVE CT. E,98391,https://www.sumnersd.org,ELEMENTARY,PUBLIC,SUMNER SCHOOL DISTRICT,47.15419,-122.17846
VICTOR H HEXTER EL,DALLAS,TX,9720 WATERVIEW RD,75218,https://www.dallasisd.org/hexter,ELEMENTARY,PUBLIC,DALLAS INDEPENDENT SCHOOL DISTRICT,32.84969,-96.70944
VICTOR HIGH SCHOOL,VICTOR,MT,425 4TH AVENUE,59875,https://www.victor.k12.mt.us/,HIGH,PUBLIC,VICTOR K-12 SCHOOLS,46.41501,-114.150734
VICTOR INTERMEDIATE SCHOOL,VICTOR,NY,953 HIGH ST,14564,https://www.victorschools.org,MIDDLE,PUBLIC,VICTOR CENTRAL SCHOOL DISTRICT,42.991085,-77.41398
VICTOR J ANDREW HIGH SCHOOL,ORLAND HILLS,IL,9001 171ST ST,60487,https://www.d230.org/andrew,HIGH,PUBLIC,CONS HSD 230,41.57864,-87.83913
VICTOR JUNIOR HIGH SCHOOL,VICTOR,NY,953 HIGH ST,14564,https://www.victorschools.org,MIDDLE,PUBLIC,VICTOR CENTRAL SCHOOL DISTRICT,42.98731,-77.41394
VICTOR MIDDLE SCHOOL,VICTOR,MT,425 4TH AVENUE,59875,,MIDDLE,PUBLIC,VICTOR K-12 SCHOOLS,46.41503,-114.15066
VICTOR MRAVLAG SCHOOL NO. 21,ELIZABETH,NJ,132 SHELLEY AVENUE,07208,https://www.epsnj.org/domain/33,ELEMENTARY,PUBLIC,ELIZABETH PUBLIC SCHOOLS,40.670223,-74.24773
VICTOR ORNELAS ELEM,GARDEN CITY,KS,3401 E SPRUCE,67846,https://www.gckschools.com/,ELEMENTARY,PUBLIC,GARDEN CITY,37.96849,-100.8319
VICTOR PAREZ COLLAZO,SAN JUAN,PR,CALLE PERU FINAL URB. HYDE PARK,00928,,PREKINDERGARTEN,PUBLIC,PUERTO RICO DEPARTMENT OF EDUCATION,18.408735,-66.060394
VICTOR POINT ELEMENTARY SCHOOL,SILVERTON,OR,1175 VICTOR POINT RD SE,97381,http://victorpointelem.silverfalls.orvsd.org/,ELEMENTARY,PUBLIC,SILVER FALLS SCHOOL DISTRICT 4J,44.915882,-122.75591
VICTOR PRIMARY SCHOOL,VICTOR,NY,953 HIGH ST,14564,https://www.victorschools.org,ELEMENTARY,PUBLIC,VICTOR CENTRAL SCHOOL DISTRICT,42.98978,-77.41407
VICTOR ROJAS  1,ARECIBO,PR,CALLE C BDA VICTOR ROJAS I,612,,,PUBLIC,PUERTO RICO DEPARTMENT OF EDUCATION,18.458214,-66.73925
VICTOR ROJAS  2,ARECIBO,PR,CALLE A HM 2 BDA VICTOR RODRIGUEZ,612,,,PUBLIC,PUERTO RICO DEPARTMENT OF EDUCATION,18.46243,-66.74605
VICTOR ROJAS 1,ARECIBO,PR,CALLE C BDA VICTOR ROJAS I,00612,,UNGRADED,PUBLIC,PUERTO RICO DEPARTMENT OF EDUCATION,18.458231,-66.739235
VICTOR ROJAS 2,ARECIBO,PR,CALLE A HM 2 BDA VICTOR RODRIGUEZ,00612,,ELEMENTARY,PUBLIC,PUERTO RICO DEPARTMENT OF EDUCATION,18.438515,-66.69305
VICTOR SCHOOL,VICTOR,MT,425 4TH AVENUE,59875,,ELEMENTARY,PUBLIC,VICTOR K-12 SCHOOLS,46.414986,-114.150734
VICTOR SCHOOL (DHH),TORRANCE,CA,4820 SPENCER ST.,90505,,,PUBLIC,LOS ANGELES COUNTY SPECIAL EDUCATION,33.84391,-118.36635
VICTOR SCHOOL (VISUALLY HANDIC,TORRANCE,CA,4820 SPENCER ST.,90505,,,PUBLIC,LOS ANGELES COUNTY SPECIAL EDUCATION,33.84391,-118.36635
VICTOR SENIOR HIGH SCHOOL,VICTOR,NY,953 HIGH ST,14564,https://www.victorschools.org,HIGH,PUBLIC,VICTOR CENTRAL SCHOOL DISTRICT,42.992607,-77.41636
VICTOR SOLHEIM ELEMENTARY SCHOOL,BISMARCK,ND,325 MUNICH DR,58504,http://www.solheim.bismarckschools.org,ELEMENTARY,PUBLIC,BISMARCK 1,46.781536,-100.797874
VICTOR VALLEY ADULT,VICTORVILLE,CA,18422 BEAR VALLEY RD.,92392,,,PUBLIC,VICTOR VALLEY COMMUNITY COLLEGE,34.47354,-117.261
VICTOR VALLEY ADULT EDUCATION,VICTORVILLE,CA,16350 MOJAVE DR.,92395,www.vvuhsd.org,ADULT EDUCATION,PUBLIC,VICTOR VALLEY UNION HIGH,34.53049,-117.30587
VICTOR VALLEY CHRISTIAN,VICTORVILLE,CA,15260 NISQUALLI,92395,,K-12,PRIVATE,VICTOR VALLEY UNION HIGH,34.485794,-117.33107
VICTOR VALLEY CHRISTIAN ELEMENTARY,VICTORVILLE,CA,15260 NISQUALLI RD.,92395,,K-12,PRIVATE,VICTOR ELEMENTARY,34.485287,-117.33145
VICTOR VALLEY CHRISTIAN SCHOOLS,VICTORVILLE,CA,15260 NISQUALLI RD,92395,,K-12,PRIVATE,,34.4859,-117.331116
VICTOR VALLEY COLLEGE,VICTORVILLE,CA,18422 BEAR VALLEY RD,92395,www.vvc.edu,JUNIOR COLLEGES,,,34.47224,-117.26145
VICTOR VALLEY DESERT CHRISTIAN,APPLE VALLEY,CA,13240 MUGU CT,92308,,K-12,PRIVATE,APPLE VALLEY UNIFIED,34.491573,-117.23532
VICTOR VALLEY HIGH,VICTORVILLE,CA,16500 MOJAVE DR.,92395,https://www.vvuhsd.org,HIGH,PUBLIC,MEEKER AND WRIGHT SPECIAL EDUCATION,34.530186,-117.30388
VICTOR VALLEY HOME ACADEMY,VICTORVILLE,CA,13853 SENECA RD.,92394,,HIGH,PUBLIC,VICTOR VALLEY UNION HIGH,34.51399,-117.36139
VICTOR VALLEY SDA,VICTORVILLE,CA,17137 CRESTVIEW,92392,,K-12,PRIVATE,VICTOR ELEMENTARY,34.51199,-117.29075
VICTOR VALLEY SDA SCHOOL,VICTORVILLE,CA,17137 CRESTVIEW DR,92395,,ELEMENTARY,PRIVATE,,34.511913,-117.290955
VICTOR VALLEY UNION ALTER. ED.-DELL (EVA),VICTORVILLE,CA,15733 FIRST ST.,92392,,HIGH,PUBLIC,VICTOR VALLEY UNION HIGH,34.541443,-117.29671
VICTOR VALLEY VIRTUAL ACADEMY,VICTORVILLE,CA,16350 MOJAVE DR.,92395,,HIGH,PUBLIC,VICTOR VALLEY UNION HIGH,34.52951,-117.30807
VICTORIA AVENUE ELEMENTARY,SOUTH GATE,CA,3320 MISSOURI AVE.,90280,http://www.victoria-lausd-ca.schoolloop.com,ELEMENTARY,PUBLIC,LOS ANGELES UNIFIED,33.945812,-118.211365
VICTORIA BEAUTY COLLEGE INC,VICTORIA,TX,1508 N LAURENT ST,77901,www.victoriabeautycollegeinc.com,COSMETOLOGY AND BARBER SCHOOLS,,,28.807905,-96.99087
VICTORIA CHRISTIAN SCHOOL,VICTORIA,TX,3310 N BEN JORDAN ST,77901,,ELEMENTARY,PRIVATE,,28.820179,-96.996925
VICTORIA COLLEGE,VICTORIA,TX,2200 E RED RIVER,77901,www.victoriacollege.edu,JUNIOR COLLEGES,,,28.816486,-96.9792
VICTORIA COLLEGE - VC ADULT EDUCATION CENTER,VICTORIA,TX,802 EAST CRESTWOOD,77901,http://www.victoriacollege.edu/adulteducationcenter,JUNIOR COLLEGES,,,28.82844,-96.9971
VICTORIA EAST H S,VICTORIA,TX,4103 E MOCKINGBIRD DR,77904,https://www.visd.com,HIGH,PUBLIC,VICTORIA INDEPENDENT SCHOOL DISTRICT,28.8497,-96.96953
VICTORIA ELEMENTARY,COSTA MESA,CA,1025 VICTORIA ST.,92627,https://www.nmusd.us,ELEMENTARY,PUBLIC,NEWPORT-MESA UNIFIED SCHOOL DISTRICT,33.65159,-117.94133
VICTORIA ELEMENTARY,RIVERSIDE,CA,2910 ARLINGTON AVE.,92506,https://victoria.riversideunified.org/,ELEMENTARY,PUBLIC,RIVERSIDE UNIFIED,33.945587,-117.37529
VICTORIA ELEMENTARY,SAN BERNARDINO,CA,9963 RICHARDSON ST.,92408,http://www.victoria.redlandsusd.net,ELEMENTARY,PUBLIC,YORK CENTRAL SCHOOL DISTRICT,34.07249,-117.2518
VICTORIA ELEMENTARY,VICTORIA,KS,602 10TH STREET,67671,,ELEMENTARY,PUBLIC,VICTORIA,38.856754,-99.14949
VICTORIA ELEMENTARY,VICTORIA,MN,9300 RED FOX DR,55386,https://www.district112.org,ELEMENTARY,PUBLIC,EASTERN CARVER COUNTY PUBLIC SCHOOL,44.836174,-93.65875
VICTORIA ELEMENTARY,VICTORIA,VA,1521 EIGHTH ST,23974,https://www.lunenburgcountyschools.org/o/victoria-elementary,ELEMENTARY,PUBLIC,LUNENBURG COUNTY PUBLIC SCHOOLS,36.995655,-78.22469
VICTORIA FERTITTA MIDDLE SCHOOL,LAS VEGAS,NV,9905 W. MESA VISTA AVE.,89148,https://www.fertittams.com/,MIDDLE,PUBLIC,CLARK COUNTY SCHOOL DISTRICT,36.08986,-115.31003
VICTORIA GROVES ELEMENTARY,ALTA LOMA,CA,10950 EMERSON,91701,https://www.alsd.k12.ca.us/victoriagroves,ELEMENTARY,PUBLIC,IREDELL-STATESVILLE SCHOOLS,34.129284,-117.565254
VICTORIA HEIGHTS EL,BROWNSVILLE,TX,2801 E 13TH ST,78521,http://www.bisd.us/victoriaheights/,ELEMENTARY,PUBLIC,BROWNSVILLE INDEPENDENT SCHOOL DISTRICT,25.9133,-97.48111
VICTORIA JUNIOR-SENIOR HIGH SCHOOL,VICTORIA,KS,1107 10TH ST.,67671,https://www.usd432.org/,HIGH,PUBLIC,VICTORIA,38.857273,-99.145065
VICTORIA MAGATHAN ELEMENTARY,ADELANTO,CA,11411 HOLLY RD.,92301,https://www.aesd.net,ELEMENTARY,PUBLIC,ADELANTO ELEMENTARY,34.54227,-117.41351
VICTORIA REGIONAL JUVENILE JUSTICE CENTER,VICTORIA,TX,97 FOSTER FIELD DR,77901,https://www.vctx.org/page/juvenile.detention.center,HIGH,PUBLIC,VICTORIA INDEPENDENT SCHOOL DISTRICT,28.838696,-96.91997
VICTORIA SANTIAGO COLON (QUEBRADA),SALINAS,PR,CARR. 712 BO LA PLENA,00751,,ELEMENTARY,PUBLIC,PUERTO RICO DEPARTMENT OF EDUCATION,18.045794,-66.20467
VICTORIA WALKER EL,BAYTOWN,TX,4711 SEABIRD ST,77521,https://schools.gccisd.net/page/vwe.home,ELEMENTARY,PUBLIC,GOOSE CREEK CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,29.813307,-94.984604
VICTORIA WEST H S,VICTORIA,TX,307 W TROPICAL DR,77904,https://www.visd.net,HIGH,PUBLIC,VICTORIA INDEPENDENT SCHOOL DISTRICT,28.860098,-97.03193
VICTORIA'S ACADEMY OF COSMETOLOGY,KENNEWICK,WA,23 W. 1ST AVE.,99336,www.victoriasacademy.edu/,COSMETOLOGY AND BARBER SCHOOLS,,,46.208862,-119.122284
VICTORIA'S PLAYHOUSE DAYCARE PRE-K,MIAMI,FL,10095 SW 88TH ST STE 101,33176,,ELEMENTARY,PRIVATE,,25.687822,-80.356575
VICTORIA'S PLAYHOUSE PRE-K,MIAMI,FL,12781 SW 88TH ST,33186,,ELEMENTARY,PRIVATE,,25.686699,-80.40147
VICTORIANO ELEMENTARY,MORENO VALLEY,CA,25650 LOS CABOS DR.,92551,https://victoriano.valverde.edu/en-us,ELEMENTARY,PUBLIC,VAL VERDE UNIFIED,33.891228,-117.214645
VICTORIOUS KIDZ ACADEMY,DOUGLASVILLE,GA,6544 MALONE RD,30134,,ELEMENTARY,PRIVATE,,33.76975,-84.74552
VICTORY ACADEMY,BATON ROUGE,LA,3953 N FLANNERY RD,70814,,ELEMENTARY,PRIVATE,,30.48769,-91.0359
VICTORY ACADEMY,CASTRO VALLEY,CA,2286 REGENT WAY,94546,,K-12,PRIVATE,HAYWARD UNIFIED,37.6928,-122.09597
VICTORY ACADEMY,ORLANDO,FL,10301 E COLONIAL DR,32817,,K-12,PRIVATE,,28.570751,-81.23748
VICTORY ACADEMY,SEYMOUR,MO,437 N MAIN ST,65746,,K-12,PRIVATE,,36.952568,-92.66316
VICTORY ACADEMY,SHERWOOD,OR,12155 SW TOOZE RD,97140,,,PRIVATE,,45.39917,-122.74327
VICTORY ACADEMY FOR BOYS,AMBERG,WI,W4705 WALLACE RD,54102,,SECONDARY,PRIVATE,,45.537033,-87.842766
VICTORY ACADEMY OCALA,OCALA,FL,3401 SE LAKE WEIR AVE,34471,,ELEMENTARY,PRIVATE,,29.154013,-82.11807
VICTORY ACADEMY/READY FOR SUCCESS,CHATHAM,VA,326 SOUTH MAIN STREET,24531,,,PUBLIC,PITTSYLVANIA COUNTY PUBLIC SCHOOLS,36.820038,-79.39705
VICTORY BAPTIST ACADEMY,BATH,NY,5347 BUCKSETTLEMENT RD,14810,,K-12,PRIVATE,,42.28192,-77.403404
VICTORY BAPTIST ACADEMY,BENTON,AR,5364 HWY 67,72015,,K-12,PRIVATE,,34.53916,-92.641655
VICTORY BAPTIST ACADEMY,CHINO,CA,14132 SAN ANTONIO AVE.,91710,,K-12,PRIVATE,CHINO VALLEY UNIFIED,33.997097,-117.659
VICTORY BAPTIST ACADEMY,NOKOMIS,FL,261 TAMIAMI TRL S,34275,,K-12,PRIVATE,,27.189966,-82.48264
VICTORY BAPTIST ACADEMY,PIEDMONT,MO,CANYON RD,63957,,K-12,PRIVATE,,37.168243,-90.68049
VICTORY BAPTIST ACADEMY,SELINSGROVE,PA,56 ABBY RD,17870,,K-12,PRIVATE,,40.84352,-76.846855
VICTORY BAPTIST ACADEMY,SHELBYVILLE,TN,2200 N MAIN ST,37160,,K-12,PRIVATE,,35.516697,-86.45433
VICTORY BAPTIST ACADEMY,WEATHERFORD,TX,1311 E BANKHEAD DR,76086,,K-12,PRIVATE,,32.756348,-97.77474
VICTORY BAPTIST CHRISTIAN,MARIPOSA,CA,5005 FRANK WILSON,95338,,K-12,PRIVATE,MARIPOSA COUNTY UNIFIED,37.503845,-119.9839
VICTORY BAPTIST CHRISTIAN SCHOOL - VBCS,MARIPOSA,CA,5005 FRANK WILSON RD,95338,,ELEMENTARY,PRIVATE,,37.48759,-119.96254
VICTORY BAPTIST SCHOOL,HAMPTON,VA,445 SHELTON RD,23663,,K-12,PRIVATE,,37.035717,-76.312614
VICTORY BAPTIST SCHOOL,MILLBROOK,AL,5480 MAIN ST,36054,,K-12,PRIVATE,,32.508778,-86.375626
VICTORY BOULEVARD ELEMENTARY,NORTH HOLLYWOOD,CA,6315 RADFORD AVE.,91606,http://www.vbe-lausd-ca.schoolloop.com,ELEMENTARY,PUBLIC,LOS ANGELES UNIFIED,34.185402,-118.39257
VICTORY CAREER COLLEGE,TORRANCE,CA,19401 SOUTH VERMONT AVENUE,90502,victorycareercollege.edu,OTHER TECHNICAL AND TRADE SCHOOLS,,,33.854782,-118.29168
VICTORY CHARTER SCHOOL,NAMPA,ID,1081 EAST LEWIS LANE,83686,https://www.victorycharterschool.net/,OTHER,PUBLIC,VICTORY CHARTER SCHOOL INC.,43.514423,-116.559006
VICTORY CHRISITIAN ACADEMY,NEW ALBANY,MS,116 N DENTON RD,38652,,K-12,PRIVATE,,34.503014,-89.025665
VICTORY CHRISTIAN,CARMICHAEL,CA,3045 GARFIELD AVE.,95608,,HIGH,PRIVATE,SAN JUAN UNIFIED,38.62053,-121.33687
VICTORY CHRISTIAN ACADEMY,ARNOLD,MO,1930 MEYER DRURY DR,63010,,ELEMENTARY,PRIVATE,,38.532036,-90.34804
VICTORY CHRISTIAN ACADEMY,BOWIE,MD,13701 ANNAPOLIS RD,20720,,ELEMENTARY,PRIVATE,,38.970177,-76.76765
VICTORY CHRISTIAN ACADEMY,CHULA VISTA,CA,810 BUENA VISTA WAY,91910,,K-12,PRIVATE,SWEETWATER UNION HIGH,32.64158,-117.00669
VICTORY CHRISTIAN ACADEMY,COLUMBUS,MS,100 VICTORY LOOP,39702,,K-12,PRIVATE,,33.505436,-88.33154
VICTORY CHRISTIAN ACADEMY,DELCO,NC,27139 ANDREW JACKSON HWY E,28436,,K-12,PRIVATE,,34.30775,-78.19684
VICTORY CHRISTIAN ACADEMY,EAST PATCHOGUE,NY,1343 MONTAUK HWY,11772,,K-12,PRIVATE,,40.771187,-72.96152
VICTORY CHRISTIAN ACADEMY,FOLEY,AL,20511 COUNTY ROAD 12,36535,https://victorylifechurch.net/,ELEMENTARY,PRIVATE,,30.356777,-87.67219
VICTORY CHRISTIAN ACADEMY,FORT PLAIN,NY,131 CLARK RD,13339,,K-12,PRIVATE,,42.958763,-74.741005
VICTORY CHRISTIAN ACADEMY,GASTONIA,NC,310 CAROLINA AVE,28052,,K-12,PRIVATE,,35.241497,-81.191444
VICTORY CHRISTIAN ACADEMY,HIBBING,MN,206 E 39TH ST,55746,,K-12,PRIVATE,,47.403736,-92.93915
VICTORY CHRISTIAN ACADEMY,INDIANOLA,IA,805 N 1ST ST,50125,,ELEMENTARY,PRIVATE,,41.36802,-93.56015
VICTORY CHRISTIAN ACADEMY,JACKSONVILLE,FL,10613 LEM TURNER RD,32218,,K-12,PRIVATE,,30.429482,-81.69328
VICTORY CHRISTIAN ACADEMY,LAKELAND,FL,1401 GRIFFIN RD,33810,https://www.vcaonline.org/,K-12,PRIVATE,,28.082937,-81.976944
VICTORY CHRISTIAN ACADEMY,METAIRIE,LA,5708 AIRLINE DR,70003,,ELEMENTARY,PRIVATE,,29.976906,-90.19357
VICTORY CHRISTIAN ACADEMY,MOUNT VERNON,IL,1719 BROADWAY ST,62864,,K-12,PRIVATE,,38.316284,-88.910805
VICTORY CHRISTIAN ACADEMY,OCOEE,FL,1601 A D MIMS RD,34761,,ELEMENTARY,PRIVATE,,28.584486,-81.5237
VICTORY CHRISTIAN ACADEMY,ORLANDO,FL,240 N IVEY LN,32811,,K-12,PRIVATE,,28.54458,-81.43529
VICTORY CHRISTIAN ACADEMY,RICHMOND,VA,8491 CHAMBERLAYNE RD,23227,,ELEMENTARY,PRIVATE,,37.636837,-77.42539
VICTORY CHRISTIAN ACADEMY,ROCHESTER,MN,606 36TH AVE SE,55904,,K-12,PRIVATE,,44.014797,-92.40862
VICTORY CHRISTIAN ACADEMY,SANTA ROSA,CA,4585 BADGER RD.,95409,www.victoryca.org,K-12,PRIVATE,RINCON VALLEY UNION ELEMENTARY,38.483242,-122.67483
VICTORY CHRISTIAN ACADEMY,SCOTTSVILLE,KY,9848 BOWLING GREEN RD,42164,,K-12,PRIVATE,,36.831314,-86.31661
VICTORY CHRISTIAN ACADEMY,TAMPA,FL,6202 S MACDILL AVE,33611,,SECONDARY,PRIVATE,,27.87891,-82.49365
VICTORY CHRISTIAN ACADEMY,VALPARAISO,IN,360 N 325 E,46383,,K-12,PRIVATE,,41.486897,-87.004395
"VICTORY CHRISTIAN ACADEMY, INC",VALPARAISO,IN,3805 LAPORTE AVE STE B,46383,,K-12,PRIVATE,,41.47056,-87.01403
VICTORY CHRISTIAN ACADEMY/TSHUWAH HEBREW ACADEMY,JEFFERSON,SC,717 MILLER RD,29718,,ELEMENTARY,PRIVATE,,34.67541,-80.383934
VICTORY CHRISTIAN CENTER SCHOOL,CHARLOTTE,NC,1501 CARRIER DR,28216,https://www.vccskings.com/,K-12,PRIVATE,,35.27224,-80.859215
VICTORY CHRISTIAN ELEMENTARY,CARMICHAEL,CA,3045 GARFIELD AVE.,95608,,K-12,PRIVATE,SAN JUAN UNIFIED,38.62053,-121.33687
VICTORY CHRISTIAN HIGH SCHOOL,NEOSHO,WI,112 HALE RD,53059,,SECONDARY,PRIVATE,,43.3128,-88.520805
VICTORY CHRISTIAN PRESCHOOL & ACADEMY,WOODBRIDGE,VA,14747 ARIZONA AVE,22191,,ELEMENTARY,PRIVATE,,38.632435,-77.262054
VICTORY CHRISTIAN SCHOOL,ALBUQUERQUE,NM,220 EL PUEBLO RD NW,87114,,K-12,PRIVATE,,35.17674,-106.62478
VICTORY CHRISTIAN SCHOOL,CAMDEN,AR,1244 MAUL RD,71701,,K-12,PRIVATE,,33.596172,-92.85354
VICTORY CHRISTIAN SCHOOL,ELIZABETH CITY,NC,684 OLD HERTFORD HWY,27909,,K-12,PRIVATE,,36.254246,-76.30788
VICTORY CHRISTIAN SCHOOL,HARRISVILLE,MS,489 BETHLEHEM RD,39082,,SECONDARY,PRIVATE,,31.896065,-90.09074
VICTORY CHRISTIAN SCHOOL,JAMESTOWN,ND,510 9TH AVE SW,58401,,ELEMENTARY,PRIVATE,,46.902885,-98.72229
VICTORY CHRISTIAN SCHOOL,NILES,OH,2053 PLEASANT VALLEY RD,44446,,K-12,PRIVATE,,41.19932,-80.67957
VICTORY CHRISTIAN SCHOOL,NORTH AUGUSTA,SC,620 W MARTINTOWN RD,29841,,K-12,PRIVATE,,33.515263,-81.978516
VICTORY CHRISTIAN SCHOOL,ONEONTA,AL,4242 HWY 29,35121,,K-12,PRIVATE,,33.888287,-86.40468
VICTORY CHRISTIAN SCHOOL,PELL CITY,AL,154 VICTORY DR,35125,,K-12,PRIVATE,,33.599525,-86.3187
VICTORY CHRISTIAN SCHOOL,SYLVA,NC,278 VICTORY CHURCH RD,28779,,K-12,PRIVATE,,35.26863,-83.29345
VICTORY CHRISTIAN SCHOOL,TULSA,OK,7700 S LEWIS AVE,74136,,K-12,PRIVATE,,36.041176,-95.95071
VICTORY CHRISTIAN SCHOOL,URBANA,OH,960 CHILDRENS HOME RD,43078,,K-12,PRIVATE,,40.120773,-83.74586
VICTORY CHRISTIAN SCHOOL,VALDOSTA,GA,3229 MADISON HWY,31601,,K-12,PRIVATE,,30.76229,-83.267006
VICTORY COLLEGIATE ACADEMY,PHOENIX,AZ,3535 N. 63RD,85033,https://www.victorycollegiateacademy.com/,ELEMENTARY,PUBLIC,PHILADELPHIA CITY SCHOOL DISTRICT,33.49051,-112.19421
VICTORY COLLEGIATE HIGH SCHOOL,BROOKLYN,NY,6565 FLATLANDS AVE,11236,https://www.victorycollegiate.org,HIGH,PUBLIC,NEW YORK CITY GEOGRAPHIC DISTRICT #18,40.63359,-73.917534
VICTORY DAY SCHOOL,OWINGS MILLS,MD,5112 WAGON SHED CIR,21117,,,PRIVATE,,39.407158,-76.81394
VICTORY EARLY COLLEGE H S,HOUSTON,TX,2330 S VICTORY ST,77088,,HIGH,PUBLIC,ALDINE INDEPENDENT SCHOOL DISTRICT,29.871258,-95.44591
VICTORY EL SCH,HARRISVILLE,PA,1819 GEORGETOWN RD,16038,,ELEMENTARY,PUBLIC,FRANKLIN AREA SCHOOL DISTRICT,41.21325,-79.94108
VICTORY ELEMENTARY,BRISTOW,VA,12001 TYGART LAKE DRIVE,20136,https://victoryes.pwcs.edu/,ELEMENTARY,PUBLIC,PRINCE WILLIAM COUNTY PUBLIC SCHOOLS,38.754208,-77.553856
VICTORY ELEMENTARY,MILWAUKEE,WI,2222 W HENRY AVE,53221,https://www.milwaukee.k12.wi.us,ELEMENTARY,PUBLIC,MILWAUKEE SCHOOL DISTRICT,42.93659,-87.94271
VICTORY ELEMENTARY,PORTSMOUTH,VA,2828 GREENWOOD DRIVE,23701,https://victoryes.pwcs.edu/,ELEMENTARY,PUBLIC,PORTSMOUTH CITY PUBLIC SCHOOLS,36.807392,-76.3359
VICTORY ELEMENTARY,STOCKTON,CA,1838 W. ROSE ST.,95203,https://www.stocktonusd.net/victory,ELEMENTARY,PUBLIC,HALE CENTER INDEPENDENT SCHOOL DISTRICT,37.95962,-121.32031
VICTORY HIGH,ROCKLIN,CA,3250 VICTORY DR.,95765,http://www.rocklin.k12.ca.us,HIGH,PUBLIC,ROCKLIN UNIFIED,38.815853,-121.25488
VICTORY HIGH SCHOOL,JAFFREY,NH,7 KNIGHT ST STE 2 STE 3,03452,,SECONDARY,PRIVATE,,42.81762,-72.019226
VICTORY HIGH SCHOOL - CAMPUS,PHOENIX,AZ,1650 W SOUTHERN AVE,85041,http://www.victoryhigh.com/,HIGH,PUBLIC,VICTORY HIGH SCHOOL INC.,33.392773,-112.09446
VICTORY IN CHRIST CLASSICAL LUTHERAN ACADEMY,NEWARK,TX,508 MAIN ST,76071,,K-12,PRIVATE,,32.999123,-97.48524
