SALAMONIE SCHOOL, WARREN, IN, 1063 E 900 S
SEYMOUR ELEMENTARY SCHOOL, PAYSON, IL, 404 W STATE ST
SEYMOUR ELEMENTARY SCHOOL, SEYMOUR, IA, 100 SOUTH PARK
SEYMOUR H S, SEYMOUR, TX, 300 STADIUM DR
SEYMOUR HIGH SCHOOL, SEYMOUR, TN, 732 BOYDS CREEK RD
SEYMOUR MIDDLE SCHOOL, SEYMOUR, IN, 920 N O'BRIEN ST
SEYMOUR SENIOR HIGH SCHOOL, SEYMOUR, IN, 1350 W 2ND ST
SEYMOUR-REDDING ELEMENTARY SCHOOL, SEYMOUR, IN, 1700 N EWING ST
SGT HENRY JOHNSON YOUTH LEADERSHIP ACADEMY, SOUTH KORTRIGHT, NY, 57081 STATE HIGHWAY 10
SGT MANUEL CHACON MIDDLE, MERCEDES, TX, 801 S MILE 1 E
SGT WILLIAM G HARRELL MIDDLE, MERCEDES, TX, 2825 N FM 491
SH'OR YOSHUV RABBINICAL COLLEGE, LAWRENCE, NY, 1 CEDARLAWN AVENUE
SHAARE SHAMAYIM PRESCHOOL AND KINDERGARTEN, PHILADELPHIA, PA, 9768 VERREE RD
SHABBONA ELEM SCHOOL, BOURBONNAIS, IL, 321 N CONVENT ST
SHACKELFORD EL, WAXAHACHIE, TX, 1001 BUTCHER RD
SHACKELFORD ELEMENTARY, MODESTO, CA, 100 SCH AVE.
SHACKELFORD J H, ARLINGTON, TX, 2000 N FIELDER RD
SHADE ELEMENTARY SCHOOL, WEST CARROLLTON, OH, 510 E PEASE AVE
SHADE GAP EL SCH, SHADE GAP, PA, 22251 SHADE VALLEY ROAD
SHADE MOUNTAIN CHRISTIAN SCHOOL, MIFFLIN, PA, 11941 ROUTE 35 S
SHADES CAHABA ELEMENTARY SCHOOL, HOMEWOOD, AL, 3001 INDEPENDENCE DRIVE
SHADES MOUNTAIN ELEMENTARY SCHOOL, HOOVER, AL, 2250 SUMPTER ST
SHADES VALLEY HIGH SCHOOL, IRONDALE, AL, 6100 OLD LEEDS RD
SHADEVILLE ELEMENTARY SCHOOL, CRAWFORDVILLE, FL, 45 WARRIOR WAY
SHADOW FOREST EL, KINGWOOD, TX, 2300 MILLS BRANCH DR
SHADOW HILLS ELEMENTARY, ALPINE, CA, 8770 HARBISON CANYON RD.
SHADOW HILLS ELEMENTARY, BOISE, ID, 8301 WEST SLOAN STREET
SHADOW HILLS ENGINEERING AND DESIGN MAGNET ACADEMY, PALMDALE, CA, 37315 60TH ST. EAST
SHADOW HILLS HIGH, INDIO, CA, 39-225 JEFFERSON ST.
SHADOW LAKE ELEMENTARY, MAPLE VALLEY, WA, 22620 SWEENEY ROAD SE
SHADOW RIDGE HIGH SCHOOL, LAS VEGAS, NV, 5050 BRENT LN.
SHADOW RIDGE MIDDLE, FLOWER MOUND, TX, 2050 ABERDEEN RD
SHADOW ROCK ELEMENTARY SCHOOL, LITHONIA, GA, 1040 KING WAY DR
SHADOW VALLEY SCHOOL, OGDEN, UT, 4911 S 1500 E
SHADOWLAWN ELEMENTARY SCHOOL, GREEN COVE SPRINGS, FL, 2945 COUNTY ROAD 218
SHADOWLAWN ELEMENTARY SCHOOL, NAPLES, FL, 2161 SHADOWLAWN DR
SHADY ACRES SCHOOL, ORWELL, OH, 1819 HAGUE RD
SHADY DELL EARLY CHILDHOOD CTR, SPRINGFIELD, MO, 2757 E DIVISION
SHADY GROVE EL, KELLER, TX, 1400 SARAH BROOKS DR
SHADY GROVE EL SCH, AMBLER, PA, 351 W SKIPPACK PIKE
SHADY GROVE ELEMENTARY, GLEN ALLEN, VA, 12200 WYNDHAM LAKE DR
SHADY GROVE ELEMENTARY, MEMPHIS, TN, 5360 SHADY GROVE RD
SHADY GROVE ELEMENTARY SCHOOL, MONROE, LA, 2204 TICHELI ROAD
SHADY HILLS ELEMENTARY SCHOOL, SPRING HILL, FL, 18000 SHADY HILLS RD
SHADY LANE ELEMENTARY, MENOMONEE FALLS, WI, W172N8959 SHADY LN
SHADY LANE SCHOOL, FONDA, NY, STONE ARABIA RD
SHADY MAPLES SCHOOL, CANEYVILLE, KY, 1291 CHONCIE LEE RD
SHADY MEADOW SCHOOL, SPRING MILLS, PA, 147 SMITHTOWN RD
SHADY OAKS EL, HURST, TX, 1400 CAVENDER DR
SHADY OAKS SCHOOL, CORDOVA, TN, 2000 N GERMANTOWN PKWY
SHADY POINT PUBLIC SCHOOL, SHADY POINT, OK, 22838 WHEELUS
SHADY POND SCHOOL, ALTOONA, PA, 560 GOLF COURSE RD
SHADY SPRING HIGH, SHADY SPRING, WV, 300 HINTON ROAD
SHADYBEND ELEMENTARY, HACIENDA HEIGHTS, CA, 15430 SHADYBEND DR.
SHADYSIDE HIGH SCHOOL, SHADYSIDE, OH, 3890 LINCOLN AVE
SHAFFER ELEMENTARY, ATWATER, CA, 1434 CALIFORNIA ST.
SHAFFER ELEMENTARY SCHOOL, LITTLETON, CO, 7961 S SANGRE DE CRISTO ROAD
SHAFTSBURY ELEMENTARY SCHOOL, SHAFTSBURY, VT, 150 BUCK HILL ROAD
SHAJARA TAYYIBA SCHOOL, CANTON, MI, 7437 N SHELDON RD
SHAKAMAK ELEMENTARY SCHOOL, JASONVILLE, IN, 9233 SHAKAMAK SCH RD
SHAKER LANE ELEMENTARY, LITTLETON, MA, 35 SHAKER LANE
SHAKER ROAD ELEMENTARY SCHOOL, ALBANY, NY, 512 ALBANY SHAKER RD
SHAKER ROAD SCHOOL, CONCORD, NH, 95 SHAKER RD
SHAKOPEE AREA CATHOLIC SCHOOL, SHAKOPEE, MN, 2700 17TH AVE E
SHALER AREA EL SCH, GLENSHAW, PA, 705 SCOTT AVENUE
SHALER AREA HS, PITTSBURGH, PA, 381 WIBLE RUN RD
SHALOM MENNONITE SCHOOL, TERRE HILL, PA, 1410 UNION GROVE RD
SHALVA HIGH SCHOOL, LAKEWOOD, NJ, 1980 SWARTHMORE AVE, UNIT 1
SHAMOKIN AREA EL SCH, COAL TOWNSHIP, PA, 3000 W STATE ST
SHAMROCK, WOBURN, MA, 60 GREEN STREET
SHANDIN HILLS MIDDLE, SAN BERNARDINO, CA, 4301 LITTLE MOUNTAIN DR.
SHANNOCK VALLEY EL SCH, RURAL VALLEY, PA, 210 COWANSHANNOCK AVENUE
SHANNON ELEMENTARY, PINOLE, CA, 685 MARLESTA RD.
SHANNON ELEMENTARY SCHOOL, MONTICELLO, IA, 321 W SOUTH ST
SHANNON RANCH ELEMENTARY, VISALIA, CA, 3637 N. RANCH ST.
SHANNONDALE ELEMENTARY, KNOXVILLE, TN, 5316 SHANNONDALE RD
SHANTI KIDS PRESCHOOL, HIALEAH, FL, 2863 W 2ND AVE
SHARON ACADEMY, SHARON, VT, 6704 VT ROUTE 14
SHARON COMMUNITY, SHARON, WI, 104 E SCHOOL ST
SHARON ELEMENTARY, CLIFTON FORGE, VA, 100 SHARON SCHOOL CIRCLE
SHARON ELEMENTARY, STATESVILLE, NC, 880 SHARON SCH RD
SHARON ELEMENTARY SCHOOL, NEWBURGH, IN, 7300 SHARON RD
SHARON ELEMENTARY SCHOOL, SUWANEE, GA, 3595 OLD ATLANTA RD
SHARON HIGH, SHARON, MA, 181 POND STREET
SHARON J HARDY ELEMENTARY SCHOOL, SOUTH LYON, MI, 24650 COLLINGWOOD DR
SHARON MIDDLE, SHARON, MA, 75 MOUNTAIN STREET
SHARON SHANNON EL, ROCKWALL, TX, 3130 FONTANNA BLVD
SHARON SPRINGS CENTRAL SCHOOL, SHARON SPRINGS, NY, 514 ST RT 20
SHARON-MUTUAL HS, MUTUAL, OK, 210 S MAPLE ST
SHARONVILLE ELEMENTARY SCHOOL, CINCINNATI, OH, 11150 MAPLE ST
SHARP ACADEMY, LUBBOCK, TX, 8315 INDIANA AVE
SHARP DEAN SCHOOL OF CONTINUING STUDIES INC, ANNISTON, AL, 1910 NOBLE ST
SHARPE ELEMENTARY SCHOOL, BENTON, KY, 8400 US HWY 68 W
SHARPS ACADEMY OF HAIR STYLING, GRAND BLANC, MI, 8166 N HOLLY RD
SHARPSBURG ELEMENTARY, SHARPSBURG, MD, 17525 SHEPHERDSTOWN PIKE
SHARPSBURG ELEMENTARY SCHOOL, NORWOOD, OH, 4400 SMITH RD
SHARPSTOWN H S, HOUSTON, TX, 7504 BISSONNET ST
SHARSWOOD GEORGE SCH, PHILADELPHIA, PA, 2300 S 2ND ST
SHARYLAND NORTH J H, MCALLEN, TX, 1500 DOVE
SHASTA ELEMENTARY, SHASTA, CA, 10446 RED BLUFF RD.
SHASTA ELEMENTARY SCHOOL, KLAMATH FALLS, OR, 1951 MADISON ST
SHATEKON ELEMENTARY SCHOOL, CLIFTON PARK, NY, 35 MAXWELL RD
SHATTUCK MIDDLE, NEENAH, WI, 600 ELM ST
SHAVER ELEMENTARY SCHOOL, PORTLAND, OR, 3701 NE 131ST PL
SHAW ACADEMY, LAURINBURG, NC, 18700 OLD WIRE ROAD
SHAW ISLAND ELEMENTARY SCHOOL, SHAW ISLAND, WA, 44 HOFFMAN COVE ROAD
SHAW ROAD ELEMENTARY, PUYALLUP, WA, 1106 SHAW RD
SHAWANO HIGH, SHAWANO, WI, 220 COUNTY ROAD B
SHAWANOE ELEM, SHAWNEE MISSION, KS, 11230 W 75TH
SHAWMONT SCH, PHILADELPHIA, PA, 535 SHAWMONT AVE
SHAWNEE COMMUNITY COLLEGE, ULLIN, IL, 8364 SHAWNEE COLLEGE RD
SHAWNEE ELEMENTARY, HURON, OH, 712 CLEVELAND RD E
SHAWNEE ELEMENTARY SCHOOL, XENIA, OH, 92 E ANKENEY MILL RD
SHAWNEE HEIGHTS HIGH, TECUMSEH, KS, 4201 SE SHAWNEE HEIGHTS RD
SHAWNEE HIGH SCHOOL, SPRINGFIELD, OH, 1675 E POSSUM RD
SHAWNEE HS, SHAWNEE, OK, 1001 NORTH KENNEDY STREET
SHAWNEE MISSION NORTH HIGH, SHAWNEE MISSION, KS, 7401 JOHNSON DRIVE
SHAWNEE MISSION SOUTH HIGH, SHAWNEE MISSION, KS, 5800 W 107TH ST
SHAWNEE TRAIL EL, FRISCO, TX, 10701 PRESTON VINEYARD DR
SHAWSHEEN ELEMENTARY SCHOOL, GREELEY, CO, 4020 WEST 7TH STREET
SHAWSHEEN SCHOOL, ANDOVER, MA, 18 MAGNOLIA AVE
SHAWSWICK ELEMENTARY SCHOOL, BEDFORD, IN, 71 SHAWSWICK SCHOOL RD
SHEAD HIGH SCHOOL, EASTPORT, ME, 89 HIGH STREET
SHEAR EARLY CHILDHOOD CENTER, REDFORD, MI, 26141 SCHOOLCRAFT
SHEARN EL, HOUSTON, TX, 9802 STELLA LINK RD
SHEBOYGAN LEADERSHIP ACADEMY, SHEBOYGAN, WI, 1305 ST CLAIR AVE
SHEEHY ELEMENTARY SCHOOL, TAMPA, FL, 6402 N 40TH ST
SHEEP-HARNEY ELEMENTARY, ELIZABETH CITY, NC, 200 W ELIZABETH ST
SHEFFIELD ELEMENTARY, LYNCHBURG, VA, 115 KENWOOD PLACE
SHEFFIELD ELEMENTARY, MEMPHIS, TN, 4290 CHUCK AVE
SHEFFIELD ELEMENTARY SCHOOL, TURNERS FALLS, MA, 43 CROCKER AVENUE
SHELBY HIGH, SHELBY, NC, 230 E DIXON BOULEVARD
SHELBY HIGH SCHOOL, SHELBY, MI, 641 NORTH STATE ST
SHELBY JUNIOR HIGH SCHOOL, SHELBY TOWNSHIP, MI, 51700 VAN DYKE AVE
SHELBY MIDDLE SCHOOL, SHELBY, OH, 109 W SMILEY AVE
SHELBY VALLEY DAY TREATMENT, PIKEVILLE, KY, 95 DOUGLAS PARK
SHELBYVILLE CENTRAL HIGH SCHOOL, SHELBYVILLE, TN, 401 EAGLE BLVD
SHELBYVILLE HIGH SCHOOL, SHELBYVILLE, IL, 1001 W NORTH 6TH ST
SHELBYVILLE MIDDLE SCHOOL, SHELBYVILLE, IN, 1200 W MCKAY RD
SHELDON ELEMENTARY SCHOOL, SHELDON, VT, 78 POOR FARM ROAD
SHELLEY SCHOOL, AMERICAN FORK, UT, 602 N 200 W
SHELTER ISLAND SCHOOL, SHELTER ISLAND, NY, 33 N FERRY RD
SHELTER ROCK ELEMENTARY SCHOOL, MANHASSET, NY, 27A SHELTER ROCK RD
SHELTERS ELEMENTARY SCHOOL, SOUTHGATE, MI, 12600 FORDLINE ST
SHELTERWOOD ACADEMY, INDEPENDENCE, MO, 3205 N TWYMAN RD
SHELTON ELEMENTARY SCHOOL, GOLDEN, CO, 420 CRAWFORD STREET
SHELTON ELEMENTARY SCHOOL, SHELTON, NE, 210 9TH ST
SHELTON HIGH SCHOOL, SHELTON, CT, 120 MEADOW ST.
SHELTON STATE COMMUNITY COLLEGE, TUSCALOOSA, AL, 9500 OLD GREENSBORO RD
SHELTON VALLEY CHRISTIAN SCHOOL, SHELTON, WA, 201 SHELTON VALLEY RD
SHENANDOAH ELEM., ST LOUIS, MO, 3412 SHENANDOAH AVE
SHENANDOAH HIGH SCHOOL, SARAHSVILLE, OH, 49346 SENECA LAKE RD
SHENANDOAH HIGH SCHOOL, SHENANDOAH, IA, 1000 MUSTANG DR
SHENANDOAH UNIVERSITY, WINCHESTER, VA, 1460 UNIVERSITY DR
SHENANDOAH UNIVERSITY - NORTHERN VIRGINIA CAMPUS-SCHOLAR PLAZA, LEESBURG, VA, 44160 SCHOLAR PLAZA SUITE 100
SHENANDOAH VALLEY GOVERNOR'S SCHOOL, FISHERSVILLE, VA, 49 HORNET ROAD
SHENANDOAH VALLEY JUVENILE DETENTION HOME, STAUNTON, VA, 110 MONTGOMERY AVE.
SHENENDEHOWA HIGH SCHOOL, CLIFTON PARK, NY, 970 RT 146
SHEPARD BLVD. ELEM., COLUMBIA, MO, 2616 SHEPARD BLVD
SHEPARD HILL ELEMENTARY SCHOOL, PLAINFIELD, CT, 234 SHEPARD HILL RD.
SHEPARD HILLS ELEMENTARY, OAK CREEK, WI, 9701 S SHEPARD HILLS DR
SHEPARDSON ELEMENTARY SCHOOL, FORT COLLINS, CO, 1501 SPRINGWOOD DRIVE
SHEPHERD GLEN SCHOOL, HAMDEN, CT, 1 SKIFF ST. EXT.
SHEPHERD H S, SHEPHERD, TX, 1 PIRATE LN
SHEPHERD OF THE COAST LUTHERAN SCHOOL, FORT LAUDERDALE, FL, 1901 E COMMERCIAL BLVD
SHEPHERD OF THE VALLEY LUTHERAN SCHOOL, MENASHA, WI, N8728 COOP RD
SHEPHERD OF THE VALLEY SCHOOL, MORENO VALLEY, CA, 11650 PERRIS BLVD
SHEPHERDSTOWN ELEMENTARY SCHOOL, SHEPHERDSTOWN, WV, 662 SOUTH CHURCH STREET
SHEPTON H S, PLANO, TX, 5505 PLANO PKWY
SHERBURNE-EARLVILLE ELEMENTARY SCHOOL, SHERBURNE, NY, 15 SCHOOL ST
SHERIDAN ACADEMY, MERIDIAN, ID, 2273 E GALA ST STE 120
SHERIDAN ELEMENTARY SCHL, SHERIDAN, MT, 211 MADISON ST
SHERIDAN ELEMENTARY SCHOOL, SHERIDAN, IN, 24795 HINESLEY RD
SHERIDAN HIGH SCHOOL, SHERIDAN, IN, 24185 N HINESLEY RD
SHERIDAN HIGH SCHOOL, SHERIDAN, WY, 1056 LONG DRIVE
SHERIDAN HILLS ELEMENTARY, RICHFIELD, MN, 6400 SHERIDAN AVE S
SHERIDAN JUNIOR HIGH SCHOOL, SHERIDAN, WY, 500 LEWIS STREET
SHERIDAN PREPARATORY ACADEMY, ALBANY, NY, 400 SHERIDAN AVE
SHERIDAN SCHOOL, WASHINGTON, DC, 4400 36TH ST NW
SHERIFF'S DETENTION CENTER, LAND O LAKES, FL, 20101 CENTRAL BLVD
SHERMAN COUNTY SCHOOL, MORO, OR, 65912 HIGH SCHOOL LP
SHERMAN EL, HOUSTON, TX, 1909 MCKEE ST
SHERMAN ELEMENTARY SCHOOL, MANSFIELD, OH, 1138 SPRINGMILL ST
SHERMAN HIGH SCHOOL, SETH, WV, 10008 COAL RIVER ROAD
SHERMAN HIGH SCHOOL, SHERMAN, NY, 127 PARK ST
SHERMAN MIDDLE, MADISON, WI, 1610 RUSKIN ST
SHERMAN OAKS CENTER FOR ENRICH, RESEDA, CA, 18605 ERWIN ST.
SHERMAN SCHOOL, FAIRFIELD, CT, 250 FERN ST.
SHERMAN SCHOOL, SHERMAN, CT, 2 ROUTE 37 EAST
SHERMAN VIEW SCHOOL, LOYSVILLE, PA, 531 IRON BRIDGE RD
SHERRILLS FORD ELEMENTARY, SHERRILLS FORD, NC, 8103 SHERRILLS FORD ROAD
SHERWOOD CENTER FOR THE EXCEPTINOAL CHILD, KANSAS CITY, MO, 8030 WARD PKWY PLZ
SHERWOOD CHRISTIAN ACADEMY, ALBANY, GA, 1418 OLD PRETORIA RD
SHERWOOD EL, HOUSTON, TX, 1700 SHERWOOD FOREST
SHERWOOD ELEM SCHOOL, HIGHLAND PARK, IL, 1900 STRATFORD RD
SHERWOOD ELEM., CREIGHTON, MO, 33300 S SHERWOOD DR
SHERWOOD ELEMENTARY, EDMONDS, WA, 22901 106TH AVE W
SHERWOOD ELEMENTARY, SALINAS, CA, 110 S. WOOD ST.
SHERWOOD ELEMENTARY SCHOOL, CINCINNATI, OH, 7080 GRANTHAM WAY
SHERWOOD ELEMENTARY SCHOOL, SHERWOOD, AR, 307 VERONA AVE
SHERWOOD GLOBAL STUDIES ACADEMY, GRAND RAPIDS, MI, 3859 CHAMBERLAIN AVE SE
SHERWOOD HEIGHTS ELEMENTARY SCH, AUBURN, ME, 32 SHERWOOD DRIVE
SHERWOOD HIGH, SANDY SPRING, MD, 300 OLNEY-SANDY SPRING RD
SHERWOOD HIGH SCHOOL, SHERWOOD, OR, 16956 SW MEINECKE RD
SHETTLER SCHOOL, MUSKEGON, MI, 2187 SHETTLER RD
SHEVACH HIGH SCHOOL, FLUSHING, NY, 7509 MAIN ST
SHEYENNE VALLEY AREA CAREER & TECH CENTER, VALLEY CITY, ND, 801 VALLEY AVE SE
SHICKLEY HIGH SCHOOL, SHICKLEY, NE, 104 E MURRAY
SHIDLER HS, SHIDLER, OK, 312 WEST 1ST STREET
SHIELD OF FAITH CHRISTIAN SCHOOL, EL MONTE, CA, 4900 KINGS ROW
SHIELDS MIDDLE SCHOOL, CHICAGO, IL, 2611 W 48TH ST
SHIELDS VALLEY 7-8, CLYDE PARK, MT, 405 1ST STREET EAST
SHILOH CHARTER, MODESTO, CA, 6633 PARADISE RD.
SHILOH CHRISTIAN ACADEMY, BILLINGS, MT, 328 S SHILOH RD
SHILOH CHRISTIAN ACADEMY, EL PASO, TX, 8800 CRISTO VIENE DR
SHILOH CHRISTIAN SCHOOL, BISMARK, ND, 1915 SHILOH DR
SHILOH CHRISTIAN SCHOOL, CONRATH, WI, W 7385 COUNTY ROAD I
SHILOH CHRISTIAN SCHOOL, TAHLEQUAH, OK, 1282 AMITY LN
SHILOH ELEMENTARY SCHOOL, SHILOH, IL, 125 DIAMOND CT
SHILOH ELEMENTARY SCHOOL, SNELLVILLE, GA, 2400 ROSS RD
SHILOH MIDDLE SCHOOL, PARMA, OH, 2303 GRANTWOOD DR
SHILOH PARK ELEM SCHOOL, ZION, IL, 2635 GABRIEL AVE
SHILOH POINT ELEMENTARY, CUMMING, GA, 8145 MAJORS RD
SHINING STAR CHRISTIAN SCHOOL-FAIRVIEW, MILWAUKEE, WI, 137 N 66TH ST
SHINING STARS PRESCHOOL, RIO RANCHO, NM, 4477 9TH AVE SE
SHIOCTON ELEMENTARY, SHIOCTON, WI, N5660 BROAD ST
SHIPLEY'S CHOICE ELEMENTARY, MILLERSVILLE, MD, 310 GOVERNOR STONE PKY
SHIPMAN ELEM SCHOOL, SHIPMAN, IL, PO BOX 229
SHIRLAND C C SCHOOL, SHIRLAND, IL, PO BOX 99
SHIRLEY AVENUE ELEMENTARY, RESEDA, CA, 19452 HART ST.
SHIRLEY JOHNSON/GRETNA PARK ELEMENTARY SCHOOL, GRETNA, LA, 1130 GRETNA BOULEVARD
SHIRLEY ROMINGER INTERMEDIATE, WINTERS, CA, 502 NIEMANN ST.
SHIVE ELEMENTARY, ROCKWELL, NC, 655 HOLSHOUSER RD
SHIWI TS'ANA ELEMENTARY, ZUNI, NM, 38 ZUNI ROUTE 301 NORTH
SHOEMAKER ELEMENTARY SCHOOL, GRAND ISLAND, NE, 4160 W OLD POTASH HWY
SHOESMITH ELEM SCHOOL, CHICAGO, IL, 1330 E 50TH ST
SHOHOLA EL SCH, SHOHOLA, PA, 940 TWIN LAKES ROAD
SHONTO PREPARATORY TECHNOLOGY HIGH SCHOOL, SHONTO, AZ, EAST HIGHWAY 160/98
SHOOP MATH-SCI TECH ELEM ACADEMY, CHICAGO, IL, 11140 S BISHOP ST
SHORE ACRES ELEMENTARY, BAY POINT, CA, 351 MARINA RD.
SHORE COUNTRY DAY SCHOOL, BEVERLY, MA, 545 CABOT ST
SHORE ROAD SCHOOL, BELLMORE, NY, 2801 SHORE RD
SHOREHAM ELEMENTARY SCHOOL, SHOREHAM, VT, 130 SCHOOL ROAD
SHORELAND ELEMENTARY SCHOOL, TOLEDO, OH, 5650 SUDER AVE
SHORELAND LUTHERAN HIGH SCHOOL, SOMERS, WI, 9026 12TH ST
SHORELINE ACADEMY, TAFT, TX, 1220 GREGORY ST
SHORELINE COMMUNITY COLLEGE, SHORELINE, WA, 16101 GREENWOOD AVE N
SHOREWOOD HIGH SCHOOL, SHORELINE, WA, 17300 FREMONT AVENUE N.
SHORT AVENUE ELEMENTARY, LOS ANGELES, CA, 12814 MAXELLA AVE.
SHORT EL, ARLINGTON, TX, 2000 CALIFORNIA LN
SHOSHONE ELEMENTARY, SHOSHONE, CA, 72 CHARLES BROWN RD.
SHOSHONE ELEMENTARY SCHOOL, SHOSHONE, ID, 61 EAST HIGHWAY 24
SHOSHONE-BANNOCK SCHOOL DISTRICT NO 512, FORT HALL, ID, P.O. BOX 790
SHOW LOW JUNIOR HIGH SCHOOL, SHOW LOW, AZ, 761 E. MCNEIL
SHOW-ME CHRISTIAN SCHOOL, LA MONTE, MO, 24302 MAHIN RD
SHOW-ME CHRISTIAN YOUTH HOME, CAMDENTON, MO, 20 SHOW ME LN
SHOWERS OF BLESSINGS CHRISTIAN ACADEMY, FORT LAUDERDALE, FL, 2230 NW 22ND ST
SHREVE ELEMENTARY SCHOOL, SHREVE, OH, 598 N MARKET ST
SHREVEWOOD ELEMENTARY, FALLS CHURCH, VA, 7525 SHREVE RD
SHREWSBURY CHRISTIAN ACADEMY, NEW FREEDOM, PA, 701 WINDY HILL RD
SHREWSBURY EL SCH, SHREWSBURY, PA, 331 S MAIN ST
SHREWSBURY MONTESSORI SCHOOL, SHREWSBURY, MA, 55 OAK ST
SHREWSBURY MOUNTAIN SCHOOL, CUTTINGSVILLE, VT, 300 MOUNTAIN SCHOOL ROAD
SHUE-MEDILL MIDDLE SCHOOL, NEWARK, DE, 1500 CAPITOL TRAIL
SHUFORD ELEMENTARY, CONOVER, NC, 810 HUNSUCKER DRIVE
SHUGART EL, GARLAND, TX, 4726 ROSEHILL RD
SHULER ELEMENTARY, CLIVE, IA, 16400 DOUGLAS PARKWAY
SHULL EARLY LEARNING CENTER, PECULIAR, MO, 11706 E. 211TH ST.
SHUNGNAK SCHOOL, SHUNGNAK, AK, #6 WEST RIVER RD
SIAM LEARNING CENTER, ELIZABETHTON, TN, 2543 SIAM RD
SIBLEY ELEMENTARY, NORTHFIELD, MN, 1400 MAPLE ST
SIBLEY SCHOOL, GRAND RAPIDS, MI, 943 SIBLEY ST NW
SIBLEY-OCHEYEDAN MIDDLE SCHOOL, SIBLEY, IA, 120 11TH AVE NE
SIDE BY SIDE CHARTER SCHOOL, NORWALK, CT, 10 CHESTNUT ST.
SIDNEY C. HUNTINGTON ELEMENTARY, GALENA, AK, 299 ANTOSKI AVE
SIDNEY GUTIERREZ MIDDLE, ROSWELL, NM, 69 E. GAIL HARRIS
SIDNEY HIGH SCHOOL, SIDNEY, NE, 1100 19TH AVE
SIDNEY MIDDLE SCHOOL, SIDNEY, OH, 980 FAIR RD
SIDNEY SCHOOL, SIDNEY, TX, 4100 HWY 1689
SIEBERT EL, EASTLAND, TX, 100 LITTLE MAVERICK TRAIL
SIEBERT ELEMENTARY SCHOOL, COLUMBUS, OH, 385 REINHARD AVE
SIEDEN PRAIRIE ELEMENTARY SCHOOL, MATTESON, IL, 725 NOTRE DAME DR
SIERRA AVENUE ELEMENTARY, OROVILLE, CA, 1050 SIERRA AVE.
SIERRA COLLEGE - NEVADA COUNTY CAMPUS, GRASS VALLEY, CA, 250 SIERRA COLLEGE DRIVE
SIERRA COLLEGE - ROSEVILLE GATEWAY CAMPUS, ROSEVILLE, CA, 316 VERNON STREET
SIERRA COMMUNITY DAY-EAST, LOYALTON, CA, 305 3RD ST.
SIERRA ELEMENTARY, ALAMOGORDO, NM, 2211 PUERTO RICO AVE
SIERRA HIGH, WHITTIER, CA, 9401 S. PAINTER
SIERRA LINDA ELEMENTARY, OXNARD, CA, 2201 JASMINE ST.
SIERRA LOWER SCHOOL, SACAMENTO, CA, 9738 LINCOLN VILLAGE DR. #100
SIERRA MIDDLE, LAS CRUCES, NM, 1700 SPRUCE AVE
SIERRA MIDDLE, RIVERSIDE, CA, 4950 CENTRAL AVE.
SIERRA MIDDLE, STOCKTON, CA, 6768 ALEXANDRIA PL.
SIERRA NEVADA ACADEMY CHARTER SCHOOL, RENO, NV, 13880 STEAD BLVD.
SIERRA NEVADA COLLEGE, INCLINE VILLAGE, NV, 999 TAHOE BLVD.
SIERRA NEVADA COLLEGE - LAS VEGAS CAMPUS, HENDERSON, NV, 4300 EAST SUNSET ROAD STE E-1
SIERRA NEVADA COLLEGE - RENO CAMPUS, RENO, NV, 9480 GATEWAY DRIVE SUITE 150
SIERRA PACIFIC HIGH, HANFORD, CA, 1259 N. 13TH AVE.
SIERRA RIDGE MIDDLE, POLLOCK PINES, CA, 2700 AMBER TRAIL
SIERRA SCHOOL AT LIVERMORE HIGH SCHOOL, LIVERMORE, CA, 600 MAPLE ST.
SIERRA UPPER SCHOOL OF SACRAMENTO, SACRAMENTO, CA, 9736 LINCOLN VILLAGE DR. #130
SIERRA VIEW CHRISTIAN ACADEMY, CLOVIS, CA, 3268 WRENWOOD AVE.
SIERRA VIEW ELEMENTARY, MADERA, CA, 16436 PAULA RD.
SIERRA VIEW ELEMENTARY, NORTH HIGHLANDS, CA, 3638 BAINBRIDGE DR.
SIERRA VISTA EDUCATION CENTER, RIDGECREST, CA, 1327 N. NORMA ST.
SIERRA VISTA ELEMENTARY, LOS ANGELES, CA, 4342 ALPHA ST.
SIERRA VISTA ELEMENTARY SCHOOL, PUEBLO WEST, CO, 500 SOUTH SPAULDING
SIERRA VISTA HIGH SCHOOL, LAS VEGAS, NV, 8100 W. ROBINDALE RD.
SIERRA VISTA MIDDLE, IRVINE, CA, 2 LIBERTY
SIERRA VISTA MIDDLE SCHOOL, SUNNYSIDE, WA, 916 N. 16 STREET
SIG ROGICH MIDDLE SCHOOL, LAS VEGAS, NV, 235 N. PAVILION CENTER DR.
SIGNAL HILL ELEM SCHOOL, BELLEVILLE, IL, 40 SIGNAL HILL PL
SIGNAL HILL ELEMENTARY SCHOOL, DIX HILLS, NY, 670 CALEDONIA RD
SIGNAL HILL SCHOOL, VOORHEES, NJ, 33 SIGNAL HILL DRIVE
SIGNAL MOUNTAIN MIDDLE/HIGH SCHOOL, SIGNAL MOUNTAIN, TN, 2650 SAM POWELL TRL
SIGNATURE SCHOOL INC, EVANSVILLE, IN, 610 MAIN ST
SIKORA MONTESSORI SCHOOL, WHEELING, WV, 2108 LUMBER AVE
