Standard Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibra Hospital of Southeastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices Effective July 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item/Service/Service Package Description,CPT/HCPCS Code,DRG/CMG,NDC,Other Accounting/ Revenue Codes,Rx Charge Quantity,Inpatient Default Gross Charge,Outpatient Default Gross Charge,Discounted Cash Price,De-identified Minimum Negotiated Payer Specific Charge,De-identified Maximum Negotiated Payer Specific Charge,ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 744,"ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
Auto 759/ WC 34","ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
MR  884",Aetna  720,Aetna Medicare Advantage,Affinity Hospice,AHLIC PPO MR  962 (Aetna),BC/BS of Michigan 600,BC/BS of Michigan 600,"Beaumont Health
Formerly OAKWOOD ACO 314",Blue Care Network Michigan   230,Blue Care Network of Michigan Medicare Adv  712,Cofinity/PPOM   500,Consumers Mutual Ins of MI,DMC CARE  747,Ethix 711,Fidelis Secure Med Adv 961,Fidelis Securecare DR 960,Trusted Health Plan (formerly Harbor Health Choice) 734,Trusted Health Plan (formerly Harbor Health Advantage) MR 982,Health Alliance Plan 725 (PHP),Health Alliance Medicare Senior Plus and Medicare PPO,Health Payors Organization  717,HealthPlus of Michigan (HPM) MR,Humana-Choice Care 718,Integrated Health Plan 712,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,Medicare,MediNcrease,MediNcrease WC,Paradigm Specialty Network (Formerly AdvaNet) WC,"Wellcare DR (previously Meridian Health Plan DR)
*Only Name change*
","Wellcare MR ( Previously Meridian Health Plan MR)
* Only Name change*","Wellcare Health Plan (Previously Meridian Health Plan)
*Name change only*","Wellcare Health Plan MICHILD (Previously Meridian Health Plan MICHILD)
*Name change only*",Midwest Health Plan,Molina MR,Molina DR,Molina Marketplace,"Multiplan Primary 
Network - PHCS, PHCS Savility, HealthEOS Network
 715","Multiplan Complimentary 737
Multiplan, Value point
 737","Multiplan WC 54
Multiplan, Value Point
 617","Multiplan Auto 618
Multiplan, Value Point
 618",National Providers Network (NPN) 719,Preferred Hlth 750,Priority Health Choice,Priority Health Choice,Priority Health Choice MR,"Provider Network of America
Wrap/TPA",Three Rivers Hospital Network,Tricare East -Humana Government Business,Tricare East -Humana Government Business,"Total Healthcare Comm 319, Medicare Adv 727","Total Healthcare Comm 319, Medicare Adv 727",Total Healthcare DR 231,Total Healthcare DR 231,UHC Community Commercial 318,UHC Community MME 905,UHC Community MR 710,UHC Community MR 710,UHC Community DR 904,"VA Administration
(Not contracted)",VA Community Care Network (VA CCN)
C: DIFF CULTURE,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
C3,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
C4,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CA 125 SERUM,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CA19-9,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CALCIFEDIOL (VITAMIN,,,,300,,239.1,,,,,191,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,191,,,,,,,167,,,179,,,,,215,,,,,,,,,,,,143,,,167,,,,,191,191,191,100% LTAH PPS,,,,,,,,,,115,
CALCIUM 24HR URINE,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CALCIUM IONIZED,,,,300,,121.45,,,,,97,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,97,,,,,,,85,,,91,,,,,109,,,,,,,,,,,,73,,,85,,,,,97,97,97,100% LTAH PPS,,,,,,,,,,59,
CALCIUM-SERUM,,,,300,,153.45,,,,,123,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,123,,,,,,,107,,,115,,,,,138,,,,,,,,,,,,92,,,107,,,,,123,123,123,100% LTAH PPS,,,,,,,,,,74,
TEGRETOL TOTAL,,,,300,,319.6,,,,,256,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,256,,,,,,,224,,,240,,,,,288,,,,,,,,,,,,192,,,224,,,,,256,256,256,100% LTAH PPS,,,,,,,,,,154,
"CARBON MONOXIDE, BLO",,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CARCINOEMBRYONIC ANT,,,,300,,249.25,,,,,199,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,199,,,,,,,174,,,187,,,,,224,,,,,,,,,,,,150,,,174,,,,,199,199,199,100% LTAH PPS,,,,,,,,,,120,
CARDIAC ENZYME,,,,300,,223.7,,,,,179,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,179,,,,,,,157,,,168,,,,,201,,,,,,,,,,,,134,,,157,,,,,179,179,179,100% LTAH PPS,,,,,,,,,,108,
CARDIOLIPIN AB,,,,300,,101,,,,,81,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,81,,,,,,,71,,,76,,,,,91,,,,,,,,,,,,61,,,71,,,,,81,81,81,100% LTAH PPS,,,,,,,,,,49,
CATECHOLAMINES TOTAL,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CATECHOLAMINES BLOOD,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
POTASSIUM SERUM,,,,300,,26.85,,,,,21,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,21,,,,,,,19,,,20,,,,,24,,,,,,,,,,,,16,,,19,,,,,21,21,21,100% LTAH PPS,,,,,,,,,,13,
POTASSIUM URINE,,,,300,,40.9,,,,,33,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,33,,,,,,,29,,,31,,,,,37,,,,,,,,,,,,25,,,29,,,,,33,33,33,100% LTAH PPS,,,,,,,,,,20,
HEMATOCRIT,,,,300,,15.3,,,,,12,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,12,,,,,,,11,,,11,,,,,14,,,,,,,,,,,,9,,,11,,,,,12,12,12,100% LTAH PPS,,,,,,,,,,7,
BMP,,,,300,,43.5,,,,,35,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,35,,,,,,,30,,,33,,,,,39,,,,,,,,,,,,26,,,30,,,,,35,35,35,100% LTAH PPS,,,,,,,,,,21,
CBC AUTO W/O DIFF,,,,300,,196.85,,,,,157,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,157,,,,,,,138,,,148,,,,,177,,,,,,,,,,,,118,,,138,,,,,157,157,157,100% LTAH PPS,,,,,,,,,,95,
CBC AUTO DIFF,,,,300,,370.75,,,,,297,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,297,,,,,,,260,,,278,,,,,334,,,,,,,,,,,,222,,,260,,,,,297,297,297,100% LTAH PPS,,,,,,,,,,179,
CBC WITH MANUAL DIFF,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CEA,,,,300,,448.75,,,,,359,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,359,,,,,,,314,,,337,,,,,404,,,,,,,,,,,,269,,,314,,,,,359,359,359,100% LTAH PPS,,,,,,,,,,217,
CELL COUNT,,,,300,,70.3,,,,,56,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,56,,,,,,,49,,,53,,,,,63,,,,,,,,,,,,42,,,49,,,,,56,56,56,100% LTAH PPS,,,,,,,,,,34,
CELL COUNT W/DIFF,,,,300,,43.5,,,,,35,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,35,,,,,,,30,,,33,,,,,39,,,,,,,,,,,,26,,,30,,,,,35,35,35,100% LTAH PPS,,,,,,,,,,21,
CERULOPLASMIN SERUM,,,,300,,40.9,,,,,33,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,33,,,,,,,29,,,31,,,,,37,,,,,,,,,,,,25,,,29,,,,,33,33,33,100% LTAH PPS,,,,,,,,,,20,
CHAMYDIA/GC PROBE TA,,,,300,,35.8,,,,,29,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,29,,,,,,,25,,,27,,,,,32,,,,,,,,,,,,21,,,25,,,,,29,29,29,100% LTAH PPS,,,,,,,,,,17,
CHEM 10,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CHEM 12,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CHEM 6,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CHLORIDE BLOOD,,,,300,,29.4,,,,,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,26,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
CHLORIDE UR 24HR,,,,300,,29.4,,,,,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,26,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
CHLORIDE URINE,,,,300,,92,,,,,74,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,74,,,,,,,64,,,69,,,,,83,,,,,,,,,,,,55,,,64,,,,,74,74,74,100% LTAH PPS,,,,,,,,,,44,
CHOLESTEROL SERUM TO,,,,300,,232.6,,,,,186,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,186,,,,,,,163,,,174,,,,,209,,,,,,,,,,,,140,,,163,,,,,186,186,186,100% LTAH PPS,,,,,,,,,,112,
CHORIONIC GONADOTROP,,,,300,,79.25,,,,,63,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,63,,,,,,,55,,,59,,,,,71,,,,,,,,,,,,48,,,55,,,,,63,63,63,100% LTAH PPS,,,,,,,,,,38,
CHLORIDE BLOOD,,,,300,,26.85,,,,,21,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,21,,,,,,,19,,,20,,,,,24,,,,,,,,,,,,16,,,19,,,,,21,21,21,100% LTAH PPS,,,,,,,,,,13,
C DIFFICILE TOXIN AB,,,,300,,271,,,,,217,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,217,,,,,,,190,,,203,,,,,244,,,,,,,,,,,,163,,,190,,,,,217,217,217,100% LTAH PPS,,,,,,,,,,131,
CLOZAPINE,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CMV:IGG ANTIBODY,,,,300,,288.85,,,,,231,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,231,,,,,,,202,,,217,,,,,260,,,,,,,,,,,,173,,,202,,,,,231,231,231,100% LTAH PPS,,,,,,,,,,140,
CO 2 TOTAL - BLOOD O,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
COLD AGGLUTININ SCRE,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
COLONY COUNT,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
COMPLEMENT ANTIGEN E,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
COMPLEMENT C2,,,,300,,79.25,,,,,63,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,63,,,,,,,55,,,59,,,,,71,,,,,,,,,,,,48,,,55,,,,,63,63,63,100% LTAH PPS,,,,,,,,,,38,
COMP METABOLIC PANEL,,,,300,,479.3,,,,,383,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,383,,,,,,,336,,,359,,,,,431,,,,,,,,,,,,288,,,336,,,,,383,383,383,100% LTAH PPS,,,,,,,,,,232,
COOMBS DIRECT,,,,300,,29.4,,,,,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,26,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
COPPER,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CORTISOL -TOTAL,,,,300,,361.8,,,,,289,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,289,,,,,,,253,,,271,,,,,326,,,,,,,,,,,,217,,,253,,,,,289,289,289,100% LTAH PPS,,,,,,,,,,175,
CORTISOL FREE,,,,300,,106.1,,,,,85,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,85,,,,,,,74,,,80,,,,,95,,,,,,,,,,,,64,,,74,,,,,85,85,85,100% LTAH PPS,,,,,,,,,,51,
CARBON DIOXIDE,,,,300,,26.85,,,,,21,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,21,,,,,,,19,,,20,,,,,24,,,,,,,,,,,,16,,,19,,,,,21,21,21,100% LTAH PPS,,,,,,,,,,13,
COUMADIN PT/INR,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CPK TOTAL,,,,300,,267.2,,,,,214,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,214,,,,,,,187,,,200,,,,,240,,,,,,,,,,,,160,,,187,,,,,214,214,214,100% LTAH PPS,,,,,,,,,,129,
CPK ISOENZYMES,,,,300,,299.15,,,,,239,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,239,,,,,,,209,,,224,,,,,269,,,,,,,,,,,,179,,,209,,,,,239,239,239,100% LTAH PPS,,,,,,,,,,144,
C-REACTIVE PROTEIN,,,,300,,181.5,,,,,145,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,145,,,,,,,127,,,136,,,,,163,,,,,,,,,,,,109,,,127,,,,,145,145,145,100% LTAH PPS,,,,,,,,,,88,
C-REACTIVE PROTEIN H,,,,300,,85.7,,,,,69,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,69,,,,,,,60,,,64,,,,,77,,,,,,,,,,,,51,,,60,,,,,69,69,69,100% LTAH PPS,,,,,,,,,,41,
CREATINE,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CREATINE KINASE,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CREATININE BLOOD,,,,300,,117.6,,,,,94,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,94,,,,,,,82,,,88,,,,,106,,,,,,,,,,,,71,,,82,,,,,94,94,94,100% LTAH PPS,,,,,,,,,,57,
CREATININE CLEARANCE,,,,300,,203.2,,,,,163,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,163,,,,,,,142,,,152,,,,,183,,,,,,,,,,,,122,,,142,,,,,163,163,163,100% LTAH PPS,,,,,,,,,,98,
CREATININE URINE,,,,300,,230.05,,,,,184,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,184,,,,,,,161,,,173,,,,,207,,,,,,,,,,,,138,,,161,,,,,184,184,184,100% LTAH PPS,,,,,,,,,,111,
CREATININE SERUM,,,,300,,44.7,,,,,36,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,36,,,,,,,31,,,34,,,,,40,,,,,,,,,,,,27,,,31,,,,,36,36,36,100% LTAH PPS,,,,,,,,,,22,
CROSSMATCH ANTIGLOBI,,,,300,,736.35,,,,,589,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,589,,,,,,,515,,,552,,,,,663,,,,,,,,,,,,442,,,515,,,,,589,589,589,100% LTAH PPS,,,,,,,,,,356,
CRYPTOSPORIDUM ANTIG,,,,300,,255.7,,,,,205,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,205,,,,,,,179,,,192,,,,,230,,,,,,,,,,,,153,,,179,,,,,205,205,205,100% LTAH PPS,,,,,,,,,,124,
CRYSTALS FLD,,,,300,,210.9,,,,,169,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,169,,,,,,,148,,,158,,,,,190,,,,,,,,,,,,127,,,148,,,,,169,169,169,100% LTAH PPS,,,,,,,,,,102,
CSF CELL COUNT,,,,300,,53.7,,,,,43,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,43,,,,,,,38,,,40,,,,,48,,,,,,,,,,,,32,,,38,,,,,43,43,43,100% LTAH PPS,,,,,,,,,,26,
CULT FUNGUS YEAST ID,,,,300,,103.55,,,,,83,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,83,,,,,,,72,,,78,,,,,93,,,,,,,,,,,,62,,,72,,,,,83,83,83,100% LTAH PPS,,,,,,,,,,50,
CULT SENS GENITAL,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
CULT SENS SPUTUM,,,,300,,49.6,,,,,40,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,40,,,,,,,35,,,37,,,,,45,,,,,,,,,,,,30,,,35,,,,,40,40,40,100% LTAH PPS,,,,,,,,,,24,
CULT SENS WOUND,,,,300,,107.35,,,,,86,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,86,,,,,,,75,,,81,,,,,97,,,,,,,,,,,,64,,,75,,,,,86,86,86,100% LTAH PPS,,,,,,,,,,52,
CULT STL E COLI EA P,,,,300,,62.6,,,,,50,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,50,,,,,,,44,,,47,,,,,56,,,,,,,,,,,,38,,,44,,,,,50,50,50,100% LTAH PPS,,,,,,,,,,30,
CULT TYPE AGGL,,,,300,,136.8,,,,,109,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,109,,,,,,,96,,,103,,,,,123,,,,,,,,,,,,82,,,96,,,,,109,109,109,100% LTAH PPS,,,,,,,,,,66,
CULTURE AEROBIC IDEN,,,,300,,154.7,,,,,124,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,124,,,,,,,108,,,116,,,,,139,,,,,,,,,,,,93,,,108,,,,,124,124,124,100% LTAH PPS,,,,,,,,,,75,
"CULTURE, BETA STREP",,,,300,,106.1,,,,,85,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,85,,,,,,,74,,,80,,,,,95,,,,,,,,,,,,64,,,74,,,,,85,85,85,100% LTAH PPS,,,,,,,,,,51,
"CULTURE, HERPES SIMP",,,,300,,121.45,,,,,97,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,97,,,,,,,85,,,91,,,,,109,,,,,,,,,,,,73,,,85,,,,,97,97,97,100% LTAH PPS,,,,,,,,,,59,
CULTURE ANAEROBIC,,,,300,,421.85,,,,,337,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,337,,,,,,,295,,,316,,,,,380,,,,,,,,,,,,253,,,295,,,,,337,337,337,100% LTAH PPS,,,,,,,,,,204,
CULTURE WOUND,,,,300,,448.75,,,,,359,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,359,,,,,,,314,,,337,,,,,404,,,,,,,,,,,,269,,,314,,,,,359,359,359,100% LTAH PPS,,,,,,,,,,217,
CYCLOSPORINE (PROGRA,,,,300,,98.45,,,,,79,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,79,,,,,,,69,,,74,,,,,89,,,,,,,,,,,,59,,,69,,,,,79,79,79,100% LTAH PPS,,,,,,,,,,48,
CYTO FLUID / WASHING,,,,300,,570.15,,,,,456,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,456,,,,,,,399,,,428,,,,,513,,,,,,,,,,,,342,,,399,,,,,456,456,456,100% LTAH PPS,,,,,,,,,,275,
D DIMER QN,,,,300,,416.75,,,,,333,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,333,,,,,,,292,,,313,,,,,375,,,,,,,,,,,,250,,,292,,,,,333,333,333,100% LTAH PPS,,,,,,,,,,201,
D DIMER SEMI QN/QL,,,,300,,101,,,,,81,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,81,,,,,,,71,,,76,,,,,91,,,,,,,,,,,,61,,,71,,,,,81,81,81,100% LTAH PPS,,,,,,,,,,49,
DEHYDROPIANDROSTERON,,,,300,,0,,,,, -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
DEPEKANE/HANDLING FE,,,,300,,69,,,,,55,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,55,,,,,,,48,,,52,,,,,62,,,,,,,,,,,,41,,,48,,,,,55,55,55,100% LTAH PPS,,,,,,,,,,33,
DIGOXIN,,,,300,,471.75,,,,,377,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,377,,,,,,,330,,,354,,,,,425,,,,,,,,,,,,283,,,330,,,,,377,377,377,100% LTAH PPS,,,,,,,,,,228,
DIHYDROXY VITAMIN D,,,,300,,135.5,,,,,108,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,108,,,,,,,95,,,102,,,,,122,,,,,,,,,,,,81,,,95,,,,,108,108,108,100% LTAH PPS,,,,,,,,,,65,
DILANTIN,,,,300,,520.3,,,,,416,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,416,,,,,,,364,,,390,,,,,468,,,,,,,,,,,,312,,,364,,,,,416,416,416,100% LTAH PPS,,,,,,,,,,251,
