name,business_type,state_registered,street_physical
"JILL G CONSULTING, LLC",LLC,MS,208 HIDDEN HILLS PARKWAY
THUNDERHEAD REPAIR LLC,LLC,MS,3308 HIGHWAY 24
HESKA CORPORATION,CORPORATION,DE,3760 ROCKY MOUNTAIN AVENUE
"APM, LLC",LLC,MS,2666 NORTHPLACE DR
CH CHING INC,CORPORATION,MS,2432 PASS RD STE A
GREEN SERVICES INC,CORPORATION,MS,803 BISHOP RD
CU HEALTHY LLC,LLC,MS,796 LORRAINE STREET A3
CHEYBABYCREATIONS LLC,LLC,MS,30 COUNTY ROAD 1713
"CONTRACT PARALEGAL SERVICES, LLC",LLC,MS,206 WOODRUN COVE
HIGHWAY 51 PROPERTIES LLC,LLC,MS,235 HIGHWAY 51
JIMCO ACOUSTICS INC.,CORPORATION,GA,241 HWY 81
RIO VISTA INVESTMENTS LLC,LLC,MS,706 HIGHWAY 84 W
"SQUIRREL HOLLER FARMS, LLC",LLC,MS,3640 JOE COKER RD
"MLG VIRTUAL SOLUTIONS, INC.",CORPORATION,MS,9655 W OAKLAWN RD
MOBILE MED TECH LLC,LLC,MS,319 GLENFIELD RD.
"ONLINE COUNSELING SERVICES OF MISSISSPPI, LLC.",LLC,MS,98 COUNTY ROAD 311
HARBOR VIEW COTTAGES LLC,LLC,MS,126 W SCENIC DRIVE
WOODY SPIERS REAL ESTATE LLC,LLC,MS,22 GARDEN DISTRICT PL
"NOVEL MUSIC, LLC",LLC,MS,720 BYHALIA ROAD  #677
"WARREN EDUCATIONAL SERVICES, LLC",LLC,MS,1369 GULDE-SHILOH ROAD
RING-A-ROOM SOLUTIONS LLC,LLC,MS,849 HARBOR BEND DR
"LUEMNA'S CLOSET, LLC",LLC,MS,4056 HWY 35 N
CASEY PRESLEY ENTERPRISES LLC,LLC,MS,102 LAUDERDALE LANE
"FULL POTENTIAL ADULT DAYCARE, LLC",LLC,MS,405 HWY 51 SOUTH
"B. WALKER ENTERPRISE, LLC",LLC,MS,431 MOORE STREET
"HOPE PROPERTY GROUP, LLC",LLC,MS,115 SHADOW LAKE DRIVE
"HYDROAIRE SERVICE, INC.",CORPORATION,DE,834 W. MADISON ST.
REALITY CHECK MOBILE TECHS LLC,LLC,MS,890 WEST MONROE ST
"BLACK HORN SERVICES, LLC",LLC,MS,112 COUNTY RD 5033
ROBINWOOD RETIREMENT COMMUNITY LLC,LLC,NE,7101 S. 82ND STREET
SMOKY NOTES CIGARS,PARTNERSHIP,MS,3231 24TH AVENUE
"CHRISTAL SHIRLEY PORTER, LLC",LLC,MS,4358 CALIFORNIA AVE
"ALLLL5 REAL ESTATE SERVICES, LLC",LLC,MS,33 BEVERLY DR
PRICE ENTERPRISES LLC,LLC,MS,457 CONERLY RD
DAVID MAXWELL COACHING LLC,LLC,MS,175 COPPER RIDGE LANE
"MAGNOLIA SPRINGS, LLC",LLC,MS,100 PINE RIDGE DR.
M T M RENTALS LLC,LLC,MS,454 TURNWOOD DR.
LSW ENTITY LLC,LLC,MS,2376 SUNSET DRIVE
"TN TR SBU, LLC",LLC,IA,500 1ST STREET SE
RE LLC,LLC,MS,217 ASHLEY PL
"LAKE STOP, LLC",LLC,MS,1438 NORTH LAMAR BLVD
"DERM VENTURES, LLC",LLC,MS,938 OLD RIFLE RANGE RD
MACK ENTERTAINMENT LLC,LLC,MS,203 PECAN TERRACE
"PRESTIGE CARE NURSE CONSULTANT, LLC",LLC,MS,726 COLONIAL CIRCLE
SUNNY LANE CANDLE COMPANY LLC,LLC,MS,1651 SUNNY LANE RD
"LS ACQUISITION, LLC",LLC,MS,2215 HIGHWAY 80 E
L & L CREATED HOMES LLC,LLC,MS,4340 EL PASO ST.
ROBERT R. WILLIARD ESQ. PLLC,LLC,MS,306 MAXEY DRIVE SUITE C
"WELCOME HOME RENTAL PROPERTIES, LLC",LLC,MS,214 GARDEN DRIVE
"THE ANGEL'S LIGHTHOUSE, LLC",LLC,MS,9 JULIENNE LANE
"EVANS EXPRESSIONS OF ELEGANCE ,LLC",LLC,MS,204 BEASON AVENUE
SPOT STOP LLC,LLC,MS,1438 NORTH LAMAR BLVD
HOMEMADE PLEASURES LLC,LLC,MS,138 HIGHWAY 27 NORTH
WIXONWOODWORKS LLC,LLC,MS,1889 KIMBELL ROAD
MARGUERITE MELTON INTERIORS LLC,LLC,MS,4238 ATHENS DR
SOARING EAGLES TRUCKING LLC,LLC,MS,758 AUGUSTA WAY
"PEAK ACQUISITIONS, LLC",LLC,MS,468 OLD RULEVILLE RD
MCCUNE GROUP LLC,LLC,MS,372 BURNT HOUSE RD
J&L PROFESSIONAL LIMITED LIABILITY COMPANY,LLC,MS,1060 MALLARD TRAIL
"BUILDING SUPPLY CENTER, INC.",CORPORATION,MS,2300 20TH ST.
J SIMON LLC,LLC,MS,5 LAFAYETTE PL
"ARRIVE TUPELO F&B, LLC",LLC,MS,1020 N GLOSTER ST #110
"MILITARY LEE TENANT, LLC",LLC,MS,2101 BLUECUTT RD
VETERANS ANESTHESIA LLC,LLC,MS,9912 GAUTIER VANCLEAVE RD
"KEYFETCH AUTOMOTIVE USA, LLC",LLC,DE,3015 COCONUT GROVE DRIVE
"L & L HOLDING, LLC",LLC,MS,694 BEALE ST
"FUTURE DRIVEN INVESTMENTS, LLC",LLC,MS,43 TURKEY CREEK RD
"THE HOT DOG STAND, LLC",LLC,MS,117 SHADOWLAWN AVE
"478 PINECREST, LLC",LLC,MS,117 SHADOWLAWN AVE
BHL CONSULTING LLC,LLC,MS,802 10TH AVE S
"FILLMORE REAL ESTATE, LLC",LLC,MS,824 FILLMORE AVENUE
JAMESHOUSE PAW LLC,LLC,MS,2004 SPRINGRIDGE DR
SMITH'S MOVE IT LLC,LLC,MS,107 WASH DR
AERIAL PERSPECTIVE LLC,LLC,MS,13905 CERRO VERDE DR
"GENUINE HOME HEALTH, LLC",LLC,MS,2871 WOODSIDE DR
"TOUCHSTONE ELECTRICAL SERVICES, LLC",LLC,MS,28 WALLACE LANE
T &M BAR LLC,LLC,MS,118 NORTH SWAMP ALLEY
"DSI DIGGING SERVICES, LLC",LLC,MS,400 MCKAY STREET
D. L. EVANS LLC,LLC,MS,4812 ADAMS AVE
FAST WILLYS TRUCKING LLC,LLC,MS,4 STACY DRIVE
MURKY WATER FURNITURE,PARTNERSHIP,MS,911 BROWN STREET
"OPSGEO, LLC",LLC,MS,101 TALONS TRAIL
THE SCRATCH DOCTOR LLC,LLC,MS,105 TIFFANY DR
"PERF OPCO, LLC",LLC,DE,11920 MIRAMAR PKWY
KDOT INFAMOUS STUDIOS LLC,LLC,MS,116 LIVE OAK DR
OPHTHALMOS COMMIT MINISTRIES,CORPORATION,MS,36901 COUNTY ROAD 507 APT 911
BLAZ'N BIRD LLC,LLC,MS,7 OLD SMITHS LANE
"FRONT PORCH DESIGNER, LLC",LLC,MS,1693 ANDREWS RD
GMAC RELOADED LLC,LLC,MS,9907 CROOKED CREEK CIR
REDWOOD RENTALS LLC,LLC,MS,1007 MISSION PARK DR
"HEARN AND KELLUM PROPERTIES, LLC",LLC,MS,1438 NORTH STATE ST.
WARRIOR CREDIT REPAIR LLC,LLC,MS,31 JAGGER DRIVE
"MISSISSIPPI TRAVEL LIVE, LLC",LLC,MS,404 MAIN STREET
SHADES OF GREEN LAWN SERVICE LLC,LLC,MS,107 GRANBERRY WAY
KOMPLETELY KLEANING SERVICES LLC,LLC,MS,216 HANNAH DRIVE
A & T ADJUSTER TRAINER,PARTNERSHIP,MS,2013 IONE CIR
MARSHER CONSTRUCTION LLC,LLC,MS,1702 BREWER DR
TUCKER CONSTRUCTION CO.,CORPORATION,OK,915 S.E. 4TH STREET
"TEP OPCO, LLC",LLC,DE,326 TRYON ROAD
S & J EQUIPMENT AND RENTAL LLC,LLC,MS,107 GRANBERRY WAY
HL&C-HOLDEN ROAD LLC,LLC,MS,70 MAGNOLIA RIDGE LANE
JDWPROPERTIES LLC,LLC,MS,1001 N POMERENE RD
JEFF M GOFF PROPERTIES LLC,LLC,MS,5665 STATELINE RD W
STATELINE LANDSCAPE LLC,LLC,MS,5665 STATELINE RD W
J&H PROFESSIONALS LLC,LLC,MS,110 MULLICAN COVE
"CRAFT ME PRETTY, LLC",LLC,MS,42 CREEKSIDE
MW SQUARED INC,CORPORATION,MS,125 NORTHLAKE DR
PRINCESS KAY ARTS AND CRAFTS LLC,LLC,MS,879 SIMPSON HIGHWAY 540
"BEARD'S WOODWORK SHOP, LLC",LLC,MS,1578 COUNTY ROAD 86
SOUTHERN INVESTMENTS OF MISSISSIPPI LLC,LLC,MS,74 THE HILLS DR
"ASSET 20024, L.L.C.",LLC,NY,75 COLUMBIA AVE
THE GREY GYPSY TANNING COMPANY L.L.C,LLC,MS,113 MAIN ST N
"JUST THAT SOCIAL WORKER, LLC",LLC,MS,5543 TIKI LN
GREATER ATHLETICS LLC,LLC,MS,120 WOOD STREET
MRWC JEWELRY LLC,LLC,MS,2500 SAVERY DRIVE
"ROYAL TAX SERVICES, LLC",LLC,MS,156 SALTMEADOW CIRCLE
SPX TRANSPORTATION LLC,LLC,MS,7662 HANCOCK DRIVE
WARE DENTAL ARTS ACADEMY LLC,LLC,MS,2376 SUNSET DRIVE
MAGNOLIA EDITING LLC,LLC,MS,116 WAYNES DRIVE
KEEP ON ROLLING BACK OFFICE SERVICES INC,CORPORATION,MS,134 TALOWAH RD
"TG SALADS, INC.",CORPORATION,MS,157 BAYOU CIR
KINGDOM CUTS LLC,LLC,MS,102 LARKSPUR ST
B'S BACKYARD BBQ LLC,LLC,MS,1207 HEARN RD
MILL ROAD FARMS LLC,LLC,MS,722 WHITE OAK LANE
GEM PROPERTIES LLC,LLC,MS,174 HUNT CR
"HOGE ENTERPRISES, LLC",LLC,MS,528 WHITE OAK RD.
JMDESIGN-LLC,LLC,MS,6191 IVY TRAILS DR
"LOVE ME TENDERS INVESTMENTS, LLC",LLC,MS,1171 KENNA ROAD
"TUIB, LLC",LLC,MS,6475 1ST AVE S.
MCCALA VACATIONS LLC,LLC,MS,1630 HWY 184
SCUT FARMING,PARTNERSHIP,MS,1172 ADAMS ST
"W & L PROPERTY, LLC",LLC,MS,410 WELCH ROAD
DE DOES IT ALL LLC,LLC,MS,115 LAKE OF PINES DR
"STAR GAIN ENTERPRISES, LLC",LLC,MS,3451 GOODMAN ROAD EAST
KAREN'S CHILDCARE LLC,LLC,MS,2015 EAST DR
"DELTA ASSOCIATED INVESTIGATIONS, INC.",CORPORATION,FL,1397 BUFORD BUSINESS BLVD STE 500
TYLERE L NUNNERY DMD PLLC,LLC,MS,12147 HWY 570 E
TAXCELLENT TAX PREP LLC,LLC,MS,1884 LINCOLNSHIRE BLVD
"NORTH WIND RESOURCE CONSULTING, LLC",LLC,DE,1425 HIGHAM STREET
"GROUP OF SANDERS, LLC",LLC,MS,1620 AUSTIN STREET
"KK MANAGEMENT, LLC",LLC,MS,412 LARK RUN
SELMAN REAL ESTATE LLC,LLC,MS,586 SWANEY DRIVE
"FOWL HOOK SPORTING CLUB, LLC",LLC,MS,5170 SANDERLIN AVE STE 203
"MORRIS WATERMELON FARM, LLC",LLC,MS,575 W. MOUND BAYOU RD
"DEERFIELD TAYLOR SALES, LLC",LLC,MS,141 SHELBI PLACE
ANTIOCH FARMS LLC,LLC,MS,722 WHITE OAK LANE
RIENZI FARMS LLC,LLC,MS,722 WHITE OAK LANE
OLIVER TORCH LLC,LLC,MS,1734 LINWOOD RD
A&D TRANSPORTATION SOLUTIONS LLC,LLC,MS,1240 DEERFIELD LN
"RAYTOWN HOLDINGS, LLC",LLC,MS,1007 MISSION PARK DR
"THE RAYMOND, LLC",LLC,MS,1007 MISSION PARK DR
"MID SOUTH FARMS, LLC",LLC,MS,10035 TALLY HO DRIVE
"THE YELLOW FEATHER, LLC",LLC,MS,1007 MISSION PARK DR
"BH SHARED SERVICES, LLC",LLC,MS,7321 GIANI ROAD
"QUICK HIT EMERGENCY RESPONSE, LLC",LLC,MS,7321 GIANI RD
"CARGO SOLUTIONS, LLC",LLC,MS,7321 GIANI ROAD
"FNH PROPERTIES, LLC",LLC,MS,1603 IVY ST
BLI LAND INVESTMENTS LLC,LLC,MS,133 CEMETERY RD
"CORNERSTONE CHILDCARE, LLC",LLC,MS,436 JORDAN RIDGE PL
"A NEW SOCIETY ON THE HORIZON- ANSOTH, LLC",LLC,MS,240 BETTIE A JAMISON ROAD
"OSITIS PROPERTIES, LLC",LLC,MS,1236 COUNTY ROAD 117
CAP TRUCKING LLC,LLC,MS,23520 HIGHWAY 50 W
"B&G AGENCY, LLC",LLC,MS,1806 E NORTHSIDE DR
"UNITED POST OFFICE INVESTMENTS, LLC",LLC,DE,75 COLUMBIA AVE
"ASHLEY PERKINS, LCSW, LLC",LLC,MS,139 CHIPPEWA CIRCLE
DASH FORWARD WHOLESALE LLC,LLC,MS,230 WEST UNION ROAD
C GRIFFIN FARMS LLC,LLC,MS,16688 VAUGHAN RD
BOUJEE BOUTIQUE LLC,LLC,MS,302 NINTH ST
MED EQUIPT LLC,LLC,MS,275 COOPER RD
"HONEY'S MANAGEMENT, LLC",LLC,MS,1001 COOLIDGE
"NAB'S R US, LLC",LLC,MS,917 DEER PARK ROAD
"PEYTON UNLIMITED, LLC",LLC,MS,1638 BARNWELL ST
WOMEN'S INVESTMENT NETWORK WIN LLC,LLC,MS,2926 CHICKASAW ST
GULF COAST MOBILE AUTOMOTIVE REPAIR LLC,LLC,MS,6630 GRIERSON STREET
"ROYAL SUPPLY, LLC",LLC,MS,7 BURMUDA DR
"MOORE MILES AUTOMOTIVE, INC",CORPORATION,MS,8055 INDUSTRIAL DRIVE
"JBN ENTERPRISES, LLC",LLC,MS,225 TANNER HILL DR
"SOLID GROUND RECOVERY, LLC",LLC,MS,109 PARKWAY ST
VALLEY DRUGS INC.,CORPORATION,MS,327-B SOUTH MAIN STREET
UPTOWN SOUL FOOD DINER LLC,LLC,MS,238 CHURCH STREET
CHAMPIONS BASEBALL CAMP LLC,LLC,MS,104 QUAIL HOLLOW PLACE
SMITH SCENTS LLC,LLC,MS,3322 NORTH 5TH AVE
"JUNIPER TREE COLLABORATIVE, LLC",LLC,MS,703 N. 2ND AVENUE
OLD WYNN LLC,LLC,WY,3333 BARBARESCO CT
B&A TRANSPORTATION LLC,LLC,MS,285 FLY STREET
EVEREST - V LLC,LLC,MS,109 SUMMERWOOD DRIVE
"PRIMAL SPORTS ACADEMY,LLC",LLC,MS,133 DONNIE NORWOOD RD
SIMMONS BAYOU 8724 LLC,LLC,MS,7904 BELLE FONTAINE
"WRIGHTWAY TRANSFER GROUP ""LLC""",LLC,MS,4339 CHILDRESS DR
ARKANSAS SIGN & BARRICADE INC.,CORPORATION,AR,10601 OTTER CREEK EAST BLVD
"RIGHT AT YOUR HOME HOMECARE AGENCY, LLC",LLC,MS,425 OLD FOXWORTH RD
"THE SOAP SHOP, LLC",LLC,MS,4645 GOLDEN WEST COVE
KAME INVESTMENTS LLC,LLC,MS,135 WINDING CREEK DRIVE
"FONTAINE-KIBE FAMILY, LLC",LLC,MS,3595 NEW HOPE ROAD
"TRIPLE B PROPERTY MANAGEMENT, LLC",LLC,MS,616 FALON WAY
"MONSIEUR MACARON, LLC",LLC,MS,4556 STONE HOLLOW DR
"PRAEPOSITUS ADVISORY SERVICES, LLC",LLC,MS,418 WIRE RD E
"PRAEPOSITUS SOLUTIONS, LLC",LLC,MS,418 WIRE RD E
MNF INVESTMENT PROPERTIES LLC,LLC,MS,344 PLEASANT RIDGE RD
PROSPERITY GROUP LLC,LLC,MS,319 WEST NORTH ST
"RAMSEY WALKER PROPERTIES, LLC",LLC,MS,421 MARION AVE
"ADVANTASURE, INC.",CORPORATION,MI,200 N GRAND AVENUE
"2200 MCLAURIN, LLC",LLC,MS,815 N. BEACH BLVD.
"2208 MCLAURIN, LLC",LLC,MS,815 N. BEACH BLVD.
DANNY WRIGHT LLC,LLC,MS,2058 ROBISON RD
OBJECT BIOGRAPHIES LLC,LLC,MS,1911 RIDGEWAY LANE
"LAKE TREE SERVICE, LLC",LLC,MS,2881 NORMANDY DRIVE
"TINT TIME, LLC",LLC,MS,1713 SHELBY LANE
"WEATHERSBY GROUP CONSULTING, INC.",CORPORATION,MS,3003 LAKELAND COVE SUITE D
"TINT TIME TOOLS, LLC",LLC,MS,1713 SHELBY LANE
"TACTICAL SEDUCTION, LLC",LLC,MS,235 HAWTHORNE DR
"SOUTHERN BELLE CATERING AND MORE, LLC",LLC,MS,217 LINDALE CIRCLE
"OXFORD APPLIANCE REPAIR, LLC",LLC,MS,5800 ONE PERKINS PLACE STE 6A
NOEL VENTURES LLC,LLC,MS,309 NORTH JACKSON STREET
"MR PROPERTY, LLC",LLC,MS,4583 DAVIS RD
"TH3RD DAY APPAREL, LLC.",LLC,MS,4211 58 PLACE
"ATHENA CODING EDUCATION, LLC",LLC,MS,114 LEGGETT RD.
"BIG MAIN FILMS, LLC",LLC,MS,10752 EAST BAY TREE DR.
FULA BEAUTY LLC,LLC,MS,49 NORTHTOWN CIRCLE
DR. CC THE LADY OF WISDOM MINISTRIES LLC,LLC,MS,560 CEDARWOOD DRIVE
"CATTERTON INTERIORS, INC.",CORPORATION,GA,1603 GENERAL ARTS RD NW
"CARLISLE CAPITAL BUSINESS SOLUTIONS, LLC",LLC,MS,2169 B OLLIE POLK RD
IG INVESTMENTS LLC,LLC,MS,41 AUBREY HOLSTON ROAD
"BUILDING BETTER SOFTWARE, LLC",LLC,MS,404 PEMBROOKE DR
"KS BAY SPRINGS REAL ESTATE, LLC",LLC,MS,7048 US HWY 49
"CAREMED EMS, LLC",LLC,MS,1300 ACCESS ROAD - STE 200
"FRANKLIN PREFAB - AUSTIN, LLC",LLC,MS,615 DUNKLIN AVE.
"IMPERIAL INVESTMENT FIRM, INC.",CORPORATION,MS,705 GOLF ST
RPM RACING STABLES LLC,LLC,MS,112 FRYE RD
VISHI LLC,LLC,MS,521 HAZELTON DR
DESCENDANT OF PROPERTY LLC,LLC,MS,2726 EVANS WAY
C & M INSULATION LLC,LLC,MS,36 JOHN SAULS ROAD
FIRE SYSTEMS TRUCKING LLC,LLC,MS,4002 A ADAMS AVE
THORNHILL HANDMADE LLC,LLC,MS,745 N PRESIDENT ST
MINGLEE SPECIAL LLC,LLC,MS,4582 HEBRON ROAD
"F.E. MORAN, INC. SPECIAL HAZARD SYSTEMS",CORPORATION,DE,2265 CARLSON DRIVE
"AMAZING WORKS PHOTOGRAPHY, LLC",LLC,MS,760 CHERRYSTONE DR.
"PURE SMILES BILOXI, INC.",CORPORATION,MS,1764 PASS ROAD
"ASHBROOKE ENTERPRISES, LLC",LLC,MS,1505 ARLINGTON STREET
PREEMINENCE DESTINATIONS LLC,LLC,MS,716 HOLMES ST
"MOUNTAIN HERITAGE, INC.",CORPORATION,GA,260 CHEROKEE TRAIL
M AND W TRANSPORT LLC,LLC,MS,35 TOLLIVER COVE
"RED3 EVENTS, LLC",LLC,MS,213 W DEPOT
"HALEY LAUREN CLOTHING & ACCESSORIES, LLC",LLC,MS,4524 10TH AVENUE
"COASTLINE DUMPSTERS & DISPOSAL, LLC",LLC,MS,18353 RUNNYMEDE RD.
"EL FARMS, LLC",LLC,MS,6069 CLAY HILL ROAD
"FRIEDEMAN LEADERSHIP, LLC",LLC,MS,117 MURIAL ST
IMAX CREDIT SOLUTIONS LLC,LLC,MS,116 HICKORY HILL PLACE
CFO LLC,LLC,MS,3704 FIRETOWER ROAD
"LEIGH MS MALL, LLC",LLC,DE,1190 INTERSTATE PARKWAY
"TAKKT AMERICA HOLDING, INC.",CORPORATION,DE,770 S. 70TH STREET
METACORP LLC,LLC,NY,328 S. TRANSIT ROAD
"DIAMOND CAPITAL INTERNATIONAL, LLC",LLC,MS,45 HARDY COURT CENTER# 385
RUSTIC KUT DESIGNS LLC,LLC,MS,118 CLAIBORNE STREET
SIMS CONSTRUCTION & ASSOCIATES LLC,LLC,MS,12 ACORN RIDGE
COBURN'S REPAIRS AND MORE... LLC,LLC,MS,275 SYLVESTER HUDSON ROAD
OBLITERATE THE ODDS LLC,LLC,MS,150 PINE RIDGE CIRCLE
EVANS PRECAST CONCRETE LIMITED LIABILITY COMPANY,LLC,MS,5477 OLD BYRAM ROAD
"HOLLOWELL FARMS, LLC",LLC,MS,6928 COBBLESTONE BLVD. STE 200
"ORLEANS PROPERTIES, LLC",LLC,MS,1710 E. PASS RD. 
EQV STRATEGIES LLC,LLC,MS,4051 ROBIN DR
C&C DELIVERY LLC,LLC,MS,7350 FOX GLEN DR
CORNELIUS'S INVESTIGATIONS LLC,LLC,MS,529 HILLANDALE DR
ADVANCED RE-CREATIONS LLC,LLC,MS,102 LAUDERDALE LANE
"HYDRASERVICE, INC.",CORPORATION,AL,2104 STATE HWY 160
"123 COLLEGE, LLC",LLC,MS,2940 WESTWOOD BLVD.
"FRONTIER PINES DEVELOPMENT, LLC",LLC,MS,104 CAMPBELL LOOP
ESSENTIAL SOLUTIONS LLC,LLC,MS,504 FOREST GLEN LN
PETAL GOLD LLC,LLC,MS,102 ROCKINGHAM CIRCLE
"FINANCIAL DIMENSIONS, INC",CORPORATION,DE,7025 CLAIRTON RD
EPIQ EDISCOVERY SOLUTIONS INC,CORPORATION,DE,501 KANSAS AVE
"AUSTIN HOUSE, LLC",LLC,MS,429 PORTER AVENUE
DAVIS INVESTMENT GROUP LLC,LLC,MS,130 PENINSULA DRIVE
DREAMS CAPITAL LLC,LLC,MS,2501 W 7TH ST. APT. 504
MAVTEK LLC,LLC,MS,302 FIELDSTONE ST
"SPINDOCTOR PROPERTIES, LLC",LLC,MS,440 GREEN TEAL CT
"GREEN SPOT WELLBEING, LLC",LLC,MS,309 HIGHWAY 82 EAST
MISSISSIPPI TRANSIT GROUP LLC,LLC,MS,3063 W. CAPITOL
BIRCH CONSTRUCTION LLC,LLC,MS,180 HIGHLAND COVE
"BAYLAND INVESTMENTS, LLC",LLC,MS,41 TIDMORE LN
DOE'S ROYALTY LLC,LLC,MS,6067 COLEMAN RD
CABINETS LEGIT INC,CORPORATION,MS,5682 KAITLYN DR E
"405 CHABLIS LANE, LLC",LLC,MS,286 BEAUVOIR ROAD STE 200
XPERIENCE JXN ENT INC,CORPORATION,MS,175 SINGLETON LN
"B R HOMES, LLC",LLC,MS,636 REFORM ROAD
"BLUE HORSESHOE PROPERTIES, LLC",LLC,MS,105 ST. CHARLOTTE CT.
CNBR HOLDINGS L.L.C.,LLC,MS,2069 BARNER RD
"LAVALLEE & CO., LLC",LLC,MS,713 BELLEVUE STREET
"STEM TO STERN LAWN CARE, LLC",LLC,MS,19738 SAVANNAH STREET
ON POINT PROPERTIES LLC,LLC,MS,31 CR 2015
"NEWMAN ORTHOPAEDICS, LLC",LLC,MS,355 AVALON WAY
GLEASON PAINTING AND CONTRACTING LLC,LLC,MS,7024 JIM RAMSEY ROAD
"HORSE HAVEN RETREATS, LLC",LLC,MS,270 H BURGE ROAD
"ABMH, LLC",LLC,MS,171 BROOKSTONE WAY
M AUTO TRANSPORT LLC,LLC,MS,187 CREEKWOOD CIRCLE
CHEBIRD PROPERTIES LLC,LLC,MS,923 CLIFF ARMSTRONG ROAD
LEROUGE PROPERTIES L.L.C.,LLC,MS,205 HENLEY PLACE
JDMR PROPERTIES LLC,LLC,MS,12349 LAMEY BRIDGE ROAD
DNC INVESTMENTS LLC,LLC,MS,5067 MUIRFIELD COVE
MAGNOLIA WASTE LLC,LLC,MS,104 OFFICE PARK DR. STE A
"PP107, LLC",LLC,MS,215 IONA ST
TZT CORPORATION,CORPORATION,MS,309 JOHN D. SHAW ST.
KITCHENMAXX LLC,LLC,MS,234 KIOWA DR
FIRST STREET BUSINESS CENTER LLC,LLC,MS,230 SOUTH FIRST STREET
"0351, LLC",LLC,MS,4300 SEARLE AVENUE
"DAVISINSURANCE SERVICES, CORPORATION",CORPORATION,MS,136 PUBLIC SQUARE
JM JONES CONSTRUCTION LLC,LLC,MS,1086 HIGHWAY 44
HANDS ON MAGNOLIA LLC,LLC,MS,430 CLARK AVE
TMB TRAVEL LLC,LLC,MS,1631 BAYWOOD DR
S & M HOME AND FARM MAINTENANCE LLC,LLC,MS,3620 RATTLESNAKE LANE
PB CONSULTING LLC,LLC,MS,12991 MEADOW VIEW DRIVE
"BRIDGEWATER VENUE, LLC",LLC,MS,1438 HWY 42
THE BODY SHOP BOXING & FITNESS LLC,LLC,MS,5062 WINDCREST
DOMINARC LLC,LLC,TX,10515 ROBERTS ROAD
PATRICK FAMILY FARMS INCORPORATED,CORPORATION,MS,707 YELLOWDOG RD
"CENTURY PARK APARTMENTS, LLC",LLC,AL,992 FAIRVIEW DRIVE
VISIONSZ LLC,LLC,MS,100 STRATFORD DRIVE
KLF TRUCKING LLC,LLC,MS,4141 SHADOW OAKS DRIVE
"PAGBY, LLC",LLC,MS,1719 WILHURST ST.
"ITALIAN TERRAZZO AND TILE CO. OF BREVARD, L.L.C.",LLC,FL,432 S BABCOCK STREET
"WOODSTYLE CREATIONS, LLC",LLC,MS,1057 JOHN HIGH RD
MCCOLLUM TRUCKING LLC,LLC,MS,144 DRY RIDGE RD
WALKER BUSINESS GROUP LLC,LLC,MS,2713 HIGHWAY 471
YOUNGS R TRUCKING LLC,LLC,MS,1630 DANSBY STREET
WALKER ESSENTIALS LLC,LLC,MS,2713 HIGHWAY 471
"GERTRUDE'S GARDEN, LLC",LLC,MS,346 GLUCKSTADT RD
"T'S CREATIVE DESIGNZ, LLC",LLC,MS,4780 I-55 NORTH SUITE 100
MAKLIAH TRUCKING LLC,LLC,MS,1420 CRAFT RD
"MAX CRYO RECOVERY, LLC",LLC,MS,461 CEDAR HILL DRIVE
"PSA MARKETING, LLC",LLC,MS,776 POOLE CREEK RD
"SET-HI HOSPITALITY, LLC",LLC,MS,1554 WEST PEACE STREET
JSH CONSTRUCTION LLC,LLC,MS,2747 DAVIS RD
"GARDEN LANE PROPERTIES, LLC",LLC,MS,11445 DRY GROVE ROAD
R AND J LAND SERVICES LLC,LLC,MS,110 MESSEMORE RD
"CHICO'S RETAIL OPERATIONS, INC.",CORPORATION,FL,11215 METRO PARKWAY
"REPULT EDUCATIONAL CONSULTING, LLC",LLC,MS,129 PAUL GUSMUS LN
ELLAS INVESTMENTS LLC,LLC,MS,120 GUTHRIE DRIVE
"LMN PROPERTIES, LLC",LLC,MS,1118 ROCKETT DRIVE
JA & JB PROPERTIES LLC,LLC,MS,1172 LAKESHIRE DRIVE
MEITZLER FARMS LLC,LLC,MS,439 LILLIS RD
"LONGWOOD SMOKEHOUSE, LLC",LLC,MS,15016 LONGWOOD LN
"DIMENSIONS WELLNESS GROUP, LLC",LLC,MS,5842 MOHAWK ROAD
EXCEPTIONAL CLEANING LLC,LLC,MS,1021 BURRESS DR.
RAINBOW HOLDINGS INC,CORPORATION,MS,1619 NICHOLS CT
BRIDGING THE GAP STAFFING LLC,LLC,MS,7568 SOPHIE COVE
ADVANCED ACCOUNTING & TAX SERVICES LLC,LLC,MS,45 HARDY COURT SUITE 139
ALOS TRANSPORTATION INC.,CORPORATION,MS,1893 PEMBLE RD
KING PROPERTY MANAGEMENT LLC,LLC,MS,1179 COUNTY ROAD 518
TAYLOR RENOVATION LLC,LLC,MS,3419 MARTIN LUTHER KING DR
VINTAGE GARAGE WORKS LLC,LLC,MS,209 STEWART DRIVE
"S&B FIREARMS, LLC",LLC,MS,50 CR 550
"HAVE ANOTHER FARMS, LLC",LLC,MS,22380 ROAD 374
HOUSE FAMILY PROPERTIES LLC,LLC,MS,4045 BRUNSWICK RD
"DRNMC , LLC",LLC,MS,12003 NUTT ROAD
"WOOD WORKS, LLC",LLC,MS,342 OLD TOWN CROSSING
