Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna,Exchange_-Common_Ground,Health_EOS,Humana_WVN,Humana_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"BAY AREA","CHARGE","10003753","CYLINDER INSERTION","57156","1,730.00","1,574.30","898.80","1,002.01","1,191.22","934.20","1,489.53","1,193.70","1,574.30","1,038.00","1,314.80","1,470.50","1,557.00","1,086.43","1,470.50","1,205.81","1,036.95","1,123.79","951.50","898.80","1,574.30"
"BAY AREA","CHARGE","10003755","LUMBAR PUNCTURE THERAPEUTIC","62272","1,500.00","1,365.00","397.28","402.41","898.51","810.00","1,291.50","1,035.00","1,365.00","900.00","1,140.00","1,275.00","1,350.00","803.83","1,275.00","1,045.50","700.75","806.83","825.00","397.28","1,365.00"
"BAY AREA","CHARGE","10003756","ELECTRODE-IMPLANT SPINAL","63650","17,010.00","15,479.10","1,818.05","1,818.05","10,035.90","9,185.40","14,645.61","11,736.90","15,479.10","10,206.00","12,927.60","14,458.50","15,309.00","9,386.68","14,458.50","11,855.97","8,385.74","9,426.76","9,355.50","1,818.05","15,479.10"
"BAY AREA","CHARGE","10003757","INJECT NERVE, TRIGEMINAL","64400","850.00","773.50","719.60","719.60","501.50","459.00","731.85","586.50","773.50","510.00","646.00","722.50","765.00","830.44","722.50","592.45","844.78","850.00","467.50","459.00","850.00"
"BAY AREA","CHARGE","10003761","INJECT NERVE, SUPRASCAPULAR","64418","850.00","773.50","225.13","228.03","509.16","459.00","731.85","586.50","773.50","510.00","646.00","722.50","765.00","455.50","722.50","592.45","397.09","457.20","467.50","225.13","773.50"
"BAY AREA","CHARGE","10003763","INJECT NERVE, FEMORAL","64447","850.00","773.50","225.13","228.03","509.16","459.00","731.85","586.50","773.50","510.00","646.00","722.50","765.00","455.50","722.50","592.45","397.09","457.20","467.50","225.13","773.50"
"BAY AREA","CHARGE","10003764","INJECT HYPOGASTRIC PLEXUS","64517","1,100.00","1,001.00","291.34","295.10","658.91","594.00","947.10","759.00","1,001.00","660.00","836.00","935.00","990.00","589.47","935.00","766.70","513.88","591.67","605.00","291.34","1,001.00"
"BAY AREA","CHARGE","10003766","NEUROLYSIS CELIAC PLEXUS","64680","2,130.00","1,938.30","564.14","571.42","1,275.89","1,150.20","1,833.93","1,469.70","1,938.30","1,278.00","1,618.80","1,810.50","1,917.00","1,141.44","1,810.50","1,484.61","995.06","1,145.69","1,171.50","564.14","1,938.30"
"BAY AREA","CHARGE","10003770","GANGLION IMPAR BLOCK","64999","2,940.00","2,675.40","778.67","788.72","1,761.08","1,587.60","2,531.34","2,028.60","2,675.40","1,764.00","2,234.40","2,499.00","2,646.00","1,575.50","2,499.00","2,049.18","1,373.47","1,581.38","1,617.00","778.67","2,675.40"
"BAY AREA","CHARGE","10003771","FB REMOVAL EYE","65205","230.00","209.30","87.26","96.87","158.70","124.20","198.03","158.70","209.30","138.00","174.80","195.50","207.00","230.00","195.50","160.31","130.96","151.58","126.50","87.26","230.00"
"BAY AREA","CHARGE","10003772","FB REMOVAL EYELID","67938","265.00","241.15","94.82","105.14","182.63","143.10","228.17","182.85","241.15","159.00","201.40","225.25","238.50","226.72","225.25","184.71","135.60","156.61","145.75","94.82","241.15"
"BAY AREA","CHARGE","10003775","SIMULATION SIMPLE","77280","2,170.00","1,974.70","1,121.65","1,250.62","1,487.07","1,171.80","1,868.37","1,497.30","1,974.70","1,302.00","1,649.20","1,844.50","1,953.00","1,754.75","1,844.50","1,512.49","1,294.32","1,402.61","1,193.50","1,121.65","1,974.70"
"BAY AREA","CHARGE","10003776","SIMULATION INTERMEDIATE","77285","2,260.00","2,056.60","1,174.16","1,308.98","1,556.16","1,220.40","1,945.86","1,559.40","2,056.60","1,356.00","1,717.60","1,921.00","2,034.00","1,419.26","1,921.00","1,575.22","1,354.63","1,468.07","1,243.00","1,174.16","2,056.60"
"BAY AREA","CHARGE","10003777","SIMULATION COMPLEX","77290","3,330.00","3,030.30","1,752.79","1,949.91","2,311.29","1,798.20","2,867.13","2,297.70","3,030.30","1,998.00","2,530.80","2,830.50","2,997.00","1,453.45","2,830.50","2,321.01","2,019.75","2,192.12","1,831.50","1,453.45","3,030.30"
"BAY AREA","CHARGE","10003778","SIMULATION TREATMENT PLAN 3D","77295","3,600.00","3,276.00","1,854.54","2,066.88","2,456.18","1,944.00","3,099.60","2,484.00","3,276.00","2,160.00","2,736.00","3,060.00","3,240.00","2,143.37","3,060.00","2,509.20","2,140.17","2,320.07","1,980.00","1,854.54","3,276.00"
"BAY AREA","CHARGE","10003779","RADIOTHERAPY DOSE PLAN IMRT","77301","10,810.00","9,837.10","5,644.55","6,288.79","7,469.90","5,837.40","9,307.41","7,458.90","9,837.10","6,486.00","8,215.60","9,188.50","9,729.00","4,960.89","9,188.50","7,534.57","6,509.50","7,057.58","5,945.50","4,960.89","9,837.10"
"BAY AREA","CHARGE","10003783","SPECIAL TELETHERAPY PORT PLAN","77321","2,970.00","2,702.70","1,544.40","1,722.60","2,049.30","1,603.80","2,557.17","2,049.30","2,702.70","1,782.00","2,257.20","2,524.50","2,673.00","2,970.00","2,524.50","2,070.09","1,782.00","1,930.50","1,633.50","1,544.40","2,970.00"
"BAY AREA","CHARGE","10003787","SPECIAL RADIATION DOSIMETRY","77331","605.00","550.55","314.32","350.41","416.58","326.70","520.91","417.45","550.55","363.00","459.80","514.25","544.50","379.94","514.25","421.69","362.63","393.00","332.75","314.32","550.55"
"BAY AREA","CHARGE","10003788","TREATMENT DEVICE, SIMPLE","77332","850.00","773.50","441.61","492.32","585.28","459.00","731.85","586.50","773.50","510.00","646.00","722.50","765.00","533.79","722.50","592.45","509.48","552.15","467.50","441.61","773.50"
"BAY AREA","CHARGE","10003789","TREATMENT DEVICE, INTERMEDIATE","77333","1,700.00","1,547.00","883.22","984.63","1,170.56","918.00","1,463.70","1,173.00","1,547.00","1,020.00","1,292.00","1,445.00","1,530.00","1,067.59","1,445.00","1,184.90","1,018.97","1,104.30","935.00","883.22","1,547.00"
"BAY AREA","CHARGE","10003790","TREATMENT DEVICE, COMPLEX","77334","1,610.00","1,465.10","813.42","905.14","1,073.31","869.40","1,386.21","1,110.90","1,465.10","966.00","1,223.60","1,368.50","1,449.00","1,008.30","1,368.50","1,122.17","938.87","1,019.10","885.50","813.42","1,465.10"
"BAY AREA","CHARGE","10003791","PHYSICS CONSULT WEEKLY","77336","835.00","759.85","434.30","484.33","576.05","450.90","718.94","576.15","759.85","501.00","634.60","709.75","751.50","617.61","709.75","582.00","501.08","542.91","459.25","434.30","759.85"
"BAY AREA","CHARGE","10003792","MLC DEVICES FOR IMRT PER PLAN","77338","2,750.00","2,502.50","1,435.94","1,599.83","1,900.30","1,485.00","2,367.75","1,897.50","2,502.50","1,650.00","2,090.00","2,337.50","2,475.00","1,262.02","2,337.50","1,916.75","1,655.98","1,795.41","1,512.50","1,262.02","2,502.50"
"BAY AREA","CHARGE","10003793","PHYSICS CONSULT SPECIAL","77370","1,120.00","1,019.20","581.88","648.70","771.19","604.80","964.32","772.80","1,019.20","672.00","851.20","952.00","1,008.00","703.35","952.00","780.64","671.32","727.54","616.00","581.88","1,019.20"
"BAY AREA","CHARGE","10003794","SRS TX BRAIN LESIONS COBALT 60","77371","24,200.00","22,022.00","12,572.86","14,016.54","16,663.27","13,068.00","20,836.20","16,698.00","22,022.00","14,520.00","18,392.00","20,570.00","21,780.00","15,197.43","20,570.00","16,867.40","14,505.29","15,720.02","13,310.00","12,572.86","22,022.00"
"BAY AREA","CHARGE","10003795","IMAGE FUSION BY DOSIMETRIST","77399","765.00","696.15","397.80","443.70","527.85","413.10","658.67","527.85","696.15","459.00","581.40","650.25","688.50","349.60","650.25","533.21","459.00","497.25","420.75","349.60","696.15"
"BAY AREA","CHARGE","10003796","TRT DELIVERY SUPERFICIAL PER DAY","77401","360.00","327.60","187.03","208.51","247.88","194.40","309.96","248.40","327.60","216.00","273.60","306.00","324.00","226.08","306.00","250.92","215.78","233.85","198.00","187.03","327.60"
"BAY AREA","CHARGE","10003810","PORT FILM(S)","77417","460.00","418.60","238.99","266.43","316.74","248.40","396.06","317.40","418.60","276.00","349.60","391.00","414.00","288.88","391.00","320.62","275.72","298.81","253.00","238.99","418.60"
"BAY AREA","CHARGE","10003813","SPECIAL TREATMENT PROCEDURE","77470","2,020.00","1,838.20","1,049.47","1,169.98","1,390.90","1,090.80","1,739.22","1,393.80","1,838.20","1,212.00","1,535.20","1,717.00","1,818.00","1,268.55","1,717.00","1,407.94","1,210.77","1,312.17","1,111.00","1,049.47","1,838.20"
"BAY AREA","CHARGE","10003814","INTRACAVITARY SIMPLE","77761","2,720.00","2,475.20","1,413.15","1,575.41","1,872.90","1,468.80","2,341.92","1,876.80","2,475.20","1,632.00","2,067.20","2,312.00","2,448.00","1,708.14","2,312.00","1,895.84","1,630.35","1,766.88","1,496.00","1,413.15","2,475.20"
"BAY AREA","CHARGE","10003815","INTERSTITIAL SOURCE SIMPLE","77799","1,960.00","1,783.60","1,018.30","1,135.22","1,349.59","1,058.40","1,687.56","1,352.40","1,783.60","1,176.00","1,489.60","1,666.00","1,764.00","1,230.87","1,666.00","1,366.12","1,174.81","1,273.19","1,078.00","1,018.30","1,783.60"
"BAY AREA","CHARGE","10003816","INTERSTITIAL SOURCE COMPLEX","77778","11,140.00","10,137.40","5,787.67","6,452.24","7,670.61","6,015.60","9,591.54","7,686.60","10,137.40","6,684.00","8,466.40","9,469.00","10,026.00","6,995.84","9,469.00","7,764.58","6,677.23","7,236.41","6,127.00","5,787.67","10,137.40"
"BAY AREA","CHARGE","10003817","BRACHYTHERAPY 1 CHANNEL","77770","7,530.00","6,852.30","3,912.14","4,361.34","5,184.89","4,066.20","6,483.33","5,195.70","6,852.30","4,518.00","5,722.80","6,400.50","6,777.00","4,728.79","6,400.50","5,248.41","4,513.42","4,891.40","4,141.50","3,912.14","6,852.30"
"BAY AREA","CHARGE","10003818","BRACHYTHERAPY 2-12 CHANNELS","77771","8,270.00","7,525.70","4,296.59","4,789.95","5,694.43","4,465.80","7,120.47","5,706.30","7,525.70","4,962.00","6,285.20","7,029.50","7,443.00","5,193.50","7,029.50","5,764.19","4,956.97","5,372.09","4,548.50","4,296.59","7,525.70"
"BAY AREA","CHARGE","10003819","BRACHYTHERAPY >12 CHANNELS","77772","9,110.00","8,290.10","4,733.01","5,276.47","6,272.83","4,919.40","7,843.71","6,285.90","8,290.10","5,466.00","6,923.60","7,743.50","8,199.00","5,721.02","7,743.50","6,349.67","5,460.46","5,917.74","5,010.50","4,733.01","8,290.10"
"BAY AREA","CHARGE","10003821","POC BREATH ALCOHOL","82075","68.00","61.88","22.47","24.27","34.81","36.72","58.55","46.92","61.88","40.80","51.68","57.80","61.20","27.05","57.80","47.40","29.70","33.77","37.40","22.47","61.88"
"BAY AREA","CHARGE","10003841","GERD TEST W/MUCOSAL PH LEAD","91035","2,480.00","2,256.80","656.84","665.31","1,485.54","1,339.20","2,135.28","1,711.20","2,256.80","1,488.00","1,884.80","2,108.00","2,232.00","1,329.00","2,108.00","1,728.56","1,158.57","1,333.95","1,364.00","656.84","2,256.80"
"BAY AREA","CHARGE","10003850","PACER/ICD EVAL REMOTE","93296","200.00","182.00","82.49","91.56","134.78","108.00","172.20","138.00","182.00","120.00","152.00","170.00","180.00","127.18","170.00","139.40","106.81","118.21","110.00","82.49","182.00"
"BAY AREA","CHARGE","10003870","CHEMO ADMIN-OMAYA","96542","720.00","655.20","191.88","201.34","218.69","388.80","619.92","496.80","655.20","432.00","547.20","612.00","648.00","219.02","612.00","501.84","367.99","403.62","396.00","191.88","655.20"
"BAY AREA","CHARGE","10003871","DEBRIDE NON-SELECTIVE WOUND(S)","97602","260.00","236.60","118.48","126.58","156.27","140.40","223.86","179.40","236.60","156.00","197.60","221.00","234.00","104.98","221.00","181.22","138.98","153.24","143.00","104.98","236.60"
"BAY AREA","CHARGE","10003889","RRX TC99M DISIDA","A9510","690.00","627.90","189.98","207.21","348.47","372.60","594.09","476.10","627.90","414.00","524.40","586.50","621.00","302.18","586.50","480.93","337.71","377.16","379.50","189.98","627.90"
"BAY AREA","CHARGE","10003891","IV INFUSION TPA CEREBRAL","37195","555.00","505.05","45.11","48.61","364.45","299.70","477.86","382.95","505.05","333.00","421.80","471.75","499.50","120.58","471.75","386.84","49.01","57.25","305.25","45.11","505.05"
"BAY AREA","CHARGE","10003897","BRACHYTX I-125 STRANDED","C2638","190.00","172.90","32.33","32.96","113.88","102.60","163.59","131.10","172.90","114.00","144.40","161.50","171.00","99.89","161.50","132.43","88.91","98.77","104.50","32.33","172.90"
"BAY AREA","CHARGE","10003898","BRACHYTX I-125 NON-STRANDED","C2639","190.00","172.90","32.33","32.96","113.88","102.60","163.59","131.10","172.90","114.00","144.40","161.50","171.00","99.89","161.50","132.43","88.91","98.77","104.50","32.33","172.90"
"BAY AREA","CHARGE","10003909","SLEEP STUDY HOME, 4 CHANNEL","G0399","925.00","841.75","313.36","332.66","545.34","499.50","796.43","638.25","841.75","555.00","703.00","786.25","832.50","425.02","786.25","644.73","435.61","494.70","508.75","313.36","841.75"
"BAY AREA","CHARGE","10003911","SHOULDER ORTHOSIS VEST TYPE","L3675","250.00","227.50","42.54","43.37","149.85","135.00","215.25","172.50","227.50","150.00","190.00","212.50","225.00","131.43","212.50","174.25","116.98","129.95","137.50","42.54","227.50"
"BAY AREA","CHARGE","10003918","SLEEP STUDY UNATTENDED","95806","960.00","873.60","325.22","345.25","565.98","518.40","826.56","662.40","873.60","576.00","729.60","816.00","864.00","441.11","816.00","669.12","452.10","513.41","528.00","325.22","873.60"
"BAY AREA","CHARGE","10003949","HANDLING FEE, CJD","99001","56.20","51.14","18.57","20.06","28.77","30.35","48.39","38.78","51.14","33.72","42.71","47.77","50.58","22.36","47.77","39.17","24.55","27.91","30.91","18.57","51.14"
"BAY AREA","CHARGE","10003971","BRONCHOSCOPY, DIAGNOSTIC","","2,680.00","2,438.80","1,230.78","1,289.96","1,759.87","1,447.20","2,307.48","1,849.20","2,438.80","1,608.00","2,036.80","2,278.00","2,412.00","1,831.41","2,278.00","1,867.96","1,561.46","1,823.04","1,474.00","1,230.78","2,438.80"
"BAY AREA","CHARGE","10003972","BRONCHOSCOPY, THERAPEUTIC","","3,060.00","2,784.60","1,844.38","1,799.67","2,111.40","1,652.40","2,634.66","2,111.40","2,784.60","1,836.00","2,325.60","2,601.00","2,754.00","1,822.62","2,601.00","2,132.82","1,792.33","1,836.24","1,683.00","1,652.40","2,784.60"
"BAY AREA","CHARGE","10003983","NEEDLE, NON CORING","A4212","20.00","18.20","3.40","3.47","11.99","10.80","17.22","13.80","18.20","12.00","15.20","17.00","18.00","10.51","17.00","13.94","9.36","10.40","11.00","3.40","18.20"
"BAY AREA","CHARGE","10004035","LITHOTRIPSY","","24,380.00","22,185.80","3,880.15","3,923.93","14,587.37","13,165.20","20,991.18","16,822.20","22,185.80","14,628.00","18,528.80","20,723.00","21,942.00","10,741.34","20,723.00","16,992.86","9,388.52","10,913.48","13,409.00","3,880.15","22,185.80"
"BAY AREA","CHARGE","10004053","AQUAPHERESIS","37799","4,180.00","3,803.80","1,107.09","1,121.37","2,503.85","2,257.20","3,598.98","2,884.20","3,803.80","2,508.00","3,176.80","3,553.00","3,762.00","2,240.00","3,553.00","2,913.46","1,952.75","2,248.36","2,299.00","1,107.09","3,803.80"
"BAY AREA","CHARGE","10004059","CANALITH REPOSITIONING","95992","175.00","159.25","78.97","80.94","121.72","94.50","150.68","120.75","159.25","105.00","133.00","148.75","157.50","89.78","148.75","121.98","92.54","103.43","96.25","78.97","159.25"
"BAY AREA","CHARGE","10004061","CHEMO INFUSION ADDL SEQUENTIAL","96417","385.00","350.35","87.04","89.66","94.46","207.90","331.49","265.65","350.35","231.00","292.60","327.25","346.50","89.97","327.25","268.35","194.16","213.26","211.75","87.04","350.35"
"BAY AREA","CHARGE","10004062","CHEMO IV PUSH 1ST OR SINGLE","96409","445.00","404.95","118.59","124.44","135.16","240.30","383.15","307.05","404.95","267.00","338.20","378.25","400.50","135.37","378.25","310.17","227.44","249.46","244.75","118.59","404.95"
"BAY AREA","CHARGE","10004063","CHEMO IV PUSH EA ADDITIONAL","96411","335.00","304.85","117.54","126.44","142.76","180.90","288.44","231.15","304.85","201.00","254.60","284.75","301.50","70.48","284.75","233.50","176.05","192.58","184.25","70.48","304.85"
"BAY AREA","CHARGE","10004137","COUNTER-IV START","","120.00","109.20","40.65","43.16","70.75","64.80","103.32","82.80","109.20","72.00","91.20","102.00","108.00","55.14","102.00","83.64","56.51","64.18","66.00","40.65","109.20"
"BAY AREA","CHARGE","10004236","FNA W/O IMAGING  1ST LESION*","10021","805.00","732.55","288.04","319.38","554.79","434.70","693.11","555.45","732.55","483.00","611.80","684.25","724.50","688.71","684.25","561.09","411.92","475.73","442.75","288.04","732.55"
"BAY AREA","CHARGE","10004245","APPLY SPLINT LONG ARM*","29105","250.00","227.50","89.45","99.19","172.30","135.00","215.25","172.50","227.50","150.00","190.00","212.50","225.00","213.88","212.50","174.25","127.93","147.74","137.50","89.45","227.50"
"BAY AREA","CHARGE","10004246","APPLY SPLINT SHORT ARM*","29125","230.00","209.30","82.30","91.25","158.51","124.20","198.03","158.70","209.30","138.00","174.80","195.50","207.00","196.77","195.50","160.31","117.69","135.92","126.50","82.30","209.30"
"BAY AREA","CHARGE","10004262","I&D OF HEMATOMA","10140","1,550.00","1,410.50","554.61","614.95","1,068.24","837.00","1,334.55","1,069.50","1,410.50","930.00","1,178.00","1,317.50","1,395.00","1,326.08","1,317.50","1,080.35","793.14","916.01","852.50","554.61","1,410.50"
"BAY AREA","CHARGE","10004267","CAMPYLOBACTER EIA","87449","62.00","56.42","25.63","27.42","41.80","33.48","53.38","42.78","56.42","37.20","47.12","52.70","55.80","29.96","52.70","43.21","34.51","39.45","34.10","25.63","56.42"
"BAY AREA","CHARGE","10004269","BUPRENORPHINE","80348","98.00","89.18","40.33","42.84","47.42","52.92","84.38","67.62","89.18","58.80","74.48","83.30","88.20","30.52","83.30","68.31","98.00","98.00","53.90","30.52","98.00"
"BAY AREA","CHARGE","10004279","INCISE & REMOVE FB SQ, COMP","10121","1,120.00","1,019.20","400.75","444.35","771.89","604.80","964.32","772.80","1,019.20","672.00","851.20","952.00","1,008.00","958.20","952.00","780.64","573.11","661.89","616.00","400.75","1,019.20"
"BAY AREA","CHARGE","10004287","OP SERVICE LOW ACUITY NEW PT*","99202","100.00","91.00","29.79","30.95","34.79","54.00","86.10","69.00","91.00","60.00","76.00","85.00","90.00","34.07","85.00","69.70","37.98","42.91","55.00","29.79","91.00"
"BAY AREA","CHARGE","10004293","RADIAL HEAD SUBLUXATION","","270.00","245.70","96.61","107.12","186.08","145.80","232.47","186.30","245.70","162.00","205.20","229.50","243.00","231.00","229.50","188.19","138.16","159.56","148.50","96.61","245.70"
"BAY AREA","CHARGE","10004295","APPLY CAST SHORT ARM","29075","355.00","323.05","127.89","141.92","244.95","191.70","305.66","244.95","323.05","213.00","269.80","301.75","319.50","306.11","301.75","247.44","183.20","210.59","195.25","127.89","323.05"
"BAY AREA","CHARGE","10004298","ADMIN FEE VACCINE, HEPATITIS B","90471","105.00","95.55","26.36","29.29","72.45","56.70","90.41","72.45","95.55","63.00","79.80","89.25","94.50","42.46","89.25","73.19","42.38","49.48","57.75","26.36","95.55"
"BAY AREA","CHARGE","10004303","FEMORAL FX W/O MANIPULATION","","635.00","577.85","307.08","335.77","436.31","342.90","546.74","438.15","577.85","381.00","482.60","539.75","571.50","410.45","539.75","442.60","386.77","429.46","349.25","307.08","577.85"
"BAY AREA","CHARGE","10004312","FOAM DRSG NO BORDER </=16 SQ IN","A6209","30.00","27.30","5.11","5.20","17.98","16.20","25.83","20.70","27.30","18.00","22.80","25.50","27.00","15.77","25.50","20.91","14.04","15.59","16.50","5.11","27.30"
"BAY AREA","CHARGE","10004313","FOAM DRSG W/BORDER </=16 SQ IN","A6212","30.00","27.30","5.11","5.20","17.98","16.20","25.83","20.70","27.30","18.00","22.80","25.50","27.00","15.77","25.50","20.91","14.04","15.59","16.50","5.11","27.30"
"BAY AREA","CHARGE","10004316","COUNTER-PREP","","740.00","673.40","250.69","266.13","436.28","399.60","637.14","510.60","673.40","444.00","562.40","629.00","666.00","340.02","629.00","515.78","348.49","395.76","407.00","250.69","673.40"
"BAY AREA","CHARGE","10004319","XR FOOT 1 VIEW LIMITED","73620","250.00","227.50","89.11","95.33","149.32","135.00","215.25","172.50","227.50","150.00","190.00","212.50","225.00","147.34","212.50","174.25","122.32","140.30","137.50","89.11","227.50"
"BAY AREA","CHARGE","10004353","CYSTOSCOPY","","3,630.00","3,303.30","2,460.57","2,460.57","2,141.70","1,960.20","3,125.43","2,504.70","3,303.30","2,178.00","2,758.80","3,085.50","3,267.00","2,046.36","3,085.50","2,530.11","1,620.15","1,891.82","1,996.50","1,620.15","3,303.30"
"BAY AREA","CHARGE","10004354","COLLAR-CERVICAL SEMI-RIGID W/CHIN","L0150","140.00","127.40","41.77","46.43","96.60","75.60","120.54","96.60","127.40","84.00","106.40","119.00","126.00","35.02","119.00","97.58","47.31","55.26","77.00","35.02","127.40"
"BAY AREA","CHARGE","10004356","ANGIOGRAPHY","","1,530.00","1,392.30","405.23","410.45","916.48","826.20","1,317.33","1,055.70","1,392.30","918.00","1,162.80","1,300.50","1,377.00","819.91","1,300.50","1,066.41","714.76","822.96","841.50","405.23","1,392.30"
"BAY AREA","CHARGE","10004358","PERIPHERAL INTERVENTION LEVEL 1","","23,070.00","20,993.70","6,110.18","6,189.00","13,819.10","12,457.80","19,863.27","15,918.30","20,993.70","13,842.00","17,533.20","19,609.50","20,763.00","12,362.88","19,609.50","16,079.79","10,777.50","12,409.00","12,688.50","6,110.18","20,993.70"
"BAY AREA","CHARGE","10004359","PERIPHERAL INTERVENTION LEVEL 2","","24,920.00","22,677.20","6,600.16","6,685.30","14,927.26","13,456.80","21,456.12","17,194.80","22,677.20","14,952.00","18,939.20","21,182.00","22,428.00","13,354.27","21,182.00","17,369.24","11,641.75","13,404.09","13,706.00","6,600.16","22,677.20"
"BAY AREA","CHARGE","10004360","PURKINJE CELL ANTIBODY TITER,IGG  GG","86256","136.00","123.76","44.94","48.54","69.61","73.44","117.10","93.84","123.76","81.60","103.36","115.60","122.40","54.10","115.60","94.79","59.40","67.54","74.80","44.94","123.76"
"BAY AREA","CHARGE","10004370","CARDIAC CATH","","15,800.00","14,378.00","4,184.69","4,238.67","9,464.32","8,532.00","13,603.80","10,902.00","14,378.00","9,480.00","12,008.00","13,430.00","14,220.00","8,466.99","13,430.00","11,012.60","7,381.21","8,498.58","8,690.00","4,184.69","14,378.00"
"BAY AREA","CHARGE","10004372","INJECTION VENOGRAM EXTREMITY","","1,350.00","1,228.50","357.55","362.17","808.66","729.00","1,162.35","931.50","1,228.50","810.00","1,026.00","1,147.50","1,215.00","723.45","1,147.50","940.95","630.67","726.14","742.50","357.55","1,228.50"
"BAY AREA","CHARGE","10004373","CATH INSERTION/INJECTION VEIN OR A","","2,820.00","2,566.20","746.89","756.52","1,689.20","1,522.80","2,428.02","1,945.80","2,566.20","1,692.00","2,143.20","2,397.00","2,538.00","1,511.20","2,397.00","1,965.54","1,317.41","1,516.84","1,551.00","746.89","2,566.20"
"BAY AREA","CHARGE","10004374","CENTRAL LINE INSERT/REPLACE/REPAIR","","3,010.00","2,739.10","797.21","807.49","1,803.01","1,625.40","2,591.61","2,076.90","2,739.10","1,806.00","2,287.60","2,558.50","2,709.00","1,613.02","2,558.50","2,097.97","1,406.17","1,619.03","1,655.50","797.21","2,739.10"
"BAY AREA","CHARGE","10004377","DOPPLER CARDIAC FLOW MEASUREMENT","","6,810.00","6,197.10","1,803.66","1,826.92","4,079.24","3,677.40","5,863.41","4,698.90","6,197.10","4,086.00","5,175.60","5,788.50","6,129.00","3,649.38","5,788.50","4,746.57","3,181.39","3,663.00","3,745.50","1,803.66","6,197.10"
"BAY AREA","CHARGE","10004386","LEAD(S) INSERT OR REPLACE","","22,150.00","20,156.50","5,866.51","5,942.19","13,268.01","11,961.00","19,071.15","15,283.50","20,156.50","13,290.00","16,834.00","18,827.50","19,935.00","11,869.87","18,827.50","15,438.55","10,347.71","11,914.15","12,182.50","5,866.51","20,156.50"
"BAY AREA","CHARGE","10004387","PACER W/LEAD(S) INSERT/REPLACE","","28,280.00","25,734.80","7,490.07","7,586.69","16,939.93","15,271.20","24,349.08","19,513.20","25,734.80","16,968.00","21,492.80","24,038.00","25,452.00","15,154.85","24,038.00","19,711.16","13,211.43","15,211.38","15,554.00","7,490.07","25,734.80"
"BAY AREA","CHARGE","10004389","DEVICE REPAIR, REMOVE, REVISE","","5,550.00","5,050.50","1,469.94","1,488.90","3,324.49","2,997.00","4,778.55","3,829.50","5,050.50","3,330.00","4,218.00","4,717.50","4,995.00","2,974.17","4,717.50","3,868.35","2,592.77","2,985.26","3,052.50","1,469.94","5,050.50"
"BAY AREA","CHARGE","10004390","PACER GENERATOR DUAL CHAMBER & LEAD(S)","","33,230.00","30,239.30","8,801.10","8,914.63","19,905.01","17,944.20","28,611.03","22,928.70","30,239.30","19,938.00","25,254.80","28,245.50","29,907.00","17,807.48","28,245.50","23,161.31","15,523.89","17,873.91","18,276.50","8,801.10","30,239.30"
"BAY AREA","CHARGE","10004391","PACER INSERT/REPLACE LEVEL 1","","23,030.00","20,957.30","6,099.59","6,178.27","13,795.14","12,436.20","19,828.83","15,890.70","20,957.30","13,818.00","17,502.80","19,575.50","20,727.00","12,341.45","19,575.50","16,051.91","10,758.81","12,387.49","12,666.50","6,099.59","20,957.30"
"BAY AREA","CHARGE","10004394","RADIOLOGY S&I LEVEL 3","","8,050.00","7,325.50","2,869.27","3,069.66","4,808.10","4,347.00","6,931.05","5,554.50","7,325.50","4,830.00","6,118.00","6,842.50","7,245.00","4,744.26","6,842.50","5,610.85","3,938.56","4,517.67","4,427.50","2,869.27","7,325.50"
"BAY AREA","CHARGE","10004399","STENT INSERTION CARDIAC","","32,960.00","29,993.60","8,729.59","8,842.19","19,743.28","17,798.40","28,378.56","22,742.40","29,993.60","19,776.00","25,049.60","28,016.00","29,664.00","17,662.79","28,016.00","22,973.12","15,397.76","17,728.69","18,128.00","8,729.59","29,993.60"
"BAY AREA","CHARGE","10004403","CARDIAC IMAGING","","4,800.00","4,368.00","1,271.30","1,287.70","2,875.24","2,592.00","4,132.80","3,312.00","4,368.00","2,880.00","3,648.00","4,080.00","4,320.00","2,572.25","4,080.00","3,345.60","2,242.39","2,581.85","2,640.00","1,271.30","4,368.00"
"BAY AREA","CHARGE","10004406","VENA CAVA FILTER INSERT/REVISE/REM","","7,490.00","6,815.90","1,983.76","2,009.35","4,486.57","4,044.60","6,448.89","5,168.10","6,815.90","4,494.00","5,692.40","6,366.50","6,741.00","4,013.78","6,366.50","5,220.53","3,499.07","4,028.76","4,119.50","1,983.76","6,815.90"
"BAY AREA","CHARGE","10004409","THROMBECTOMY","","10,460.00","9,518.60","2,770.37","2,806.11","6,265.62","5,648.40","9,006.06","7,217.40","9,518.60","6,276.00","7,949.60","8,891.00","9,414.00","5,605.36","8,891.00","7,290.62","4,886.55","5,626.28","5,753.00","2,770.37","9,518.60"
