CHARGE_DESCRIPTION,ACTIVITY_TYPE,MRKS_CPT,MRKS_HCPCS,DRG_CODE,NDC,CHARGEMASTER_PRICE,AVERAGE CHARGES_INPATIENT DRGS,DISCOUNTED CASH PRICE,MEDICARE,BCBS,SUNFLOWER_HEALTH,SUNFLOWER_HEALTH_COM_EXCHANGE,AETNA_BETTER_HEALTH_OF_KANSAS,AETNA,PROVIDRS CARE NETWORK,UHC_MEDICARE_ADVANTAGE,HUMANA_MEDICARE ADVANTAGE,UNITED HEALTHCARE_UHC,CHRISTIAN HEALTH AID_CHA,MINIMUM_COMMERCIAL PRICE,MAXIMUM_COMMERCIAL PRICE
Level 1 - Skilled Care per Diem,Skilled Nursing Facility,,,,,,,0,,,,233.16,0,,800,0,0,0,0,0,800
Level 2 - Comprehensive Care per Diem,Skilled Nursing Facility,,,,,,,0,,,,349.75,0,,800,0,0,0,0,0,800
Level 3 - Complex Care per Diem,Skilled Nursing Facility,,,,,,,0,,,,582.91,0,,800,0,0,0,0,0,800
Level 4 - Intensive Care per Diem,Skilled Nursing Facility,,,,,,,0,,,,612.06,0,,800,0,0,0,0,0,800
Levetiracetam - AMS,General Lab,80177,,,,103,,103,13.25,36.09,13.25,14.575000000000001,13.25,16.57,19.875,13.25,11.2625,92.7,103,11.2625,103
levETIRAcetam 100 mg/mL Sol,Pharmacy,,J1953,,51224-0013-10,12,,12,6.1,6.5,6.1,6.71,6.1,0,9.149999999999999,6.1,5.185,10.8,12,0,12
levETIRAcetam 100 mg/mL Sol [MRKS],Pharmacy,,J1953,,39822-4000-01,12,,12,6.1,6.5,6.1,6.71,6.1,0,9.149999999999999,6.1,5.185,10.8,12,0,12
levETIRAcetam 500 mg Tab [MRKS],Pharmacy,,A9270,,68001-0403-03,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levETIRAcetam 500. mg Tab,Pharmacy,,A9270,,00904-6052-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levETIRAcetam 500. Soln,Pharmacy,,J1953,,00143-9673-25,12,,12,6.1,6.5,6.1,6.71,6.1,0,9.149999999999999,6.1,5.185,10.8,12,0,12
levoFLOXacin 250 mg Tab,Pharmacy,,A9270,,65862-0536-50,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levoFLOXacin 250 mg Tab [MRKS],Pharmacy,,A9270,,69097-0282-70,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levoFLOXacin 500 mg Tab [MRKS],Pharmacy,,A9270,,65862-0537-50,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levofloxacin 500 mg/100 mL IV Sol[MRKS],Pharmacy,,J1956,,25021-0825-82,12,,12,0.806,8.34,0.806,0.8866000000000002,0.806,0,1.209,0.806,0.6851,10.8,12,0,12
levofloxacin 500. Soln,Pharmacy,,J1956,,00143-9721-01,12,,12,0.806,8.34,0.806,0.8866000000000002,0.806,0,1.209,0.806,0.6851,10.8,12,0,12
levothyroxine 100 mcg (0.1 mg) Tab,Pharmacy,,A9270,,00074-6624-11,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 100 mcg (0.1 mg) Tab [MRKS],Pharmacy,,A9270,,60687-0497-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 112 mcg (0.112 mg) Tab [MRKS],Pharmacy,,A9270,,00527-1346-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 112 mcg (0.112 mg) Tab [MRKS],Pharmacy,,A9270,,69238-1835-07,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 112. mcg Tab,Pharmacy,,A9270,,00378-1811-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 125 mcg (0.125 mg) Tab,Pharmacy,,A9270,,00527-1347-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 125 mcg (0.125 mg) Tab [MRKS],Pharmacy,,A9270,,69238-1836-07,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 125. mcg Tab,Pharmacy,,A9270,,00378-1813-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 137 mcg (0.137 mg) Tab [MRKS],Pharmacy,,A9270,,69238-1837-07,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 175 mcg (0.175 mg) Tab [MRKS],Pharmacy,,A9270,,69238-1839-07,2.44,,2.44,0,0,0,0,0,0,0,0,0,2.196,2.44,0,2.44
levothyroxine 175. mcg Tab,Pharmacy,,A9270,,00527-1350-01,2.05,,2.05,0,0,0,0,0,0,0,0,0,1.845,2.05,0,2.05
levothyroxine 25 mcg (0.025 mg) Tab [MRKS],Pharmacy,,A9270,,69238-1830-07,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 25. mcg Tab,Pharmacy,,A9270,,00378-1800-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 50. mcg Tab[MRKS],Pharmacy,,A9270,,51079-0440-20,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 75 mcg (0.075 mg) Tab [MRKS],Pharmacy,,A9270,,60687-0475-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 75. mcg Tab,Pharmacy,,A9270,,00074-5182-11,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 88 mcg (0.088 mg) Tab [MRKS],Pharmacy,,A9270,,69238-1833-07,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine 88. mcg Tab,Pharmacy,,A9270,,00378-1807-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
levothyroxine Powder-Inj,Pharmacy,,,,63323-0649-07,149.43,,149.43,0,0,0,0,0,0,0,0,0,134.48700000000002,149.43,0,149.43
lidocaine 0.4%-D5% Soln,Pharmacy,,J2001,,00338-0409-03,13.5,,13.5,4.3999999999999995,4,4.3999999999999995,4.84,4.3999999999999995,0,6.6,4.3999999999999995,3.7399999999999993,12.15,13.5,0,13.5
lidocaine 1% Sol,Pharmacy,,,,00409-4276-16,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
lidocaine 1% Soln,Pharmacy,,,,00409-4713-02,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
lidocaine 1% Soln,Pharmacy,,,,00409-4279-02,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
lidocaine 2% Soln[MRKS],Pharmacy,,,,00409-4277-01,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
lidocaine Soln[MRKS],Pharmacy,,J2001,,00409-1323-05,12,,12,0.21999999999999997,0.2,0.21999999999999997,0.242,0.21999999999999997,0,0.32999999999999996,0.21999999999999997,0.18699999999999997,10.8,12,0,12
lidocaine Top 2% Gel w/Appl 5 mL[MRKS],Pharmacy,,,,50383-0781-05,2.78,,2.78,0,0,0,0,0,0,0,0,0,2.502,2.78,0,2.78
lidocaine topical 2% Gel-App,Pharmacy,,,,76329-3015-05,2.75,,2.75,0,0,0,0,0,0,0,0,0,2.475,2.75,0,2.75
lidocaine topical 2% Gel-App,Pharmacy,,,,17478-0811-30,12.37,,12.37,0,0,0,0,0,0,0,0,0,11.133,12.37,0,12.37
lidocaine topical 2% Soln,Pharmacy,,A9270,,50383-0775-04,20.25,,20.25,0,0,0,0,0,0,0,0,0,18.225,20.25,0,20.25
lidocaine topical 4% Soln,Pharmacy,,,,60432-0465-50,42,,42,0,0,0,0,0,0,0,0,0,37.800000000000004,42,0,42
lidocaine topical 5% Cream [MRKS],Pharmacy,,A9270,,69315-0301-30,1.92,,1.92,0,0,0,0,0,0,0,0,0,1.728,1.92,0,1.92
lidocaine topical 5% Film,Pharmacy,,A9270,,00378-9055-93,11.24,,11.24,0,0,0,0,0,0,0,0,0,10.116,11.24,0,11.24
lidocaine topical 5% Film [MRKS],Pharmacy,,A9270,,00591-3525-30,10.43,,10.43,0,0,0,0,0,0,0,0,0,9.387,10.43,0,10.43
lidocaine-prilocaine topical 2.5%-2.5% Cream,Pharmacy,,,,00115-1468-60,2.6,,2.6,0,0,0,0,0,0,0,0,0,2.3400000000000003,2.6,0,2.6
linezolid 2 mg/mL-D5% Sol [MRKS],Pharmacy,,J2020,,00009-4992-02,31.25,,31.25,22.515,36.21,22.515,24.766500000000004,22.515,0,33.7725,22.515,19.13775,28.125,31.25,0,36.21
linezolid 600. mg Tab,Pharmacy,,A9270,,00009-5135-02,141.99,,141.99,0,0,0,0,0,0,0,0,0,127.79100000000001,141.99,0,141.99
Lipase Level,General Lab,83690,,,,43.5,,43.5,6.89,27.5,6.89,7.579000000000001,6.89,9.86,10.334999999999999,6.89,5.8565,39.15,43.5,5.8565,43.5
Lipid Panel,General Lab,83721,,,,37.8,,37.8,10.5,44.88,10.5,11.55,10.5,13.66,15.75,10.5,8.924999999999999,34.019999999999996,37.8,8.924999999999999,44.88
Lipid Panel Screen,General Lab,80061,,,,64.1,,64.1,13.39,42.75,13.39,14.729000000000001,13.39,19.19,20.085,13.39,11.3815,57.69,64.1,11.3815,64.1
lisinopril 10 mg Tab [MRKS],Pharmacy,,A9270,,00904-6798-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 10. mg Tab,Pharmacy,,A9270,,63739-0349-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 2.5 mg Tab,Pharmacy,,A9270,,68001-0272-08,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 2.5 mg Tab [MRKS],Pharmacy,,A9270,,68180-0512-02,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 20 mg Tab,Pharmacy,,A9270,,60687-0333-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 20 mg Tab [MRKS],Pharmacy,,A9270,,63739-0350-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 30 mg Tab *NON-FORM* [MRKS],Pharmacy,,A9270,,76282-0421-05,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Lisinopril 40 mg Tab [MRKS],Pharmacy,,A9270,,68001-0337-08,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 40 mg Tab [MRKS],Pharmacy,,A9270,,00904-6800-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lisinopril 5. mg Tab,Pharmacy,,A9270,,00185-5400-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Lithium - AMS,General Lab,80178,,,,41.4,,41.4,6.61,26.18,6.61,7.271000000000001,6.61,9.46,9.915000000000001,6.61,5.6185,37.26,41.4,5.6185,41.4
lithium 150. mg Cap[MRKS],Pharmacy,,A9270,,00054-8526-25,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
loperamide 2. mg Cap[MRKS],Pharmacy,,A9270,,00093-0311-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
loperamide 2. mg Tab,Pharmacy,,A9270,,24385-0554-53,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
loratadine 10 mg Tab,Pharmacy,,A9270,,45802-0650-87,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
loratadine 10 mg Tab [MRKS],Pharmacy,,A9270,,00904-6852-72,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
loratadine 10. mg Tab,Pharmacy,,A9270,,16714-0482-03,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
LORazepam 0.5 mg Tab [MRKS],Pharmacy,,A9270,,63739-0499-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
LORazepam 0.5 mg Tab [MRKS],Pharmacy,,A9270,,00904-6007-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
LORazepam 1. mg Tab,Pharmacy,,A9270,,63739-0500-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
LORazepam 2 mg/mL Sol [MRKS],Pharmacy,,J2060,,00641-6044-25,12,,12,0.754,0.9,0.754,0.8294,0.754,0,1.131,0.754,0.6409,10.8,12,0,12
LORazepam 2 mg/mL Sol [MRKS],Pharmacy,,J2060,,00409-6778-02,12,,12,0.754,0.9,0.754,0.8294,0.754,0,1.131,0.754,0.6409,10.8,12,0,12
LORazepam 2. Soln,Pharmacy,,J2060,,00409-1985-30,12,,12,0.754,0.9,0.754,0.8294,0.754,0,1.131,0.754,0.6409,10.8,12,0,12
LORazepam 2. Soln,Pharmacy,,J2060,,00641-6001-25,12,,12,0.754,0.9,0.754,0.8294,0.754,0,1.131,0.754,0.6409,10.8,12,0,12
LORazepam 60. Conc,Pharmacy,,A9270,,50383-0705-30,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
losartan 100 mg Tab [MRKS],Pharmacy,,A9270,,65862-0203-99,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
losartan 25 mg Tab,Pharmacy,,A9270,,00904-6391-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
losartan 25. mg Tab,Pharmacy,,A9270,,65862-0201-99,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
losartan 50. mg Tab,Pharmacy,,A9270,,68084-0347-01,1.98,,1.98,0,0,0,0,0,0,0,0,0,1.782,1.98,0,1.98
lovastatin 20 mg Tab,Pharmacy,,A9270,,68001-0315-08,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
lovastatin 20. mg Tab,Pharmacy,,A9270,,00185-0072-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
LR Platelet - Product Type,General Lab,,P9035,,,750.9,,750.9,0,0,0,0,0,0,450.53999999999996,0,0,675.81,750.9,0,750.9
LR Platelet Irr - Product Type,General Lab,,P9037,,,789,,789,0,0,0,0,0,0,473.4,0,0,710.1,789,0,789
LRBC,General Lab,,P9016,,,435,,435,0,529.05,0,0,0,0,261,0,0,391.5,435,0,529.05
LRBC - Product Type,General Lab,,P9016,,,435,,435,0,529.05,0,0,0,0,261,0,0,391.5,435,0,529.05
LRBC Irrad - Product Type,General Lab,,P9040,,,525,,525,0,0,0,0,0,0,315,0,0,472.5,525,0,525
lubiprostone 24. mcg Cap,Pharmacy,,A9270,,64764-0240-60,12.35,,12.35,0,0,0,0,0,0,0,0,0,11.115,12.35,0,12.35
Luteinizing Hormone,General Lab,83002,,,,109,,109,18.52,68.87,18.52,20.372,18.52,26.53,27.78,18.52,15.741999999999999,98.10000000000001,109,15.741999999999999,109
Luteinizing Hormone AMS,General Lab,83002,,,,109,,109,18.52,68.87,18.52,20.372,18.52,26.53,27.78,18.52,15.741999999999999,98.10000000000001,109,15.741999999999999,109
LVP solution Dextrose 5% in Lactated Ringers Injection Sol,Pharmacy,,J7121,,00338-0125-04,15.24,,15.24,0,6.03,0,0,0,0,0,0,0,13.716000000000001,15.24,0,15.24
LVP solution Dextrose 5% in Water Sol,Pharmacy,,J7060,,00409-7922-09,15.28,,15.28,4.082,4.9,4.082,4.490200000000001,4.082,0,6.122999999999999,4.082,3.4696999999999996,13.751999999999999,15.28,0,15.28
LVP solution Dextrose 5% in Water Sol,Pharmacy,,J7060,,00264-7510-00,12,,12,4.082,4.9,4.082,4.490200000000001,4.082,0,6.122999999999999,4.082,3.4696999999999996,10.8,12,0,12
LVP solution Dextrose 5% with 0.2% NaCl Sol,Pharmacy,,,,00264-7616-00,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
LVP solution Dextrose 5% with 0.45% NaCl Sol,Pharmacy,,,,00264-7612-00,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
LVP solution Dextrose 5% with 0.9% NaCl Sol,Pharmacy,,J7060,,00409-7941-09,14.3,,14.3,4.082,4.9,4.082,4.490200000000001,4.082,0,6.122999999999999,4.082,3.4696999999999996,12.870000000000001,14.3,0,14.3
LVP solution Dextrose 5% with 0.9% NaCl Sol,Pharmacy,,J7060,,00264-7610-00,12,,12,4.082,4.9,4.082,4.490200000000001,4.082,0,6.122999999999999,4.082,3.4696999999999996,10.8,12,0,12
LVP solution Lactated Ringers Injection Sol,Pharmacy,,J7120,,00409-7953-09,15.28,,15.28,2.34,3.11,2.34,2.574,2.34,0,3.51,2.34,1.9889999999999999,13.751999999999999,15.28,0,15.28
LVP solution Lactated Ringers Injection Sol,Pharmacy,,J7120,,00409-7953-03,12,,12,2.34,3.11,2.34,2.574,2.34,0,3.51,2.34,1.9889999999999999,10.8,12,0,12
LVP solution Sodium Chloride 0.45% Sol [MRKS],Pharmacy,,,,00264-7802-00,15.4,,15.4,0,0,0,0,0,0,0,0,0,13.860000000000001,15.4,0,15.4
LVP solution Sodium Chloride 0.9% Sol,Pharmacy,,J7050,,00409-7984-37,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
LVP solution Sodium Chloride 0.9% Sol,Pharmacy,,J7030,,00409-7983-09,15.28,,15.28,2.538,3.33,2.538,2.7918,2.538,0,3.8069999999999995,2.538,2.1572999999999998,13.751999999999999,15.28,0,15.28
LVP solution Sodium Chloride 0.9% Sol,Pharmacy,,J7050,,00409-7984-36,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
LVP solution Sodium Chloride 0.9% Sol,Pharmacy,,J7050,,00409-7983-02,12,,12,0.634,1.37,0.634,0.6974,0.634,0,0.9510000000000001,0.634,0.5389,10.8,12,0,12
LVP solution Sodium Chloride 0.9% Sol [MRKS],Pharmacy,,J7040,,00409-7983-55,12.4,,12.4,1.269,1.67,1.269,1.3959,1.269,0,1.9034999999999997,1.269,1.0786499999999999,11.16,12.4,0,12.4
LVP solution Sodium Chloride 0.9% Sol [MRKS],Pharmacy,,J7040,,00264-7800-10,12,,12,1.269,1.67,1.269,1.3959,1.269,0,1.9034999999999997,1.269,1.0786499999999999,10.8,12,0,12
LVP solution Sodium Chloride 0.9% Sol [MRKS],Pharmacy,,J7030,,00264-7800-00,13.71,,13.71,2.538,3.33,2.538,2.7918,2.538,0,3.8069999999999995,2.538,2.1572999999999998,12.339,13.71,0,13.71
Lyme Disease EIA - AMS,General Lab,86618,,,,110,,110,17.03,75.92,17.03,18.733000000000004,17.03,24.4,25.545,17.03,14.4755,99,110,14.4755,110
magnesium citrate 1.745 g/30 mL Liq,Pharmacy,,A9270,,49348-0504-49,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
magnesium citrate 1.745 g/30 mL Liq [MRKS],Pharmacy,,A9270,,00869-0166-38,3.9,,3.9,0,0,0,0,0,0,0,0,0,3.51,3.9,0,3.9
magnesium citrate 8.85% Liquid [MRKS],Pharmacy,,A9270,,49348-0696-49,3.9,,3.9,0,0,0,0,0,0,0,0,0,3.51,3.9,0,3.9
magnesium gluconate 500. mg Tab,Pharmacy,,A9270,,60258-0172-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
magnesium hydroxide 8% Sus [MRKS],Pharmacy,,A9270,,66689-0053-99,6.01,,6.01,0,0,0,0,0,0,0,0,0,5.409,6.01,0,6.01
magnesium hydroxide 8% Susp [MRKS],Pharmacy,,A9270,,00121-0431-30,6.01,,6.01,0,0,0,0,0,0,0,0,0,5.409,6.01,0,6.01
Magnesium Level,General Lab,83735,,,,40.5,,40.5,6.7,25.59,6.7,7.370000000000001,6.7,9.6,10.05,6.7,5.695,36.45,40.5,5.695,40.5
Magnesium Level - AMS,General Lab,83735,,,,40.5,,40.5,6.7,25.59,6.7,7.370000000000001,6.7,9.6,10.05,6.7,5.695,36.45,40.5,5.695,40.5
magnesium oxide 250. mg Tab,Pharmacy,,A9270,,43292-0557-38,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
magnesium oxide 400. mg Tab,Pharmacy,,A9270,,63739-0354-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
magnesium sulfate 50% Sol [MRKS],Pharmacy,,J3475,,63323-0064-03,12,,12,0.846,1.42,0.846,0.9306000000000001,0.846,0,1.269,0.846,0.7191,10.8,12,0,12
magnesium sulfate 50% Soln,Pharmacy,,J3475,,63323-0064-02,12,,12,0.846,1.42,0.846,0.9306000000000001,0.846,0,1.269,0.846,0.7191,10.8,12,0,12
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,Inpatient DRG,,,373,,,2917.4,2917.4,5257.92791,5001.79,,5783.720701000001,5257.92791,,,5257.92791,4206.342328000001,2625.6600000000003,2917.4,2625.6600000000003,5783.720701000001
MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,Inpatient DRG,,,809,,,3245.5,3245.5,8639.691362,8273.13,,9503.6604982,8639.691362,,,8639.691362,6911.7530896,2920.9500000000003,3245.5,2920.9500000000003,9503.6604982
MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,Inpatient DRG,,,436,,,3000.55,3000.55,7921.897572,7685.3,,8714.0873292,7921.897572,,,7921.897572,6337.5180576,2700.4950000000003,3000.55,2700.4950000000003,8714.0873292
Manual Differential (01),General Lab,85007,,,,18,,18,3.8,7.46,3.8,4.18,3.8,4.93,5.699999999999999,3.8,3.23,16.2,18,3.23,18
Manual Differential (03),General Lab,85007,,,,18,,18,3.8,7.46,3.8,4.18,3.8,4.93,5.699999999999999,3.8,3.23,16.2,18,3.23,18
Manual Differential (04),General Lab,85007,,,,18,,18,3.8,7.46,3.8,4.18,3.8,4.93,5.699999999999999,3.8,3.23,16.2,18,3.23,18
Manual Differential (05),General Lab,85007,,,,18,,18,3.8,7.46,3.8,4.18,3.8,4.93,5.699999999999999,3.8,3.23,16.2,18,3.23,18
Manual Differential (19),General Lab,85007,,,,18,,18,3.8,7.46,3.8,4.18,3.8,4.93,5.699999999999999,3.8,3.23,16.2,18,3.23,18
Manual Therapy Charge Units 97140,PT Tx/Procedures,97140,,,,52,,46.800000000000004,29.93,50,29.93,32.923,29.93,26.47,44.894999999999996,29.93,25.4405,46.800000000000004,52,25.4405,52
Measles IgG Quantitative - AMS,General Lab,86765,,,,107,,107,12.88,67.59,12.88,14.168000000000003,12.88,0,19.32,12.88,10.948,96.3,107,0,107
Mechanical Traction Provided  Units 97012,PT Tx/Procedures,97012,,,,40,,36,16.17,36,16.17,17.787000000000003,16.17,14.63,24.255000000000003,16.17,13.7445,36,40,13.7445,40
meclizine 25. mg Tab,Pharmacy,,A9270,,65162-0442-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
MEDICAL BACK PROBLEMS W/O MCC,Inpatient DRG,,,552,,,6004.162499999999,6004.162499999999,6661.69212,5972.29,6661.69212,7327.861332,6661.69212,,,6661.69212,5329.353696,5403.746249999999,6004.162499999999,5329.353696,7327.861332
megestrol 40 mg Tab,Pharmacy,,A9270,,49884-0290-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
megestrol 40 mg/mL Oral Susp 480 mL [MRKS],Pharmacy,,A9270,,49884-0907-61,42.12,,42.12,0,0,0,0,0,0,0,0,0,37.908,42.12,0,42.12
megestrol 40. mg Tab,Pharmacy,,A9270,,63739-0165-10,2.18,,2.18,0,0,0,0,0,0,0,0,0,1.9620000000000002,2.18,0,2.18
megestrol 9600. Susp,Pharmacy,,A9270,,00015-0508-42,32.5,,32.5,0,0,0,0,0,0,0,0,0,29.25,32.5,0,32.5
melatonin 1 mg Tab [MRKS],Pharmacy,,A9270,,10006-0730-51,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
melatonin 3. mg Tab,Pharmacy,,A9270,,54458-0213-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
melatonin 5 mg Tab [MRKS],Pharmacy,,A9270,,87701-0408-14,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
meloxicam 7.5 mg Tab,Pharmacy,,A9270,,29300-0124-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
memantine 10 mg Tab [MRKS],Pharmacy,,A9270,,33342-0298-15,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
memantine 10. mg Tab,Pharmacy,,A9270,,47335-0322-86,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
memantine 28 mg Cap [MRKS],Pharmacy,,A9270,,65162-0785-09,10.21,,10.21,0,0,0,0,0,0,0,0,0,9.189000000000002,10.21,0,10.21
memantine Cap-ER,Pharmacy,,A9270,,00456-3428-33,27.38,,27.38,0,0,0,0,0,0,0,0,0,24.642,27.38,0,27.38
menthol topical 3.5% Gel 118 mL[MRKS],Pharmacy,,A9270,,59316-0111-20,21.56,,21.56,0,0,0,0,0,0,0,0,0,19.404,21.56,0,21.56
menthol-zinc oxide 0.44%-20.625% Ointment,Pharmacy,,A9270,,64980-0322-12,13.7,,13.7,0,0,0,0,0,0,0,0,0,12.33,13.7,0,13.7
meperidine 100 mg/mL Inj Sol 1mL[MRKS],Pharmacy,,J2175,,00641-6054-25,12,,12,8.354,6.15,8.354,9.1894,8.354,0,12.530999999999999,8.354,7.100899999999999,10.8,12,0,12.530999999999999
meperidine 100. Soln,Pharmacy,,J2175,,00409-1256-01,12,,12,8.354,6.15,8.354,9.1894,8.354,0,12.530999999999999,8.354,7.100899999999999,10.8,12,0,12.530999999999999
meperidine 100. Soln,Pharmacy,,J2175,,00641-6054-25,12,,12,8.354,6.15,8.354,9.1894,8.354,0,12.530999999999999,8.354,7.100899999999999,10.8,12,0,12.530999999999999
meperidine 25 mg/mL Inj Sol 1 mL [MRKS],Pharmacy,,J2175,,00641-6052-25,13.13,,13.13,0,0,0,0,0,0,0,0,0,11.817,13.13,0,13.13
meperidine 25. Soln,Pharmacy,,J2175,,00409-1203-01,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
meperidine 50 mg/mL Sol,Pharmacy,,J2175,,00409-1203-01,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
meperidine 50 mg/mL Sol [MRKS],Pharmacy,,J2175,,00409-1178-30,12.49,,12.49,0,0,0,0,0,0,0,0,0,11.241,12.49,0,12.49
meperidine 50. Soln,Pharmacy,,J2175,,00409-1253-01,12,,12,8.354,6.15,8.354,9.1894,8.354,0,12.530999999999999,8.354,7.100899999999999,10.8,12,0,12.530999999999999
meropenem 1000 mg Pow,Pharmacy,,J2185,,63323-0508-31,13.86,,13.86,8.55,11.5,8.55,9.405000000000001,8.55,0,12.825000000000001,8.55,7.2675,12.474,13.86,0,13.86
meropenem 1000 mg Pow,Pharmacy,,J2185,,70121-1453-07,13.05,,13.05,8.55,11.5,8.55,9.405000000000001,8.55,0,12.825000000000001,8.55,7.2675,11.745000000000001,13.05,0,13.05
