street_registered,state_registered,count(1)
1000 CARMICHAEL GYM BOX 8111,NC,3
429 S HUGHES BLVD,NC,4
7751 BRIER CREEK PARKWAY #100,NC,3
59 WHITAKER ROAD,NC,3
901 COLLEGE CT,NC,3
104 HOUNDSCHASE RUN,NC,3
1256 N. BARKLEY RD,NC,3
2850 VILLAGE DRIVE SUITE 206,NC,4
3307 GROOMETOWN RD,NC,3
1430 INNOVATION AVE,NC,5
1213 CULBRETH DRIVE  SUITE 103,NC,3
7304 COTESWORTH DRIVE,NC,3
1712 RUTLEDGE AVENUE,NC,4
5915 FARRINGTON ROAD   SUITE 104,NC,4
428 PANNERS PL,NC,3
4125 G WALKER AVENUE,NC,6
259 ROBINSON RD,NC,5
9521 SPRING HILL DRIVE,AK,5
3033 PINEY GROVE WILBON ROAD,NC,3
17812 JOHN CONNOR RD,NC,3
34 E WOODROW AVE,NC,4
715 N CHURCH STREET SUITE 110,NC,3
5702 FOX HOUND DRIVE,NC,3
723 COLISEUM DR SUITE 101,NC,4
2919 BREEZEWOOD AVENUE SUITE 100,NC,9
712 S. GOLDSBORO STREET,NC,3
8620 RIVER RD,NC,5
225 COMMERCE PLACE,NC,10
46 MOON DABBS RD,NC,3
122 OAK TERRACE,NC,4
1617 CENTER STREET,NC,4
1939 HWY 109 SOUTH,NC,3
155 W NEW YORK AVENUE SUITE 200,NC,11
ONE OAK PLAZA  SUITE 207,NC,3
1101 WARF ROAD,NC,3
209 AVERY AVENUE,NC,4
3639 MERESTONE DRIVE,NC,3
2517 RAEFORD RD,NC,8
1700 STREETS FERRY ROAD,NC,5
630 WINDSOR PL NE,NC,3
"1577 C STREET, STE 101C",AK,3
220 WINFALL BLVD SUITE 4,NC,3
2349 PLASTICS DR STE 100,NC,3
11 N. MARKET STREET,NC,6
2109 RANDOLPH RD,NC,3
1905 SKIBO ROAD,NC,4
227 SOUTHSIDE DR. SUITE B,NC,12
7600 ROBERTS ROAD,NC,3
3413 TUPPER DRIVE,NC,5
9811 JULLIARD DR,NC,3
1107 CARDINAL STREET,NC,5
3622 LYCKAN PKWY STE 3001,NC,7
215 E. JONES STREET,NC,5
101 VILLAGE GATE DRIVE,NC,4
1428 RAYBON DRIVE,NC,3
3301 MARKET STREET,NC,3
65 ORVIS STONE CIRCLE,NC,3
239 N. EDGEWORTH ST.,NC,3
5085 W SUNDANCE CIR,AK,4
115 JUSTIN TRAIL,NC,3
4276 HELENA ST,NC,6
614 MARKET ST.,NC,7
1910 SEDWICK RD  SUITE 100 B,NC,5
202 WEST MAIN STREET,NC,3
154 BEACON DR SUITE C,NC,3
1989 LANDOVER DRIVE,NC,8
8900 KING ST,AK,3
101 CANDLEWOOD RD,NC,10
38 NORTH MAIN STREET,NC,6
750 HIGHLAND OAKS DRIVE SUITE 200,NC,3
2745 LAKEVIEW DRIVE,NC,3
125 SOUTH ELM STREET  SUITE 400,NC,4
1805 EAST BLVD,NC,6
2 WALDEN RIDGE DR. STE. 70,NC,9
145 W DIXON BLVD,NC,3
10726 JORDAN RAE LANE,NC,3
1101 OLD DURHAM ROAD,NC,5
101 E ELIZABETH STREET,NC,3
5121 KINGDOM WAY STE 200,NC,3
238 ROSEMARY STREET,NC,5
5525 W MARKET ST,NC,3
221 DUNCAN HILL ROAD,NC,6
1043 HANFORD ROAD,NC,6
7040 INTERLAKEN DRIVE,NC,5
395 SOUTH SWING ROAD,NC,5
239 E. BROAD ST.,NC,4
512 TOWNSEND AVE,NC,3
6131 FALLS OF THE NEUSE RD STE 200,NC,3
337 WARREN CT,NC,3
1816 FRONT STREET  SUITE 110,NC,3
5752 S US HWY 117,NC,3
207 E SYCAMORE ST,NC,5
3714 TERRACE DR,AK,3
100 BEECHRIDGE CT,NC,3
235 ROSENBERRY HILLS DR,NC,5
2530 MERIDIAN PKWY  3RD FLOOR  SUITE 3007,NC,4
4523 PARK RD  SUITE 201A,NC,3
8221 VILLAGE HARBOR DR.,NC,4
2500 WOOTEN BLVD,NC,7
15 LARCHMONT ROAD,NC,6
3007 FORT BRAGG ROAD,NC,3
45 OLD GAP CREEK RD,NC,3
105 MARKET SQUARE,NC,3
4035 WOODLEAF BARBER ROAD,NC,3
97 DAVIS LANDING ROAD,NC,4
4720 N CROATAN HWY,NC,3
7 SE COURT SQUARE SUITE 100,NC,7
323 WALNUT STREET,NC,9
13 JASPER DRIVE,NC,7
315 TURNER STREET,NC,3
6012 BAYFIELD PKWY  #187,NC,3
246 TEXAS SPUR ROAD,NC,3
274 MERRIMON AVENUE,NC,3
8840 BOONE TRAIL,NC,3
139 MATTHEWS TOWNSHIP PARKWAY,NC,4
6201 FAIRVIEW ROAD,NC,3
39 WHITE ASH DRIVE,NC,3
5448 APEX PEAKWAY #304,NC,3
7111 NC HWY 99 SOUTH,NC,5
35095 US HIGHWAY 264,NC,3
615 SOUTH COLLEGE STREET SUITE 1600,NC,3
265 RACINE DRIVE  SUITE 201,NC,3
313 NOTTINGHAM LANE,NC,3
537 HUFFMAN MILL RD STE E,NC,5
116 W ACADEMY ST,NC,3
6425 BROOKSHIRE BLVD,NC,5
110 S STRATFORD ROAD 5TH FLOOR,NC,3
4506 S. MIAMI BOULEVARD  SUITE 100,NC,3
101 S. KINGS DRIVE  SUITE 200,NC,9
800 N COLLEGE ST,NC,4
2441 SMOKERISE CT,NC,3
4140 PARKLAKE AVENUE  SUITE 615,NC,3
1340 WESTGATE CENTER DRIVE,NC,19
2324 TAYLOR STREET,NC,3
2085 FRONTIS PLAZA BLVD,NC,6
1912 HAWTHORNE ROAD,NC,3
425 INDIAN CAMP ROAD,NC,3
105 MARGARET DRIVE,NC,5
4120 DRESDEN DR,NC,3
2226 PILSON RD,NC,5
3200 GRESHAM LAKE RD SUITE 113,NC,5
555 FAYETTEVILLE ST STE 300,NC,11
6135 HICKORY CREEK ROAD,NC,3
409 SOUTH MAIN STREET,NC,3
4242 SIX FORKS RD STE 1550,NC,4
4000 COREY ROAD,NC,3
1606 PHILLIPS AVENUE,NC,5
5 BLUEBERRY RIDGE,NC,3
5425 PAGE ROAD SUITE 100,NC,4
4 HIGHLAND PLACE,NC,4
3413 OAK TRAIL,NC,3
8610 BRITTDALE LN #303,NC,3
4200 CITY OF OAKS WYND,NC,4
5710 WOLF RIDGE WAY,NC,4
112 S TRYON ST STE 850,NC,3
3220 BURNTWOOD CIRCLE,NC,3
1250 HICKORY CHAPEL ROAD,NC,5
1328 CENTER STREET,NC,3
1202 G STREET,AK,7
963 HWY 258 SOUTH,NC,7
3717 RALEIGH ROAD PARKWAY,NC,6
2816 SAXAPAHAW BETHLEHEM CH RD,NC,3
94 LONESOME VALLEY ROAD,NC,4
26 TENNESSEE ST,NC,3
3377 BROAD STREET,NC,3
43 WEST MAIN ST,NC,4
325 CLIFTON ST,NC,3
444 SOMERSET WAY,NC,3
1111 HILLCREST CIRCLE,NC,3
101 W FRIENDLY AVE STE 400,NC,8
77 WEST MAIN STREET,NC,12
4617 MAIN ST,NC,4
303 S MAULTSBY ST.,NC,3
865 COZY OAK AVE,NC,3
201 VILLAGE RD SW,NC,3
308 CHOPTANK DR,NC,3
10012 MILL GROVE RD,NC,3
1355 COX MILL RD,NC,3
500 W 5TH STREET SUITE 800,NC,5
314 CARBON CITY RD,NC,5
1601 CROWELL DAIRY ROAD,NC,5
3120 LATROBE DR SUITE 270,NC,5
299 GATE ROAD,NC,3
100 COXE AVENUE,NC,7
11400 TAVERNAY PARKWAY,NC,3
214 DICK STREET,NC,5
11235 SAM FURR ROAD SUITE 101,NC,3
304 E MOREHEAD ST,NC,3
102 N MAIN ST,NC,3
102 N. MAIN STREET,NC,5
2319 FLAGSTICK DRIVE,NC,3
"189 E. NELSON AVE., #123",AK,4
7677 OLD PLANK ROAD,NC,3
1002 WEST AVENUE,NC,4
556 HEMMINGS PLACE,NC,3
120 PENMARC DR.  STE. 118,NC,3
350 PINE STATE STREET,NC,9
120 SOUTH BOYLAN AVENUE,NC,9
12228 THE GATES DRIVE,NC,3
1458 CARO MAR PLACE NW,NC,3
115 N. THIRD STREET  SUITE 300,NC,3
605 SORRELL SPRING CT,NC,3
211 KELLY WEST DR,NC,3
1501 HIGHWOODS BLVD. SUITE 400,NC,3
200 S COLLEGE ST STE 200,NC,5
5883 SPARROWS NEST WAY,NC,3
119 MIDDLE STREET,NC,6
305 FIELDS DRIVE,NC,3
434 FAYETTEVILLE ST SUITE 2500,NC,3
2824 HILLSBOROUGH RD,NC,3
111 COMMONWEALTH COURT,NC,3
3594 SPRUCE CAPE RD,AK,6
12 CEDAR CHINE,NC,3
22 FAIRWAY DRIVE,NC,4
618 WEST CENTER STREET,NC,4
3305 WESTOVER RD.,NC,5
3305 WESTOVER RD,NC,3
120 BLUE RIDGE RD,NC,3
2709 BREEZEWOOD AVENUE,NC,5
25 ENDLESS VIEW,NC,3
17115 KENTON DR. SUITE 200A,NC,3
205 COURTLAND DR.,NC,3
225 CROWN BLVD,NC,6
1230 W. INTERNATIONAL AIRPORT ROAD,AK,3
1965 LAKE DRIVE,NC,3
150 RUSH ST,NC,3
111 W. CHURCH ST,NC,3
1330 SAINT MARYS ST STE 100,NC,6
14454 ADAIR MANOR CT,NC,4
1018 OBERLIN ROAD,NC,3
1330 SAINT MARYS RD; SUITE 100,NC,4
22900 ABERDEEN RD,NC,3
1904 PHELPS WEST RD,NC,3
7751 BRIER CREEK PKWY STE 100,NC,7
110 BROADWAY,NC,3
1480 STEEPLE RUN DRIVE,NC,3
128 S. CHESTNUT STREET,NC,3
2853A RALEIGH ROAD PKWY W,NC,3
112 SWIFT AVENUE,NC,4
1600 MORRISVILLE CARPENTER ROAD,NC,3
710 PARK CENTRE DR.  STE A,NC,3
7108 MONTIBILLO PARKWAY,NC,3
1101 OBERLIN ROAD SUITE 102,NC,5
905 BENNINGTON DRIVE,NC,3
103 S. MAIN STREET,NC,10
276 OLD MOCKSVILLE ROAD,NC,4
4000 MARSH CREEK RD,NC,3
10366 RIDGE PARK DR,AK,3
1781 CLIFTON ROAD,NC,5
145 PINEVIEW DRIVE,NC,3
124 THOMAS DRAKE CT,NC,3
2460 CAMP EASTER ROAD,NC,3
800 EAST BOULEVARD,NC,5
408 MARKET STREET,NC,10
699 CAPE FEAR RD,NC,5
571 WEST RIVER ROAD,NC,3
312 CROWATAN ROAD,NC,4
2709 THORNGROVE COURT  SUITE 2,NC,6
1201 BUCK JONES ROAD,NC,4
1714 WILLOW WICK DR,NC,6
127 RACINE DRIVE,NC,4
19810 W. CATAWBA AVENUE #A1,NC,10
110 PLANTATION CREEK DRIVE,NC,4
100 N MAIN STREET,NC,5
50 PROVIDENCE RD.,NC,5
5206 HOLLY COURT,NC,5
345 2ND STREET NE,NC,9
122 CHEROKEE ROAD  SUITE 2,NC,3
145 WINNERS CIRCLE,NC,3
3801 INDIANA AVENUE,NC,3
124 WEST YOUNG AVENUE,NC,4
15818 KINLOCKE DRIVE,NC,3
1002 LAKE BOONE TRAIL,NC,3
639 OLD US 52 SOUTH,NC,5
11 KING VIEW DR,NC,3
612 PERFORMANCE RD,NC,3
615 S. COLLEGE STREET 9TH FLOOR,NC,3
1327 S MINT ST,NC,3
221 COMMERCE PLACE,NC,3
5317 POMFRET POINT,NC,9
5022 WRIGHTSVILLE AVE,NC,14
321 EVANS STREET  SUITE 200,NC,3
300 EVERETT STREET,NC,10
5800 MONROE RD,NC,3
6707-C FAIRVIEW RD.,NC,8
109 LINDBERGH LANE,NC,3
821 WAKE FOREST ROAD,NC,4
258 PAT STOUGH LN,NC,3
200 RADIO DR,NC,3
1901 LENDEW ST,NC,6
602 S MAIN STREET,NC,3
3100 TOWER BLVD STE 1200,NC,6
111-H REYNOLDA VILLAGE,NC,14
301 N. MAIN STREET,NC,6
4542 IVY RUN LANE,NC,4
1116 14TH STREET,NC,3
555 FAYETTEVILLE ST. SUITE 201,NC,3
16245 SASANOA DRIVE,NC,5
216 SOUTH MAIN STREET,NC,5
200 WORTH ST,NC,3
737 EAST BOULEVARD,NC,5
445 S. MAIN STREET  SUITE 400,NC,6
600 GREEN VALLEY RD,NC,4
944 CLAIRES CREEK LN,NC,6
2310 MYRON DRIVE,NC,5
460 SOUTH MAIN STREET,NC,4
7900 TRIAD CENTER DRIVE SUITE 333,NC,4
4011 ABINGDON ROAD,NC,3
19701 BETHEL CHURCH RD  #202,NC,4
20 NORTH MAIN STREET,NC,6
6060 PIEDMONT ROW DRIVE SOUTH SUITE 120,NC,5
1310 CHARLES RAPER JONAS HIGHWAY,NC,4
COURT SQUARE,NC,3
1200 SALISBURY ROAD,NC,3
PO BOX 182,NC,3
3165 MAPLEWOOD AVENUE,NC,4
5813 CAROLINA BEACH RD,NC,4
287 JAMES WAY,NC,3
PO BOX 425,NC,3
15720 BRIXHAM HILL AVE. SUITE 300,NC,3
5115 TIMBERTOP LANE,NC,3
210 YEOMAN ROAD,NC,5
301 SOUTH COLLEGE ST STE 2600,NC,3
8832 BLAKENEY PROFESSIONAL DR STE 200,NC,3
215 N. MAIN STREET,NC,3
1800 CAMDEN ROAD SUITE 107,NC,3
3500 ROCK CREEK DRIVE,NC,3
5404 PENNY RD,NC,3
1900 W NORTHERN LIGHTS BLVD STE 200,AK,3
638 NOTTINGHAM DRIVE,NC,3
8720 RED OAK BLVD.,NC,6
146 DAVIS BRIDGE RD,NC,3
3437 HIGH RIDGE RD,NC,3
430 S. WESLEYAN BLVD,NC,5
6591 A ST STE 300,AK,4
5420 WADE PARK BLVD STE 300,NC,4
2579 GREY RABBIT RUN,NC,3
220 HUNTLEY PLACE,NC,3
3708 MAYFAIR ST SUITE 100,NC,4
1401 EAST 7TH ST SUITE 200,NC,3
325 ROBINSON LANE,NC,3
6 HEMLOCK ROAD,NC,3
147 PAMLICO DR,NC,3
745 KERR LAKE DRIVE,NC,6
1101 HAYNES STREET  SUITE 211,NC,3
1436 RIDGE ROAD,NC,3
4603 MAGNOLIA RIDGE DRIVE,NC,4
361 DRY RIDGE ROAD,NC,3
8003 BATTERSEA COURT,NC,3
614 N. MAIN STREET,NC,6
1831 W NICOLA AVE,AK,3
4623 COUNTRY CLUB ROAD,NC,6
409 POLLOCK ST,NC,3
315 AFFINITY LN,NC,5
2600 NEW BERN AVE,NC,4
96 SUGAR SHACK LANE,NC,4
1200 TRILLIUM CIR,NC,3
222 CENTRAL PARK AVE STE E,NC,3
216 FOREST OAKS DRIVE,NC,3
189 E CHESTNUT ST,NC,5
17250 LANCASTER HWY STE 608,NC,7
6401 CLINTON DR,NC,3
145 HIGHWOOD LANE,NC,3
4209 STUART ANDREW BLVD SUITE J,NC,3
914 HAY STREET,NC,3
2609 ATLANTIC AVE SUITE 203,NC,5
6 BRESLIN TRAIL,NC,3
111 SEABREEZE COURT,NC,3
1210 HALIBUT POINT ROAD UNIT C,AK,3
42602 B STERLING HWY,AK,3
2296 EDGEWATER DRIVE,NC,3
228 W. MARKET ST.,NC,4
1442 CAMPBELL ROAD,NC,3
228 HOWARD STREET,NC,3
905 HAMPTON WAY,NC,3
6868 DAVIS COUNTRY ROAD,NC,3
1919 STATESVILLE BLVD,NC,3
1008 MANCHESTER LANE,NC,3
2706 CALVERT PLACE,NC,4
100 N. GREENE ST.  STE 600,NC,5
131 PLANTATION RIDGE DRIVE STE 400,NC,3
330 S MAIN ST,NC,6
6392 WATERS EDGE DRIVE,NC,3
17 EAST CENTER STREET,NC,3
7280 N PALMER FISH HOOK RD.,AK,3
3962 NAVY PLACE,NC,4
300 BLACK BELT WORLD DRIVE,NC,3
500 RAMSEY STREET,NC,3
6420 REA ROAD STE 230,NC,3
9360 GLACIER HIGHWAYSUIT 202,AK,3
143 PERRIN DRIVE,NC,3
1947 NC HIGHWAY 61 SOUTH,NC,3
8410 SIX FORKS ROAD  SUITE 204,NC,3
1015 HUTTON LANE  SUITE 103,NC,5
3200 BELL DRIVE,NC,4
840 PLANTATION DRIVE,NC,9
2020 CHARLOTTE PLAZA,NC,3
101 PRESTON EXECUTIVE DRIVE,NC,3
3324 SUNSET AVENUE A-1,NC,3
2405 FAIRVIEW RD,NC,3
1500 SUNDAY DR STE 300,NC,4
8305 FALLS OF NEUSE RD. #200,NC,3
1224 KIRT COURT,NC,3
210 OAKWOOD ST,NC,3
2417 DUNDEEN STREET,NC,3
323 W TRINITY AVE,NC,5
4801 GLENWOOD AVE. SUITE 200,NC,6
4826 NORTHBURY CIRCLE,NC,3
201 HARDY AVENUE,NC,3
7911 SIMS ROAD,NC,4
3704 OLD BATTLEGROUND ROAD,NC,3
401 EAST MAIN STREET,NC,4
132 FREEDOM AVE,NC,3
1125 WOODLANDS CREEK WAY,NC,4
1712 EASTWOOD RD SUITE 206,NC,3
1076 W 4TH ST STE 100,NC,3
1834 WAKE FOREST ROAD,NC,19
34 2ND STREET NW SUITE 400,NC,4
112 HECK ANDREWS WAY,NC,3
790 PELICAN WAY,AK,3
4915 ORIOLE DRIVE,NC,3
15894 US HIGHWAY 17 N,NC,5
1910 SHORTHORN STREET,NC,3
3513 TAYLOR STREET,NC,3
1426 FRIES DRIVE,NC,3
921 OAKLAND CHURCH ROAD,NC,3
15421 OLEANDER DRIVE,NC,4
135 GALLERY CENTER DRIVE,NC,4
442 SOUTHARD ROAD,NC,3
60 MONROE STREET,NC,4
8511 DAVIS LAKE PARKWAY,NC,3
13209 CAROWINDS BLVD,NC,3
207 W. MILLBROOK RD STE 205,NC,3
8223 VILLAGE HARBOR DRIVE,NC,3
117 PERSON STREET,NC,3
200 N MAIN ST THIRD FLOOR,NC,7
3401 WENDELL BLVD,NC,3
4008 EVANS DRIVE,NC,3
2809 DARTMOUTH DRIVE,NC,3
329 WENDOVER HILL CT,NC,5
2418 BLUE RIDGE ROAD  SUITE 200,NC,3
225 ELM ST,NC,4
2530 MERIDIAN PARKWAY SUITE 200,NC,4
10926 DAVID TAYLOR DRIVE SUITE 120,NC,10
1032 ARROYO VISTA LANE,NC,4
153 EDGEWATER LANE,NC,3
4040 ED DRIVE SUITE 201,NC,4
6926 SHANNON WILLOW ROAD  SUITE 400,NC,4
320 PARADISE ROAD,NC,4
131 PLANTATION RIDGE DRIVE SUITE 200,NC,4
310 NORTH FRONT STREET  SUITE 200,NC,7
2060 VALWAY RD,NC,3
420 RIDGECREST DRIVE,NC,3
102 ALDEN VILLAGE COURT,NC,3
5306-101 SIX FORKS RD,NC,8
4700 FALLS OF NEUSE ROAD  SUITE 110,NC,5
4801 GLENWOOD AVENUE,NC,5
2935 SPRING VALLEY RD,NC,3
6701 CARMEL ROAD SUITE 118,NC,7
1 JAMAICA DRIVE,NC,3
2601 OBERLIN ROAD SUITE 101,NC,3
119 N. SALISBURY STREET,NC,4
3406 STAR HILL FARM RD,NC,5
120 EMPYREAN LOOP,NC,3
3130 FAIRHILL DRIVE  SUITE 108,NC,6
2300 W MEADOWVIEW RD SUITE 214,NC,5
1189 PRESTON ROAD,NC,3
416 N. RALEIGH ST.,NC,6
219 QUEENSFERRY ROAD,NC,3
7028 WRIGHTSVILLE AVENUE,NC,3
6112 CRESCENT KNOLL DR,NC,4
127 W. WORTHINGTON AVENUE  SUITE 290,NC,10
7804 C FAIRVIEW RD STE 142,NC,3
186 DOGWOOD TRAIL,NC,3
404 TEXANNA WAY,NC,6
1702 VILLAGE CROSSING DRIVE,NC,3
301 S. ELM STREET  SUITE 1001,NC,3
1229 TUSCARORA RHEMS RD,NC,3
17 LYTHAM LANE,NC,7
5801 SILOAM RD,NC,3
5 CREEK ST,AK,3
117 MAYPOP LANE,NC,3
20 W SALISBURY ST,NC,3
211 WEST JEFFERSON ST,NC,3
307 W FRANKLIN ST,NC,3
4870 SARTIN ROAD,NC,3
135 SCALEYBARK RD.,NC,5
3725 NATIONAL DRIVE  SUITE 115,NC,9
330 AVERY CREEK RD,NC,5
1172 RICHEY ROAD,NC,3
200 BUCK HILL RD,NC,3
331 SPRING COVE TRAIL,NC,4
7625 STONECROFT PARK DR,NC,10
8829 GOODWILL CHURCH ROAD,NC,9
5209 MCALPINE OVERLOOK COURT,NC,5
1817 CHESTNUT DR.,NC,3
12501 OLD SEWARD HWY UNIT A,AK,3
23 SUNSET TERRACE,NC,3
162 EVERETT STREET,NC,4
16307 AUTUMN COVE LANE,NC,4
2912 HIGHWOODS BLVD.  SUITE 100,NC,4
4209 WILLOW OAK ROAD,NC,7
150 FAYETTEVILLE ST.  #1011,NC,8
1524 S. 16TH STREET,NC,14
605 PHILLIP DAVIS DRIVE  UNIT 6,NC,3
105 HOLT ST,NC,3
315 COUNTRY CLUB DRIVE,NC,3
10520 CHAPEL HILL RD #901,NC,3
19810 W. CATAWBA AVE  #A1,NC,5
230 OLIVE BRANCH BLVD,NC,3
3333 WHITEBRIDGE LANE,NC,3
2122 LYNWOOD DR,NC,8
615 S. COLLEGE STREET  STE. 450,NC,5
175 DAVIDSON HWY,NC,3
135 CARMICHAEL CIRCLE,NC,3
3500 CAMP MANGUM WYND,NC,5
5 N. MAIN STREET,NC,3
17 ORA ST,NC,3
1049 DRESSER COURT,NC,6
3000 RDU CENTER DRIVE  SUITE 202,NC,9
125 EDINBURGH SOUTH STE 200,NC,4
4201 CONGRESS ST STE 174,NC,8
1337 MAGNOLIA BEND LOOP,NC,6
4425 SHARON ROAD  1007,NC,4
33 MAIN STREET,AK,4
2233 CRESCENT AVENUE,NC,4
10 WEST 32ND STREET,NC,5
1821 MCARTHUR ROAD,NC,3
100 EUROPA DRIVE SUITE 550,NC,4
5950 FAIRVIEW ROAD SUITE 525,NC,11
5970 FAIRVIEW ROAD STE 710,NC,3
201 SHANNON OAKS CIRCLE SUITE 200,NC,4
8514 MCALPINE PARK DRIVE SUITE 190,NC,3
5411 RAMSEY STREET,NC,3
4300 SHARON ROAD  APT. #337,NC,4
940 SAM NEWELL ROAD,NC,3
2116 LAKE WHEELER RD,NC,3
100 E. CUMBERLAND STREET,NC,3
538 WILLIAMSON ROAD,NC,3
7 PATTON AVENUE  SUITE 317,NC,3
3041 TIFTON GRASS LANE,NC,5
5880 CRESTLINE ROAD,NC,5
10 CHESTNUT SQUARE,NC,8
705 REYNOLDS AVENUE,NC,3
901 ARSENAL AVENUE,NC,3
44 OTIS CAMPBELL RD,NC,3
5350 77 CENTER DRIVE SUITE 100,NC,5
168 TATE STREET,NC,3
LINVILLE RIDGE DEVEL. CO.  HWY. 105  POB 704,NC,4
POB 216  HWY. 105,NC,8
100 SEALY DRIVE,NC,4
212 BRIDGE ST,NC,3
60 EAST CONOLLY COURT,NC,3
2501 BLUEBERRY RD,AK,3
303 S CHURCH STREET,NC,3
106 S. MCLEWEAN STREET,NC,9
221 ELM STREET,NC,4
4037 JABACK DR,NC,4
3301 MCLAIN STREET,NC,5
1712 NATCHEZ TRACE,NC,3
111 WEST LEWIS ST STE 203,NC,3
105 CARDIFF PLACE,NC,5
65 ROLLER MILL ROAD,NC,3
1608 BARONY LAKE WAY,NC,3
7707 BETSY BRUCE LANE,NC,3
1001 GREENTREE DRIVE,NC,3
34 LOCHRIDGE DR.,NC,4
230 ROCKY RIVER CHURCH ROAD,NC,3
1029 WADE AVENUE,NC,4
4729 ROYAL TROON DRIVE,NC,3
10433 OAK POND CIRCLE,NC,3
8322 CAROB TREE LANE,NC,5
204 KINNEY GLENN COURT,NC,3
119 SAILVIEW ROAD,NC,8
1110 ISLAND FORD RD,NC,3
202 BEACH ROAD NORTH,NC,3
3802 A CLEMMONS ROAD,NC,3
626 ASHBURN LANE,NC,3
107 BERKSHIRE RD,NC,4
3500 BLOOMFIELD WAY,NC,3
348 MARKER FIFTY FIVE DRIVE,NC,3
1052 RUIN CREEK ROAD,NC,3
203 CADILLAC STREET,NC,3
205 COURTLAND DR,NC,7
ROUTE 1 BOX 892,NC,3
402 EAST GRAHAM STREET,NC,3
766 WEST KING STREET,NC,3
502 MAIN STREET,NC,5
214 COMMERCE PL,NC,3
1401 AVERSBORO RD STE 206,NC,6
1000 NC MUSIC FACTORY BLVD SUITE C6,NC,4
355 LEES MEADOW RD,NC,4
315 SOUTHERLAND STREET,NC,3
107 STOKLEY DRIVE  SUITE 100,NC,3
1166 OAK HILL DRIVE,NC,3
1521 PRICKLY LANE,NC,4
1405 ELMSFORD LANE,NC,3
11721 MCCOLL RD,NC,3
1915 DODGE CIRCLE,AK,3
5102 CHAPEL HILL BLVD,NC,5
1515 MOCKINGBIRD LN STE 4115,NC,8
115 U.S. HIGHWAY 158 WEST,NC,5
309 E MOREHEAD ST SUITE 275,NC,3
931 LIGHTHOUSE CT,AK,7
2717 FARNBOROUGH RD.,NC,3
662 WIMBLETON DRIVE,NC,3
3309 MARSHLANE WAY,NC,3
2451 CROASDAILE FARM PARKWAY  SUITE 101,NC,4
3420 LAKEVIEW TRAIL,NC,6
26 E MAIN ST,NC,4
5559 PEDEN POINT ROAD,NC,4
3601 E ELIZABETHTOWN RD,NC,3
2601 BONIFACE PKWY,AK,4
1008 12TH STREET,NC,3
22 HOLLY RUN,NC,3
4600 HUNTINGTON COURT,NC,3
1636 WINDY RIDGE RD,NC,5
211 FOX WALK PATH,NC,3
6015 FAYETTEVILLE RD SUITE 116,NC,4
114 N. 6TH STREET,NC,4
105 CHARLOTTE CIRCLE,NC,3
20428 DEEP COVE CT,NC,3
OCEAN ISLE BEACH,NC,5
121 N CRUTCHFIELD STREET,NC,4
3107 SOUTH EVANS STREET STE F,NC,4
3201 EDWARDS MILL RD,NC,6
125 SCALEYBARK RD.,NC,4
111 IMPERIAL DRIVE,NC,3
2000 VASS ROAD,NC,9
5019 CAROLINA BEACH ROAD,NC,7
3130 HOPE VALLEY ROAD,NC,5
208 WILLIAM HENRY WAY,NC,3
301 FAYETTEVILLE ST  STE 1700,NC,3
255 COLVILLE RD,NC,3
189 E NELSON AVE #123,AK,6
2865 BARTRAM ROAD,NC,10
3947 STAGS LEAP CIRCLE,NC,4
101 NEAL PLACE,NC,9
206 CAUSEWAY DRIVE  UNIT 171,NC,8
111 WEST WATER STREET,NC,3
3430 TORINGDON WAY  STE. 200,NC,3
2144 ECHO LANE,NC,3
9817 CHATHAM OAKS TRAIL,NC,4
7825 AVIATION DR.,NC,6
5301 GLENWOOD AVE,NC,3
11709 FRUEHAUF DR STE 111,NC,7
703 SAINTE ROSE LN,NC,3
6005 CORBETT RIDGE RD,NC,3
318 W MAIN ST,NC,3
3007 S. CHURCH ST.,NC,3
8230 POPLAR TENT ROAD,NC,3
1116 TYSINGER ROAD,NC,3
4112 BLUE RIDGE RD.  SUITE 100,NC,5
415 HILLSBOROUGH STREET SUITE 201,NC,22
100 DAR DRIVE,NC,3
3131 REMINISCE RD,NC,4
8421 PENTON PL,NC,3
1051 MILITARY CUTOFF RD STE 200,NC,9
5519 OLD MEADOW RD,NC,3
19 BLAKE ST,NC,3
5508 AMANDA LANE,NC,5
568 JETTON ST.  SUITE 200,NC,3
400 EAST MAIN STREET,NC,3
6235 CRESS RD,NC,3
6301 EARLE RIDGE LANE,NC,3
13845 CANTERBURY CASTLE DRIVE,NC,3
4140 MENDENHALL OAKS PARKWAY,NC,6
1903-C ASHWOOD COURT,NC,5
2217 STANTONSBURG ROAD,NC,5
3605 GLENWOOD AVENUE STE 500,NC,3
4372 BURLEIGH RD,NC,3
4712 SHADOW RIDGE COURT,NC,10
1017 CANTERING ROAD,NC,3
101 NORTH COLUMBIA ST,NC,3
670 MARSH COUNTRY LANE,NC,5
"1400 W BENSON BLVD, STE 370",AK,4
215 QUEENS ROAD  SUITE 200,NC,8
1033 BRANCH RD,NC,3
555 DEEPWOOD DRIVE,NC,3
1769 MOUNT CARMEL CIRCLE,NC,3
1696 HAYES ROAD,NC,3
225 VALLEY RIVER AVENUE SUITE B,NC,4
136 TRIPLE J LANE,NC,3
