Department Description,ChargeID,ChargeDesc,RevCode,Price,CPT_CODE,De-Identified Minimum Outpatient Allowable Rate,De-Identified Maximum Outpatient Allowable Rate,Medicare Outpatient Allowable Rate,Blue Cross Outpatient Allowable Rate,United Healthcare Outpatient Allowable Rate,Corizon Outpatient Allowable Rate,WPPA Outpatient Allowable Rate,Coventry Outpatient Allowable Rate
Purchasing,3255696,TUCKS 40 PADS,270,$15.00,,$0.00,$14.25,$8.10,$0.00,$14.25,$7.65,$10.50,$14.25
Pharmacy,4800804,PO ACETAMINOPHEN TAB 650 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Speech Therapy,4050137,ST SWALLOW CURNT STAT W/MOD,440,$0.00,G8996   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800893,PATCH FENTANYL 12 MCG PER HR,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,99202,OFFICE VISIT NEW PATIENT LEVEL 2,521,$0.00,99202,$0.00,$67.00,$0.00,$67.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,311827,PR EXPLORE WOUND EXTREMITY,982,"$1,515.00",20103,$307.00,"$1,439.25",$818.10,$307.00,"$1,439.25",$772.65,$529.29,"$1,439.25"
Emergency Dept Pro-Fees,326725,PF FRACTURE PHALANGEAL CLOSE W/MANJ EACH,982,"$1,656.00",26725,$476.53,"$1,573.20",$894.24,"$1,126.00","$1,573.20",$844.56,$476.53,"$1,573.20"
Emergency Dept Pro-Fees,327780,PF FRACTURE FIBULA CLOSED PR W/O MANIP,981,"$2,118.00",27780,$447.93,"$2,012.10","$1,143.72","$1,440.00","$2,012.10","$1,080.18",$447.93,"$2,012.10"
Medical Clinic,17250,CHEMICAL CAUTERIZATION,521,$171.00,17250,$87.21,$385.00,$92.34,$385.00,$162.45,$87.21,$269.33,$162.45
Medical Clinic,45900,REDUCE PROCIDENTIA W/ANES SEP PROCEDURE,521,$0.00,45900,$0.00,"$1,190.48",$0.00,$0.00,$0.00,$0.00,"$1,190.48",$0.00
Logan Clinic,45090471,"LG IMMUNIZATION, 1ST VACCINE",983,$0.00,90471,$0.00,$9.31,$0.00,$8.00,$0.00,$0.00,$9.31,$0.00
Laboratory,3551421,RL CH50 -COMPLEMENT ACTIVITY,300,$273.00,86162,$0.00,$259.35,$147.42,$0.00,$259.35,$139.23,$0.00,$259.35
Physical Therapy,3950630,PT MOVE OBJECT CURRENT,420,$0.00,G8984   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250031,DUAL EDGE CUTTER 5.5 MM,270,$271.00,,$0.00,$257.45,$146.34,$0.00,$257.45,$138.21,$189.70,$257.45
Purchasing,3255126,TOENAIL LIFTER,270,$15.00,,$0.00,$14.25,$8.10,$0.00,$14.25,$7.65,$10.50,$14.25
Laboratory,3550013,RL BACTERIAL ANTIGEN,300,$114.00,86403,$0.00,$108.30,$61.56,$0.00,$108.30,$58.14,$0.00,$108.30
Pharmacy,4800730,PO LOPERAMIDE HCL CAP 2 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250008,SITZ BATH,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Medical Clinic,12052,INTERMED WOUND REPAIR FACE 2.6-5.0CM,521,$613.00,12052,$312.63,$873.00,$331.02,$873.00,$582.35,$312.63,$518.76,$582.35
Dietary,5505145,SNACK,991,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Midwest Pain Solutions,3064400,Njx aa/strd trigeminal nrv,982,$121.03,64400,$61.73,$358.00,$65.36,$358.00,$114.98,$61.73,$75.97,$114.98
Physical Therapy,3950077,"PT ULTRASOUND, EA 15MIN",420,$0.00,97035,$0.00,$29.00,$0.00,$29.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552512,"RL CRYPTOSPORIDIUM, DFA",300,$94.00,87272,$0.00,$89.30,$50.76,$0.00,$89.30,$47.94,$0.00,$89.30
Occupational Therapy,3950730,OT THERAPEUTIC ACTIVITIES 15 MIN,430,$0.00,97530,$0.00,$49.00,$0.00,$49.00,$0.00,$0.00,$0.00,$0.00
CT Scan,3750436,"CT ORBITS, SELLA, IAC W/IV CONTRAST",350,$0.00,70481,$0.00,$453.00,$0.00,$453.00,$0.00,$0.00,$267.83,$0.00
Purchasing,3259053,REACTION KNEE BRACE XL/XXL,270,$263.00,L2795   ,$0.00,$249.85,$142.02,$0.00,$249.85,$134.13,$184.10,$249.85
Medical Clinic,12054,INTERMED WOUND REPAIR FACE 7.6-12.5CM,521,$904.00,12054,$461.04,"$1,050.00",$488.16,"$1,050.00",$858.80,$461.04,$518.76,$858.80
Purchasing,L1810    ,HINGED KNEE BRACE,270,$0.00,L1810   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559192,Spec coll SNF/Lab COVID-19,300,$0.00,G2024   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800164,PO SULFAMET TRIMETH TAB 800 160 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,99387,PREVENTIVE MED NEW PT 65+ Y/O,521,$0.00,99387,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3360142,INJ SMALL JOINT/BURSA,450,$440.00,20600,$224.40,$418.00,$237.60,$339.00,$418.00,$224.40,$391.76,$418.00
Purchasing,3258758,IV START PAK,270,$0.00,A4221   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800098,GEMCITABINE HCL IV 200 MG,636,$0.00,J9201   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801055,PO NIACIN TAB 500 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3700185,XR RIBS BILATERAL 3 VIEWS,320,$0.00,71110,$0.00,$163.46,$0.00,$133.40,$0.00,$0.00,$163.46,$0.00
Pharmacy,4801096,INJ IMMUNE GLOBULIN 10 PCT 5 GM PER 50ML,636,$0.00,J1459   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800473,INJ DOBUTAMINE D5W  IV 250 MG PER 250 ML,636,$0.00,J1250   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558785,"RL DIHYDROXYVIT D 1,25",300,$0.00,82652,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253022,SPRAY BOTTLE,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Purchasing,3254740,"""CAST PADDING 4"""" ROLL""",270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Emergency Dept Pro-Fees,328490,PF FRACTURE CLOSED PHALANX G W/O MANIP,981,"$2,118.00",28490,$193.36,"$2,012.10","$1,143.72","$1,440.00","$2,012.10","$1,080.18",$193.36,"$2,012.10"
Purchasing,3251944,URIMETER,270,$18.00,,$0.00,$17.10,$9.72,$0.00,$17.10,$9.18,$12.60,$17.10
CT Scan,3750188,CT PELVIS W/O IV CONTRAST,350,$0.00,72192,$0.00,$453.00,$0.00,$453.00,$0.00,$0.00,$163.46,$0.00
Pharmacy,4800052,CYANOCOBALAMIN INJ 1000 MCG/ML,636,$0.00,J3420   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552322,LB SALICYLATE,300,$134.00,80329,$0.00,$127.30,$72.36,$0.00,$127.30,$68.34,$93.80,$127.30
Logan Clinic,45084703,LG QUALITATIVE HCG URINE,300,$0.00,84703,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256564,WRIST EXOFORM MED RIGHT,274,$48.00,L3908   ,$0.00,$45.60,$25.92,$0.00,$45.60,$24.48,$33.60,$45.60
Pharmacy,4800063,DEXTROSE 50 % INJ  50 ML,258,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3700090,MECKEL'S SCAN,341,$0.00,78290,$0.00,$565.68,$0.00,$0.00,$0.00,$0.00,$565.68,$0.00
Purchasing,3257966,"GLOVE, STERILE SIZE MED.",270,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250821,LARGE O.R. PAN SET,270,$18.50,,$0.00,$17.58,$9.99,$0.00,$17.58,$9.44,$12.95,$17.58
Purchasing,3253287,SUTURE 8425-H PROLENE -1-,270,$7.00,,$0.00,$6.65,$3.78,$0.00,$6.65,$3.57,$4.90,$6.65
Logan Clinic,45099212,LG OFFICE VISIT EST PATIENT LEVEL 2,983,$0.00,99212,$0.00,$52.00,$0.00,$52.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3259641,Vial 2 Bag,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Purchasing,3253584,HUMIDIFIER 2.5 GALLON,270,$67.50,,$0.00,$64.13,$36.45,$0.00,$64.13,$34.43,$47.25,$64.13
Radiology,3700950,RNGB W/O CCK HEPATOBILIARY SYSTEM IMAGIN,341,$0.00,78226,$0.00,$565.68,$0.00,$524.40,$0.00,$0.00,$565.68,$0.00
Purchasing,3251307,ALCOHOL SWABSTICK  3/PKG,270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Medical Clinic,54150,CIRCUMCISION,521,$0.00,54150,$0.00,"$2,689.49",$0.00,$289.00,$0.00,$0.00,"$2,689.49",$0.00
Emergency Dept Pro-Fees,330906,PF CONTROL NASAL BLEED POSTERIOR SUBSQ,982,$423.00,30906,$205.28,$401.85,$228.42,$208.00,$401.85,$215.73,$205.28,$401.85
Midwest Pain Solutions,2064517,N block inj hypogas plxs,761,"$3,000.00",64517,$0.00,"$2,850.00","$1,620.00",$0.00,"$2,850.00","$1,530.00","$1,233.69","$2,850.00"
Purchasing,3257818,SKIN MARKER SURG. DISP.,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Purchasing,3252495,OB CORD CLAMP,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Radiology,3700607,XR SMALL BOWEL STUDY,320,$0.00,74250,$0.00,$308.20,$0.00,$308.20,$0.00,$0.00,$267.83,$0.00
Laboratory,3558730,RL ORCHARD GRASS (COCKSFOOT) (G3) IGE,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,311816,PF XC B9 LESION MRGN XCP SK TG T/A/L 0.6,983,$290.00,11401,$147.90,$829.00,$156.60,$829.00,$275.50,$147.90,$161.86,$275.50
Purchasing,3250546,"COLONIC DIL 10,11,12",270,$670.00,,$0.00,$636.50,$361.80,$0.00,$636.50,$341.70,$469.00,$636.50
Purchasing,3254377,CERVICAL COLLAR YOUTH,274,$34.00,L0120   ,$0.00,$32.30,$18.36,$0.00,$32.30,$17.34,$23.80,$32.30
Pharmacy,4800923,PO RANITIDINE HCL TAB 75 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558897,RL JC VIRUS,300,$0.00,86790,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253205,ELECTRODES STAT PADZ ZOLL,270,$304.00,,$0.00,$288.80,$164.16,$0.00,$288.80,$155.04,$212.80,$288.80
Purchasing,3259100,STATLOCK FOR PICC,270,$12.00,,$0.00,$11.40,$6.48,$0.00,$11.40,$6.12,$8.40,$11.40
Medical Clinic,11302,SHAVING EPIDERMAL LESION TRUNK 1.1-2.0CM,521,$216.00,11302,$74.00,$269.33,$116.64,$74.00,$205.20,$110.16,$269.33,$205.20
Surgery,3320675,"OR SIGMOIDOSCOPY, FLEXIBLE, DIAGNOSTIC",360,"$1,176.00",45330,$599.76,"$1,190.48",$635.04,$800.00,"$1,117.20",$599.76,"$1,190.48","$1,117.20"
Purchasing,3260003,PRECISION OFFSET 5.5X.254X18MM,270,$144.00,,$0.00,$136.80,$77.76,$0.00,$136.80,$73.44,$100.80,$136.80
Emergency Dept Pro-Fees,311764,PF TREATMENT OF ANKLE FRACTURE,981,"$1,430.00",27810,$662.57,"$1,440.00",$772.20,"$1,440.00","$1,358.50",$729.30,$662.57,"$1,358.50"
Medical Clinic,51701,INSERTION NON-INDWELLING CATHETER,521,$0.00,51701,$0.00,$167.93,$0.00,$143.46,$0.00,$0.00,$167.93,$0.00
Purchasing,3253536,SYRINGE BULB,270,$4.00,,$0.00,$3.80,$2.16,$0.00,$3.80,$2.04,$2.80,$3.80
Chemo,3210030,CH CLCT BLD F/ IMPLNT VENS ACCSS DEV,260,$114.00,36591,$58.14,$167.93,$61.56,$100.00,$108.30,$58.14,$167.93,$108.30
Surgery,3150644,NJX AA&/STRD BRACH PLEXUS,360,$990.00,64415,$307.00,"$1,233.69",$534.60,$307.00,$940.50,$504.90,"$1,233.69",$940.50
Pharmacy,4800023,ASPIRIN CHEWABLE TAB 81 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0018  ,SOB PANEL,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255472,AIRWAY NASAL 36 FR,270,$9.00,,$0.00,$8.55,$4.86,$0.00,$8.55,$4.59,$6.30,$8.55
Pharmacy,4800891,INJ SOD CHL 0.9PCT 1000ML PER 20 MEQ KCL,636,$0.00,J3480   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Logan Clinic,45099391,LG PREVENTIVE MED EST PT <1 Y/O,983,$0.00,99391,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559043,RL PREGABALIN,300,$0.00,80366,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550096,RL COLD AGGLUTININ,300,$75.00,86156,$0.00,$71.25,$40.50,$0.00,$71.25,$38.25,$0.00,$71.25
Emergency Dept Pro-Fees,327560,PF DISLOCATION PATELLA CLOSE W/O ANES,982,"$1,178.00",27560,$539.01,"$1,119.10",$636.12,$801.00,"$1,119.10",$600.78,$539.01,"$1,119.10"
Laboratory,3558762,RL EHRLICHIA ANTIBODY,300,$0.00,86666,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,327562,PF DISLOCATION OF PATELLA RE,982,"$3,678.00",27562,$762.21,"$3,494.10","$1,986.12","$2,501.00","$3,494.10","$1,875.78",$762.21,"$3,494.10"
Emergency Room,3300929,ER REMOVAL FOREIGN BODY FOOT,450,"$2,900.00",28190,$932.96,"$2,755.00","$1,566.00","$1,972.00","$2,755.00","$1,479.00",$932.96,"$2,755.00"
Pharmacy,4810021,LEVONORGESTREL IUD,636,$0.00,J7297   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552266,RL MYCOBACTERIA CULTURE,300,$235.00,87116,$0.00,$223.25,$126.90,$0.00,$223.25,$119.85,$0.00,$223.25
Purchasing,3250027,SUPRAPUBIC CATHETER CYSTO TRAY,270,$232.00,C2627   ,$0.00,$220.40,$125.28,$0.00,$220.40,$118.32,$162.40,$220.40
Purchasing,3252651,SCOPE BUDDY TUBING,270,$48.00,,$0.00,$45.60,$25.92,$0.00,$45.60,$24.48,$33.60,$45.60
Pharmacy,4800139,INJ ROPIVACAINE HCL 150 MG PER 30 ML,636,$0.00,J2795   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253295,DIAPER SIZE 4 3 PACK,270,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3700268,XR L-SPINE 2-3 VIEWS,320,$0.00,72100,$0.00,$172.96,$0.00,$172.96,$0.00,$0.00,$163.46,$0.00
Emergency Room,3300187,ER LEVEL 3,450,$526.00,99283,$268.26,$499.70,$284.04,$403.75,$499.70,$268.26,$347.40,$499.70
Laboratory,LAB0060  ,"URIC ACID, 24HR URINE",0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,3809959,OP HIV Needlestick Exposure,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,3360784,INJ DILAUDID UP TO 4MG,636,$6.00,J1170   ,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Purchasing,3250119,MED. CASSETTE RESV. 100ML,270,$20.00,,$0.00,$19.00,$10.80,$0.00,$19.00,$10.20,$14.00,$19.00
Purchasing,3256728,TENS UNIT 4 LEAD,270,$31.00,E0730   ,$0.00,$29.45,$16.74,$0.00,$29.45,$15.81,$21.70,$29.45
Treatment Room,3320334,TR IV THERAPY SUBSEQUENT EA ADD HR,761,$169.00,96366,$60.00,$160.55,$91.26,$132.00,$160.55,$86.19,$60.00,$160.55
Emergency Dept Pro-Fees,345100,PF BIOPSY ANORECTAL WALL,975,$837.00,45100,$426.87,$800.00,$451.98,$800.00,$795.15,$426.87,$464.95,$795.15
Purchasing,3258287,WALKER LINER MEDIUM,270,$111.00,L4361   ,$0.00,$105.45,$59.94,$0.00,$105.45,$56.61,$77.70,$105.45
Physical Therapy,3950610,PT MOBILITY DISCHARGE,420,$0.00,G8980   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550080,RL RETIC COUNT,300,$206.00,85045,$0.00,$195.70,$111.24,$0.00,$195.70,$105.06,$0.00,$195.70
Purchasing,3255655,TEGADERM DRESSING 6X8,270,$4.00,,$0.00,$3.80,$2.16,$0.00,$3.80,$2.04,$2.80,$3.80
Observation,3310125,OBS INJECTION IM/SC,940,$69.00,96372,$35.19,$92.96,$37.26,$43.00,$65.55,$35.19,$92.96,$65.55
Pharmacy,4800248,INJ ENOXAPARIN SODIUM 120 MG,636,$0.00,J1650   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
CT Scan,3750055,CT SOFT TISSUE NECK W/O IV CONTRAST,350,$0.00,70490,$0.00,$453.00,$0.00,$453.00,$0.00,$0.00,$163.46,$0.00
Medical Clinic,11312,SHAVING EPIDERMAL LESION FACE 1.1-2.0CM,521,$244.00,11312,$74.00,$518.76,$131.76,$74.00,$231.80,$124.44,$518.76,$231.80
Pharmacy,4800190,PO AMOXICILLIN TRIHYDRATE SUSP 250MG 5ML,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801165,PO IPRATROPIUM BROMIDE INH 0.5 MG 2.5 ML,636,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800350,PO CARBIDOPA LEVODOPA TAB 10 100 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801168,PO HYOSCYAMINE 0.125MG PER 5 ML ELIXIR,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255242,WRIST/FOREARM MEDIUM RT.P,274,$29.00,L3908   ,$0.00,$27.55,$15.66,$0.00,$27.55,$14.79,$20.30,$27.55
Ultrasound,3730033,US ECHO-CARD DOPPLER (USE W/STRESS ECHO),483,$0.00,93320,$0.00,$476.00,$0.00,$476.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552854,RL TC SLIDE REFERRAL/SLIDE,310,$19.00,88399,$0.00,$74.64,$10.26,$0.00,$18.05,$9.69,$74.64,$18.05
Purchasing,3250599,SUTURE VC9416H VICRYL PLUS 3-0,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Radiology,3700748,"XR SINUSES WATERS VIEW, 1-2 VIEWS",320,$0.00,70210,$0.00,$121.35,$0.00,$105.80,$0.00,$0.00,$121.35,$0.00
Laboratory,3558865,RL LEPTOSPIRA ANTIBODY,300,$0.00,86720,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Respiratory Therapy,3900771,RT INSTRUCT/EVAL PT. DEVICE USE,410,$0.00,94664,$0.00,$281.82,$0.00,$34.86,$0.00,$0.00,$281.82,$0.00
Pharmacy,4800223,INJ HALOPERIDOL LACTATE 5 MG PER ML,636,$0.00,J1630   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3300710,ER REMOVE FB INTRANASAL,450,"$1,366.00",30300,$167.93,"$1,297.70",$737.64,$929.00,"$1,297.70",$696.66,$167.93,"$1,297.70"
Purchasing,3250084,PED AEROSOL MASK,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Medical Clinic,10160,"PUNCTURE ASPIRATION ABSCESS, HEMATOMA",521,$291.00,10160,$148.41,$938.00,$157.14,$938.00,$276.45,$148.41,$518.76,$276.45
Purchasing,3250846,STRYKER BLADE EGG BUR,270,$145.00,,$0.00,$137.75,$78.30,$0.00,$137.75,$73.95,$101.50,$137.75
Medical Clinic,17111,DESTRUCTION BENIGN LESION/WART > 15,521,$259.00,17111,$132.09,"$1,782.00",$139.86,"$1,782.00",$246.05,$132.09,$269.33,$246.05
Purchasing,3256646,TED HOSE THIGHHIGH XL-LNG,270,$24.00,,$0.00,$22.80,$12.96,$0.00,$22.80,$12.24,$16.80,$22.80
Surgery,3320702,OR REMOVE/REVISE NEUROSTIM ELECTRODE,360,"$4,907.00",64585,$0.00,"$4,912.95","$2,649.78",$0.00,"$4,661.65","$2,502.57","$4,912.95","$4,661.65"
Pharmacy,4801211,PO OSELTAMIVIR PHOSPHATE 6MG PER ML,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
CT Scan,3750142,CT ABDOMEN & PELVIS W/O & W/IV CONTRAST,350,$0.00,74178,$0.00,$552.18,$0.00,$453.00,$0.00,$0.00,$552.18,$0.00
Emergency Dept Pro-Fees,311818,PF TREAT FINGER FRACTURE EACH,983,$378.00,26740,$192.78,$801.00,$204.12,$801.00,$359.10,$192.78,$346.89,$359.10
Purchasing,3252926,LEMON GLYCERINE SWAB 3/PK,990,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
CT Scan,3750295,CT T-SPINE W/O IV CONTRAST,350,$0.00,72128,$0.00,$453.00,$0.00,$453.00,$0.00,$0.00,$163.46,$0.00
Laboratory,3558991,4-0H-PHENYIPYRUVIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252867,BLOOD PRIMARY TUBING SET,270,$8.00,,$0.00,$7.60,$4.32,$0.00,$7.60,$4.08,$5.60,$7.60
Purchasing,3253437,SANITARY PADS  3/PKG.,270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Purchasing,3256208,"""MICROPORE 3"""" ROLL""",270,$4.50,,$0.00,$4.28,$2.43,$0.00,$4.28,$2.30,$3.15,$4.28
Medical Clinic,26160,"EXCISION GANGLION, HAND/FINGER",521,"$1,571.00",26160,$801.21,"$2,088.53",$848.34,"$2,054.00","$1,492.45",$801.21,"$2,088.53","$1,492.45"
Midwest Pain Solutions,2064624,Dstrj nulyt agt gnclr nrv,761,"$4,500.00",64624,$0.00,"$4,275.00","$2,430.00",$0.00,"$4,275.00","$2,295.00","$2,631.59","$4,275.00"
Outpatient Clinic,3558086,TREAT FINGER FRACTURE EACH,510,$0.00,26740,$0.00,$309.29,$0.00,$38.00,$0.00,$0.00,$309.29,$0.00
Medical Clinic,11300,SHAVING EPIDERMAL LESION TRUNK < 0.5CM,521,$154.00,11300,$74.00,$518.76,$83.16,$74.00,$146.30,$78.54,$518.76,$146.30
Emergency Dept Pro-Fees,393227,PF HOLTER/ZIO - INTERP & REPORT (48HR),982,$0.00,93227,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550103,RL HEREDITARY HEMOCHROMOTOSIS,300,$632.00,81256,$0.00,$600.40,$341.28,$0.00,$600.40,$322.32,$442.40,$600.40
Emergency Dept Pro-Fees,311767,PRO RPR PRIM TRN LIGM&/CAPS KNEE COLLAT,983,"$2,850.00",27405,"$1,048.34","$5,429.00","$1,539.00","$5,429.00","$2,707.50","$1,453.50","$1,048.34","$2,707.50"
Logan Clinic,45095115,"LG IMMUNOTHERAPY, SINGLE INJECTION",983,$0.00,95115,$0.00,$0.40,$0.00,$0.00,$0.00,$0.00,$0.40,$0.00
Laboratory,3552577,RL PROTEIN 24 HR URINE,300,$54.00,84156,$0.00,$51.30,$29.16,$0.00,$51.30,$27.54,$0.00,$51.30
Medical Clinic,3360741,ICF/NSG FACILITY DSCHRG NON PT A 30MIN,525,$113.00,99315,$0.00,$107.35,$61.02,$0.00,$107.35,$57.63,$79.10,$107.35
Chemo,3210021,CH IV THERAPY CONCURRENT INFUSION,260,$46.00,96368,$0.00,$43.70,$24.84,$1.00,$43.70,$23.46,$0.00,$43.70
Pharmacy,4800643,PO PHENAZOPYRIDINE HCL TAB 100 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255168,WRIST SUPPORT MEDIUM LT.,270,$36.00,L3908   ,$0.00,$34.20,$19.44,$0.00,$34.20,$18.36,$25.20,$34.20
Physical Therapy,3950531,PT APPLICATION UNNA BOOT,420,$0.00,29580,$0.00,$275.00,$0.00,$275.00,$0.00,$0.00,$211.77,$0.00
Purchasing,3259947,SHOE ORTHO WEDGE SMALL,270,$41.00,L3260   ,$0.00,$38.95,$22.14,$0.00,$38.95,$20.91,$28.70,$38.95
Laboratory,3558842,RL URINE CHLORIDE,300,$0.00,82436,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0053  ,SM AND SM/RNP ANTIBODIES,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3220635,RPR PRIM TRN LIGM&/CAPS KNEE COLLAT,360,"$5,600.00",27405,"$2,856.00","$9,397.43","$3,024.00","$5,429.00","$5,320.00","$2,856.00","$9,397.43","$5,320.00"
Emergency Dept Pro-Fees,329580,PF APPLICATION UNNA BOOT,982,$132.00,29580,$39.99,$275.00,$71.28,$275.00,$125.40,$67.32,$39.99,$125.40
Medical Clinic,92960,"CARDIOVERSION, ELECTIVE, EXTERNAL",521,$0.00,92960,$0.00,$842.87,$0.00,$0.00,$0.00,$0.00,$842.87,$0.00
Purchasing,3256918,MED PUMP RESERVOR-WALKMED,270,$105.50,,$0.00,$100.23,$56.97,$0.00,$100.23,$53.81,$73.85,$100.23
Purchasing,3256140,"""COBAN 3""""""",270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Treatment Room,3326109,"TR INJECT SPINE, LUMBAR/SACRAL (LESI)",761,$951.00,62322,$485.01,$951.89,$513.54,$583.00,$903.45,$485.01,$951.89,$903.45
